delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,state
3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,1
-3,-5,0,0,0,0,0,0,-3,-5,0,0,0,0,0,0,4,-3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,-5,1,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-6,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-5,1,0,0,0,0,0,0,1
-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,1
-4,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,9,-1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,1
-1,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
-1,-2,0,0,0,0,0,0,-3,-2,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0
-6,-1,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1
-1,-2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,9,-1,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
-1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,1
-4,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1
-3,-1,0,0,0,0,0,0,-7,-1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,-8,1,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
