delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
503839-463372-119998-323885-231222-39207-254310-369894,233912-236890-46213-41850-104384-9179-166986-242252,28349-22150-15819-5997-5850-5455-20623-5749,27683-4610-11602-5939-4486-2611-40230-6573,31886-31342-6785-1928-20483-3800-4552-6598,32319-19676-7606-2363-7816-2019-19242-10931,5851-6725-3130-1033-3264-2705-9819-7539,6275-5474-2902-673-2970-2084-12348-5975,easy,yes
100333-34441-229109-28634-15930-335219-542999-78354,32438-4671-37689-42304-13583-17170-449292-77622,13502-510-10349-2116-8114-4816-11646-10071,4100-1174-4497-3723-5304-1097-6987-11844,4236-1303-7688-3091-4846-4965-12402-8470,4639-2064-5064-3734-22793-2100-65663-11485,1986-693-1520-2886-8934-1498-22717-4118,4121-627-2171-1742-10663-3353-35114-2268,difficult,no
132671-2266555-26829-74956-1919899-1635760-1358905-148221,30058-213065-20978-64817-51456-228841-470534-21381,9622-38993-3649-23847-8529-91203-222998-7293,7980-22409-5519-5097-2466-20192-103667-4834,3573-36044-6100-5294-3188-26039-27104-1288,1158-9604-1335-9319-3770-22215-98269-1924,1408-8770-607-2041-1461-18363-97805-2648,1725-16392-413-2772-1980-21038-42130-2770,easy,yes
184362-127224-154308-101175-223946-687708-549081-1164656,113172-15885-31603-14396-140752-82102-49026-382219,5997-8113-3679-6529-35273-84667-4270-16445,1318-2061-6273-4010-20574-80928-24048-66406,4577-2029-2694-4156-4710-3722-18658-103001,5041-2937-1564-4116-12202-8694-43422-28335,3954-685-1380-1188-9928-7227-32555-22579,2194-1223-842-1557-5291-9470-14558-24711,easy,yes
237372-416119-1166388-736040-75056-78237-83350-644281,55276-95672-123807-62716-56293-46994-51918-158768,25916-8484-41452-13101-14376-1904-11407-22561,4970-10921-16800-11419-6002-2558-14144-11999,7061-15418-7402-11353-1298-18419-5959-18839,4958-8857-10759-4551-14836-14087-10966-8796,3332-8680-7361-12353-3347-66029-17236-11630,3542-2583-4265-7482-7770-25476-8137-8519,difficult,yes
1532901-85085-93583-766802-147086-465824-446331-182700,293874-14696-20625-277845-58415-87106-16301-29223,52070-1666-10273-21383-5613-32906-17962-40377,133522-1937-2626-7268-2519-15256-3692-20699,53764-1123-2286-8697-4833-19952-1437-20636,49462-1187-1215-32110-6005-7269-10604-11205,17128-1007-433-20214-2074-4408-16014-8995,56663-481-688-16405-6205-4657-5339-7031,difficult,no
398679-43927-565970-674955-360758-149447-24318-208101,175202-42407-672593-24085-333794-15905-43021-100023,103157-2230-90041-11019-14633-3909-8605-69188,28612-1927-11680-10873-3032-3132-4723-37256,35084-3246-25634-6259-9830-2198-4100-7358,27631-1972-29663-5000-42602-7788-11754-9646,11046-1307-14502-3393-16070-5661-5970-4886,17328-632-11418-3918-16303-7918-6816-7977,easy,yes
1559368-76887-1287075-837703-1340553-1079359-756386-104597,61561-31153-64582-279907-479486-603136-35174-17206,3644-11078-5947-47633-36856-82519-5230-3377,4862-2077-13046-11498-46810-72250-21293-3017,5420-1432-4567-12786-51505-18160-4315-2052,5543-6540-11328-13174-52162-28451-12541-1894,2756-9592-12223-18068-121373-39757-27135-4283,6011-4029-7170-12298-58755-27454-7759-1772,easy,yes
635625-545707-811957-469674-81859-2081-2687127-228119,325711-32335-691882-443867-23431-7057-357729-36269,20294-5398-30856-42404-17679-4093-126299-16630,39317-7795-46939-30027-9638-4434-47717-2307,12990-4525-20993-24144-8425-12008-12212-3068,21638-3337-39050-37292-52095-22884-44901-3394,12287-7913-42471-68273-53921-27102-28546-2476,5047-2132-33561-27022-27505-15849-22096-1514,easy,no
509428-802929-1220389-3125345-2081187-90072-13228-217169,569278-135009-351755-213527-426794-61235-11547-59575,42460-44498-2209-39124-51304-8414-1698-10706,26560-29224-4610-32557-13217-2597-5383-2920,26802-26676-15019-82755-32720-1332-2374-2967,22816-13170-13517-16638-27044-3708-5052-3245,28790-10786-6972-5972-10962-4051-4719-1569,24665-5091-4748-13970-24854-4701-5006-1235,easy,yes
