delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1115378-78522-272758-1910536-148666-1123269-272773-1331693,344595-71803-78939-449743-412937-123545-56437-103169,22260-29264-8849-50757-11889-15849-23760-55376,14093-13713-29432-36781-80962-49712-11155-23976,9569-23314-13900-35926-92813-10994-18083-27958,64265-40910-16577-23074-30550-12195-7532-20999,94701-28609-15776-27159-57690-13038-8292-11532,16611-37987-26562-50309-54528-8220-6675-15407,easy,no
70044-580801-253359-248898-451334-63931-807370-690362,38025-37320-31417-36817-187893-36189-95697-209980,6538-20633-18901-18964-1432-12431-9143-29752,6801-27748-3960-16329-10431-14410-29097-9999,12416-3955-5277-36069-36082-13310-8749-17246,21250-5902-2732-16977-21374-25845-21097-10970,13815-10677-3690-7103-18399-19680-25834-10768,3907-3760-4212-8005-10951-13789-8944-6150,easy,yes
820711-148249-3488264-189230-68762-8010-7587-2306,102407-58900-991621-40045-80121-1854-25026-15519,6866-3490-167848-27769-16518-5008-10562-3291,36865-1336-52235-4856-40855-658-28531-10592,44049-2572-38120-9627-12889-5721-32297-9977,17137-2530-40140-10126-10840-3891-8618-6361,4919-2491-22717-14456-14862-1441-12101-4460,4081-2621-10783-8276-7211-1383-5386-2983,easy,yes
153943-783437-79853-567170-404634-85970-674459-558059,308855-892804-24039-42750-29857-59175-211491-198138,8878-25567-2240-10766-26542-13841-61934-18389,48572-29645-12716-22086-104055-16503-25005-24264,20753-39436-4613-789-2072-9156-24553-32479,35589-22439-3189-3339-12120-4812-17078-32303,12854-12276-1677-4060-4196-3412-25557-12428,12384-9704-3058-2349-3549-2861-4106-8654,easy,yes
15844-4613-17038-33267-3006-9417-59963-12637,5246-17540-28150-28447-11367-9155-127636-10276,2216-7293-1509-18204-1852-13705-25634-8133,5616-21304-12819-9301-6462-6470-6595-5857,4777-8656-19813-8926-4119-7171-4722-6181,5041-6096-27718-3153-5510-6875-15956-9135,2643-7068-7162-5013-3114-3152-23430-3864,1568-4351-5513-1722-1321-1368-6750-4212,easy,yes
230717-1257273-228334-648749-223652-130077-73897-463796,6624-151378-26140-20537-28447-14268-8930-32711,9742-7268-16535-6960-23733-14512-2306-6583,5137-25215-6943-42326-5292-12587-18774-7784,5305-7523-4928-7889-9790-883-2131-2036,3698-19385-2842-14693-3539-2554-1617-2364,1109-5512-1808-4078-4415-1537-1998-3348,1072-5450-943-16417-1678-1032-1449-2892,easy,yes
615280-96795-20312-13255-62307-10210-52769-25213,182256-6618-17801-4379-9906-5987-8106-15731,72349-7616-5462-1085-2956-1247-5347-6844,30949-6470-2386-2207-4296-1902-1227-818,50383-1690-5116-686-2797-2763-6604-1672,40801-4649-1570-1817-4206-1831-2230-1701,15164-2138-829-1147-1028-556-1433-1013,12480-1893-1000-1247-1061-551-818-1263,easy,yes
708491-1124174-115779-95583-1732493-394092-1824082-80615,455725-410518-39488-12897-108304-52899-225042-46838,24250-39032-7510-2010-55991-4834-47758-4750,31343-5607-3722-469-125498-24738-136931-1589,21603-25347-11992-1178-9112-7007-60966-1314,39319-10804-6934-1176-15221-4318-31682-3505,6115-16777-5461-1249-33851-8182-19070-4688,13329-10215-3873-906-12128-2845-15285-1161,easy,no
22329-597827-168335-272616-1266133-147502-3879-1618452,7333-47572-50103-64011-81451-37529-3373-201521,3358-25412-116411-16651-25386-3381-11110-85169,1327-14915-42199-17649-7353-1155-6757-17354,4301-9583-14076-16383-16385-9191-2518-10162,4396-14532-10852-5358-11282-2068-4560-18960,1942-7236-8383-1800-9999-3904-3299-9009,1999-6209-20403-2440-11306-1981-738-6171,difficult,yes
47330-14052-14440-37880-53732-53732-1794174-467492,14897-10552-18116-13888-20413-20413-299361-20676,11012-11799-4819-1682-1103-1103-46774-7899,3182-11565-7430-1877-3665-3665-37600-19689,2065-9017-23208-1709-1617-1617-16281-4899,5654-18451-12264-2283-2485-2485-17998-9836,2854-11502-15074-505-2482-2482-16594-8224,2139-2273-12734-361-3570-3570-9609-7178,easy,yes
