delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
99188-4696-172910-205106-415201-514606-382983,21558-4720-25440-17679-148396-127394-17692,1777-2197-5688-3968-17285-27405-16633,494-5378-5927-2334-35767-111346-11158,3155-4905-6901-3120-19269-5957-3356,3667-4081-1515-1836-5698-6957-2420,1844-6626-1929-692-6492-3542-1575,1477-4557-2504-1381-6825-5949-2042,hard,correct
6157-474674-1050261-2649699-152357-105719-1215941,3877-30529-246983-133626-7812-7203-297264,776-21986-98302-11517-1322-7801-52210,8865-9703-7419-38384-5165-35861-42100,2823-2545-19442-26040-409-7570-10341,8368-5746-7777-20487-616-2149-13483,8940-1317-12072-1854-616-4630-14511,8661-970-10874-1545-500-1362-8805,easy,correct
332423-45835-115583-296071-1047528-107617-1560752,49275-30093-123070-21475-90719-29510-389686,11480-21085-26569-16724-167609-4301-46418,2349-3353-1611-15346-58384-10160-57766,1025-7194-2306-4436-4707-4656-20001,4189-6708-4527-2773-18061-5455-21457,1219-7144-2778-1669-7932-1200-10538,1998-13214-697-1904-2674-1443-3495,easy,correct
hard,wrong
132913-224500-214221-853033-52317-70781-1002838,40659-41642-21017-465880-25352-22113-169638,7044-13332-18211-328118-11480-84464-20145,2531-3398-2095-64439-24249-50048-59355,7396-23720-4231-166780-4263-11879-21863,4042-7853-2590-131437-5773-6785-7394,1541-6944-1431-26822-2295-7867-8245,1016-6685-1259-8397-3139-3881-3801,hard,wrong
86948-84506-1568477-201261-14739-72209-881327,68859-80464-160338-18740-4336-16018-58651,8505-11217-25144-2576-5698-6028-17360,7592-7344-67469-3349-15488-43691-11054,7065-5993-127148-1375-4438-2277-9713,6099-2172-33500-1072-5349-2556-9922,5349-1100-12499-560-1621-1887-15506,6708-660-20609-518-3347-1416-1511,easy,wrong
11435-376311-1313375-1951279-885795-77682-188908,5601-37166-72681-165635-131612-31443-74521,7455-4473-11801-45858-13912-2594-2398,13362-4116-11942-84366-162219-15252-26413,1765-2437-6730-4079-5496-2018-16457,4082-15077-5547-10827-12547-2534-21773,3302-2196-2687-11033-10755-1145-6531,3696-4496-3183-6116-5825-2021-5184,hard,correct
35147-89607-152447-116504-191982-18140-1193709,18433-13883-50188-20151-7140-94975-47254,15617-4458-19276-19066-26280-29811-49596,2489-2198-23252-34806-10325-135028-106292,7246-2743-52134-5486-2913-15896-8247,7530-814-14746-14425-1684-5580-11013,7676-468-4939-8766-3358-2924-2774,7879-469-2926-6788-1271-3395-10378,hard,correct
204648-24346-405867-867567-87513-1601153-102330,11387-23106-129740-224004-23293-52097-75626,2370-12012-9866-20509-18840-23126-6167,2280-14067-22376-7926-9585-11503-3366,2451-6743-23369-8777-998-7618-8066,5563-8022-5346-15476-3073-8479-3378,2053-8503-6579-2827-2206-3361-3639,591-4670-3562-6480-1162-1159-1314,easy,correct
1382-507424-1069797-1720432-14914-42756-45440,34167-202176-12785-47993-18710-40745-13792,13848-27287-7100-26553-23551-111976-37161,16378-13359-16029-104802-17249-65539-5685,8620-3419-35375-6296-9721-15861-3838,9999-23342-10714-11993-5196-12111-6727,4108-8412-2429-7356-1749-5687-1387,5661-9448-2724-3854-1745-4035-2204,hard,correct
