delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
147674-1259595-747279-147659-676527-97448-842080-1619332,18260-1074976-440855-35603-231793-11566-173470-76256,4611-151464-580221-11087-71363-2592-64247-95730,908-104754-52262-8771-14088-1044-47808-150817,2124-19364-62175-2599-27164-4908-15070-55884,1115-47257-23750-1256-19977-1676-11551-15836,412-19548-24101-621-2622-1592-4627-16750,250-13254-8459-282-4548-905-3193-7703,difficult,no
99356-132545-1150858-2888719-1534206-636027-129967-1617675,40365-175678-836500-147983-131101-120248-19473-26832,9024-24633-105091-81524-4573-109402-6905-14113,6512-8307-58361-96814-9432-34305-1704-46684,3976-7392-64175-20546-6875-11805-4727-6575,5534-8104-17652-19883-4196-36001-2462-8868,2184-2230-20191-13810-2691-14013-2257-12097,2956-2669-5819-5409-4263-2584-1310-4609,easy,yes
781088-1154226-99264-1378206-1699077-89877-1208921-329615,261897-220571-24058-325258-36343-36950-52767-75580,1045-44810-437-96016-1885-59896-9234-8791,15970-10435-4535-60888-18071-23412-10686-9127,5901-2336-3480-30304-3984-23748-2436-6614,11167-9279-4231-16288-9578-18694-3528-5683,15325-3313-1741-18642-2609-9684-1581-1437,3266-3008-2294-16485-3242-8881-1746-3183,easy,yes
368416-152802-879175-137527-1024064-211409-426924-945440,745511-216727-46913-42797-305175-70808-35226-453673,76320-39406-9834-4837-74010-31763-30973-16165,38137-7772-15519-2191-20783-2953-8307-24032,19514-9033-15262-980-22281-3155-6306-16937,20106-6642-5133-1449-16958-7759-6467-15521,8024-3925-4917-861-14275-7043-7722-2769,12283-2453-3231-650-21896-4431-2175-5304,easy,no
517284-1442709-1201276-105820-1149987-527674-32289-158695,142284-139047-131495-49064-20773-436562-49767-75393,14555-70877-495046-61048-12379-57253-20805-5791,12575-46021-158688-8594-4507-21338-3748-1338,8345-33661-152244-6344-7394-52454-3312-4061,6214-7623-104005-5711-2264-19622-4495-4429,6030-5817-34389-3501-2689-3384-4065-2924,2199-11639-11529-1120-1870-6259-1224-2687,difficult,no
568851-148740-1408442-1032230-358609-125794-123995-496729,52467-129873-113834-140704-57143-151735-7375-20474,19649-14462-65661-18978-4321-24859-2812-8341,12187-7711-60312-19726-10478-32589-1050-3195,7404-4842-33249-17047-4574-18385-875-3509,7812-4978-44736-23089-2730-23472-1459-2323,7245-2816-14930-12450-3783-13598-1371-708,1396-3820-6801-11516-1353-5480-479-513,easy,no
2669732-909290-815136-388109-1286762-294240-1335108-908381,392662-239499-219615-805869-248613-15968-417852-271834,51355-75305-18069-32650-31329-3166-153753-37031,179772-21394-79375-10681-71549-3663-7523-21578,30302-37520-17801-4128-4410-1403-26686-17611,50121-22837-13214-6069-9512-688-34546-8944,6501-10571-19981-2947-3392-892-10089-3781,9288-8941-22925-10041-3115-241-5243-2041,easy,yes
2866312-1885751-498132-718940-380648-121008-1405092-63221,512816-78286-17697-399932-27398-12413-230763-17360,56743-16740-14208-143924-13803-21073-34396-16887,65865-31265-15972-12187-5539-4762-9622-2747,22054-32187-10677-16889-4366-5295-10392-2175,38570-16826-4002-21201-1659-2030-6903-2580,13663-14747-887-16330-1157-3515-3055-852,9513-9424-1776-14979-536-1836-3814-477,easy,no
2003742-1031171-118076-1362865-221942-1281873-275822-80652,351674-268819-48912-221635-80662-78543-53456-33176,322105-17661-14166-31235-15195-83048-1151-8861,276951-103659-11132-21661-16868-25926-5863-4881,124441-9714-2054-11101-3273-25561-3529-1082,41191-20991-1909-7586-5192-6395-6645-2788,18939-12465-2252-3845-5397-5601-5146-980,53296-5731-901-6493-3042-1797-3857-524,difficult,yes
434648-159021-290640-83337-14000-88687-6233-88340,61324-46731-346327-2709-16320-15718-4950-7045,85216-6278-24823-123-1850-637-3101-710,20459-4122-39811-236-7935-684-3884-1554,22686-1695-6360-968-12023-3167-7051-639,9045-1658-37004-2703-8658-4494-12836-1019,8118-868-9391-1265-7310-1666-14015-733,3408-1071-13747-579-36163-2471-6789-731,easy,yes
1145387-531015-553163-772200-1051765-23535-897270-229803,370906-217459-139365-207603-301094-26375-197365-26222,227248-50123-91967-19712-72745-17463-133795-10329,57943-11062-75715-9133-19538-15908-40661-3940,39709-5720-13238-12025-31031-23268-60786-5961,34968-17896-17625-5283-24006-13910-22728-5659,6634-13074-17208-3844-16910-9959-17586-3438,11378-9565-9698-2244-14058-4856-9016-4287,easy,yes
1530327-121881-318330-66597-3250-3250-58602-574369,255286-248721-42472-42170-6729-6729-67785-22083,77004-105865-2297-11008-2447-2447-14739-7022,52247-11018-9522-8171-6240-6240-7406-8676,60924-10307-3785-6156-6845-6845-5954-8346,52509-6289-5827-6917-4591-4591-23188-4844,18709-5135-5655-3339-2346-2346-7542-597,10405-3680-1976-1466-1915-1915-8598-2947,easy,yes
1630651-132272-75115-105172-46427-257096-95508-233765,43559-28353-5719-28445-6350-42298-50016-22857,5410-22108-1807-11283-7454-5244-9799-15540,3160-5201-1634-3908-2040-8048-3211-1519,13568-7734-868-2718-822-2170-5763-4550,7786-6204-771-3344-1985-18962-4229-16175,3994-1379-287-1703-1498-6351-1532-6591,2645-2346-217-3409-330-2357-1509-3398,easy,yes
329917-151676-1309099-1481130-189521-897186-1767973-62624,69682-17178-44019-97091-27581-62050-92112-18211,15477-1854-35140-12688-2523-1898-27234-2839,5140-2320-36533-10140-3248-9694-15355-1389,18718-1515-7765-4997-1176-5949-5759-792,26510-1888-13226-6109-978-4715-10996-710,13433-727-5475-2312-914-3389-2838-724,5969-306-3121-4790-461-2002-1360-580,difficult,no
526399-835058-1029299-3064579-22464-587909-32188-530308,106491-79155-314732-167514-60869-238746-14332-475362,30467-23405-59138-58763-5594-34585-2030-398451,10638-9579-9025-20477-8022-16935-3922-137773,536-7961-14308-20782-5411-16716-2358-53680,6565-6546-14796-12647-5732-23253-1499-69998,4168-2118-6223-7512-1655-8441-628-26660,4939-1690-15316-9074-3652-4641-472-28315,difficult,yes
106669-1797667-317042-1751675-42162-19756-176622-165628,24325-74247-11510-958273-21026-10519-95809-35685,7971-84861-3027-221448-4708-1314-4404-17832,2998-17498-3024-16169-3727-2545-1964-5834,2579-15856-1328-14805-3988-1898-4301-3756,1728-14589-1025-24333-6967-9058-7314-4410,1469-6564-800-14522-2458-1095-3631-2607,860-2503-371-9873-1371-1696-1374-1143,easy,yes
808814-659790-239275-1448788-296075-90325-89041-161954,391072-290458-122017-212948-58783-60475-8144-17224,75504-6510-10307-18802-11907-15850-5565-6687,15565-58489-11493-18528-6953-6972-3310-665,8103-36993-7549-6718-3769-4253-1758-4068,17935-16756-9339-8644-5112-6781-1724-2406,9858-14433-3313-3071-3775-2205-749-848,9017-10815-2860-2890-2468-2262-766-761,difficult,no
859115-635853-2411395-172425-38456-114053-225220-583146,105592-253563-536079-14977-14748-22486-181398-80020,26755-52839-119967-11985-26293-9066-34093-7389,60493-100696-86788-4709-3447-4735-12993-8999,8363-39639-34288-3288-13944-1764-20060-2408,12254-21369-24516-3477-16847-5749-26305-1832,5572-8183-14408-2724-5501-3081-7056-890,11812-3408-7999-1347-5764-2104-3834-494,easy,yes
2235311-64528-764424-1817773-162971-772336-970893-321775,825892-28015-112592-245154-133580-163046-280522-3555,122906-12303-20045-22455-17127-4520-31587-1109,43607-4611-4608-10415-15252-4202-18163-660,26288-1891-6463-24928-24009-18902-25840-889,36422-1717-5974-30471-17475-26607-21047-1719,8314-1966-2705-7613-9084-14084-15227-527,18092-683-2484-25483-16850-11923-9824-496,easy,yes
