delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
147674-1259595-747279-147659-676527-97448-842080-1619332,18260-1074976-440855-35603-231793-11566-173470-76256,4611-151464-580221-11087-71363-2592-64247-95730,908-104754-52262-8771-14088-1044-47808-150817,2124-19364-62175-2599-27164-4908-15070-55884,1115-47257-23750-1256-19977-1676-11551-15836,412-19548-24101-621-2622-1592-4627-16750,250-13254-8459-282-4548-905-3193-7703,difficult,no
517284-1442709-1201276-105820-1149987-527674-32289-158695,142284-139047-131495-49064-20773-436562-49767-75393,14555-70877-495046-61048-12379-57253-20805-5791,12575-46021-158688-8594-4507-21338-3748-1338,8345-33661-152244-6344-7394-52454-3312-4061,6214-7623-104005-5711-2264-19622-4495-4429,6030-5817-34389-3501-2689-3384-4065-2924,2199-11639-11529-1120-1870-6259-1224-2687,difficult,no
568851-148740-1408442-1032230-358609-125794-123995-496729,52467-129873-113834-140704-57143-151735-7375-20474,19649-14462-65661-18978-4321-24859-2812-8341,12187-7711-60312-19726-10478-32589-1050-3195,7404-4842-33249-17047-4574-18385-875-3509,7812-4978-44736-23089-2730-23472-1459-2323,7245-2816-14930-12450-3783-13598-1371-708,1396-3820-6801-11516-1353-5480-479-513,easy,no
2003742-1031171-118076-1362865-221942-1281873-275822-80652,351674-268819-48912-221635-80662-78543-53456-33176,322105-17661-14166-31235-15195-83048-1151-8861,276951-103659-11132-21661-16868-25926-5863-4881,124441-9714-2054-11101-3273-25561-3529-1082,41191-20991-1909-7586-5192-6395-6645-2788,18939-12465-2252-3845-5397-5601-5146-980,53296-5731-901-6493-3042-1797-3857-524,difficult,yes
1145387-531015-553163-772200-1051765-23535-897270-229803,370906-217459-139365-207603-301094-26375-197365-26222,227248-50123-91967-19712-72745-17463-133795-10329,57943-11062-75715-9133-19538-15908-40661-3940,39709-5720-13238-12025-31031-23268-60786-5961,34968-17896-17625-5283-24006-13910-22728-5659,6634-13074-17208-3844-16910-9959-17586-3438,11378-9565-9698-2244-14058-4856-9016-4287,easy,yes
329917-151676-1309099-1481130-189521-897186-1767973-62624,69682-17178-44019-97091-27581-62050-92112-18211,15477-1854-35140-12688-2523-1898-27234-2839,5140-2320-36533-10140-3248-9694-15355-1389,18718-1515-7765-4997-1176-5949-5759-792,26510-1888-13226-6109-978-4715-10996-710,13433-727-5475-2312-914-3389-2838-724,5969-306-3121-4790-461-2002-1360-580,difficult,no
526399-835058-1029299-3064579-22464-587909-32188-530308,106491-79155-314732-167514-60869-238746-14332-475362,30467-23405-59138-58763-5594-34585-2030-398451,10638-9579-9025-20477-8022-16935-3922-137773,536-7961-14308-20782-5411-16716-2358-53680,6565-6546-14796-12647-5732-23253-1499-69998,4168-2118-6223-7512-1655-8441-628-26660,4939-1690-15316-9074-3652-4641-472-28315,difficult,yes
106669-1797667-317042-1751675-42162-19756-176622-165628,24325-74247-11510-958273-21026-10519-95809-35685,7971-84861-3027-221448-4708-1314-4404-17832,2998-17498-3024-16169-3727-2545-1964-5834,2579-15856-1328-14805-3988-1898-4301-3756,1728-14589-1025-24333-6967-9058-7314-4410,1469-6564-800-14522-2458-1095-3631-2607,860-2503-371-9873-1371-1696-1374-1143,easy,yes
808814-659790-239275-1448788-296075-90325-89041-161954,391072-290458-122017-212948-58783-60475-8144-17224,75504-6510-10307-18802-11907-15850-5565-6687,15565-58489-11493-18528-6953-6972-3310-665,8103-36993-7549-6718-3769-4253-1758-4068,17935-16756-9339-8644-5112-6781-1724-2406,9858-14433-3313-3071-3775-2205-749-848,9017-10815-2860-2890-2468-2262-766-761,difficult,no
859115-635853-2411395-172425-38456-114053-225220-583146,105592-253563-536079-14977-14748-22486-181398-80020,26755-52839-119967-11985-26293-9066-34093-7389,60493-100696-86788-4709-3447-4735-12993-8999,8363-39639-34288-3288-13944-1764-20060-2408,12254-21369-24516-3477-16847-5749-26305-1832,5572-8183-14408-2724-5501-3081-7056-890,11812-3408-7999-1347-5764-2104-3834-494,easy,yes
1696368-160504-782422-2285725-287954-485364-285319-304414,297685-27469-1528542-349817-32563-48669-70059-102092,7759-3607-38971-29834-32625-5808-39458-33252,1936-3157-39171-63095-3623-10224-10818-33339,9056-1708-14925-54509-7925-5720-5922-9417,14162-1390-54049-21250-11214-7751-8472-7697,17724-4036-22085-130031-10590-5092-5546-10176,5269-2569-16882-17522-4243-3082-11313-5331,easy,yes
816864-1377345-826259-711643-1090288-1005335-2575515-58752,68124-304381-94422-117736-220051-316377-81646-19680,15963-19778-17354-40162-10445-38334-160016-26146,12174-38594-12612-17306-16070-8363-19547-5924,16480-19530-17925-14869-9168-17149-41546-1157,11454-25974-20533-15045-8966-12647-39918-2667,14713-37969-38538-10764-5498-4499-11590-3539,2500-11005-19817-2538-7205-2881-18001-1205,difficult,no
1083114-301251-264167-191462-95347-100476-553045-967544,285329-32136-56189-38370-19117-8591-422352-168887,81719-12285-9280-10400-2224-267-85866-48985,99773-10392-11744-789-1797-931-19445-15925,22071-9926-19104-3894-3054-1217-34671-92288,27475-8541-21520-1472-4108-2225-17908-26360,16053-8056-20261-1145-5714-1634-13087-18310,24494-3299-10070-869-1543-404-17002-11260,difficult,no
267471-1345825-96291-75402-60866-697175-58260-322916,97678-316412-22047-25601-23741-404467-28007-49570,26385-48489-3097-734-3584-115058-1072-35354,7150-48407-3458-3463-8788-29842-9426-6867,6696-36101-5092-3576-3648-16369-5588-7624,3414-30140-4343-3655-5886-30078-6873-7410,5471-9787-8382-3603-2996-5406-2268-3846,2190-12134-2353-560-1259-9384-1493-1149,easy,yes
1783110-78273-717057-320613-8563-463550-20244-426956,94563-13266-43155-43852-8746-86615-11514-70720,39832-967-13453-11848-4973-53648-3743-12006,14471-5706-36715-4002-7291-12671-4658-8332,8604-7096-32767-4394-7231-6269-1459-7057,9157-6560-46367-4217-16789-6977-3839-21838,3462-1507-46253-1747-8005-4793-1359-9228,3977-2778-7711-1371-14105-2258-1631-6837,difficult,yes
8784-808322-150658-224021-97625-71138-42025-153641,7265-398065-51180-15932-20407-31912-7871-54741,3668-48438-4293-1364-2129-1773-1757-1191,3769-38887-7487-1813-4776-559-2753-6067,10106-19971-3394-1248-10760-4988-2980-1057,12488-30420-3902-1404-7812-5378-1859-3321,8816-29349-4409-935-1507-2824-4585-1660,2939-12428-1883-707-1696-1672-3915-1721,easy,no
123158-163588-123290-86400-275493-351689-183511-379007,30883-203813-38813-160897-45262-18159-148410-27763,7951-17521-7807-35298-7848-2615-24465-4880,640-7574-7285-5622-3680-1519-11419-7090,2088-9054-4534-7754-3242-1678-17260-10934,5806-10112-2844-6972-3195-3523-24536-10513,2788-1961-3275-3179-1344-665-11443-10660,1086-2710-1505-2088-448-460-4041-6634,difficult,yes
47840-753196-308624-59293-16834-40088-474944-1190774,6870-129611-10692-21156-4801-14464-59476-158292,115-88187-5448-1891-1145-16216-6002-9761,4586-16104-835-2858-4844-2345-10115-37865,1612-13609-2166-3673-8887-4625-37244-16516,1947-34448-2375-2907-9115-4812-17409-29796,1655-13111-1676-1097-12500-3250-8006-10589,1310-4875-449-1390-2108-3083-6419-12263,difficult,yes
107841-1638476-229832-142555-48802-120309-185187-21892,192879-295569-12921-8774-14619-30804-64367-8493,16118-63883-7713-3508-4195-7287-12337-5525,9894-27914-4149-1640-8167-6179-9023-1809,12426-26332-5593-1652-2598-3016-8766-4359,3023-24073-1663-1666-3295-3911-4996-4197,6673-21134-1441-635-2853-2925-2992-1069,1202-27335-657-717-1510-798-2717-751,easy,yes
425525-190702-1670852-2109415-140189-2008288-1143400-87817,166759-26673-206239-93756-129852-137876-35244-105472,4448-3425-126926-45056-6072-24086-29847-4233,407-4812-109274-23145-11664-32780-22290-5794,4549-3110-34493-9104-3217-27295-29952-8910,5710-3210-21915-8372-2033-17459-20291-2188,1400-2693-23996-6117-2814-6975-5681-5869,1545-2033-9337-3158-1775-22440-6115-2299,easy,yes
742386-77313-192312-733552-95698-322214-673158-172966,163837-172306-110171-95141-11204-92304-143665-172681,18140-35110-13305-16326-1843-10221-30427-13792,18120-29592-4594-9180-9767-7365-5168-21219,4002-12967-5521-5550-2096-14687-12307-16376,10626-22928-10009-8767-4152-5603-23594-14674,7238-46866-7142-2822-5119-2454-8370-9609,6521-12552-2174-4018-5128-2532-13860-16046,difficult,no
1381533-44547-1095956-139872-634069-121704-736389-44588,34175-26896-113528-128493-69778-99216-152688-22197,71771-7959-65723-7061-1448-11926-36015-1466,13096-3660-14975-10624-6021-13987-24536-910,3717-2631-5991-5424-3210-10339-12294-1495,5402-1948-5742-17848-8980-41922-16438-995,5240-650-2747-3517-5687-13728-25372-191,4209-521-3561-4393-2280-19448-16054-875,easy,yes
1189535-974052-1391449-901282-34410-302193-308414-802109,777222-276436-68230-977560-7806-133561-7989-259334,62962-96858-24465-323659-10162-59352-7953-65110,48092-69118-8622-44345-6986-14553-1773-2733,39193-6170-19426-32097-2203-26488-3718-7740,61895-45169-9017-61847-1283-5926-3128-10449,30629-30137-7234-23598-1242-4839-510-5978,49780-15996-13820-24073-993-2807-1474-3496,easy,yes
474600-2532422-571316-3308019-1456910-971016-117691-2406168,82941-403490-111341-589561-433844-394099-2640-995664,8037-39380-20892-54336-14945-139576-1013-264463,4740-60364-17252-37271-61246-28902-2335-239185,9197-35433-7278-5733-37274-19181-1427-37781,3395-59867-3278-36421-68556-75736-2298-117998,12628-28704-9895-10069-25796-33050-795-62202,7817-32257-6146-32492-19446-24574-245-44107,easy,yes
85988-359685-930071-1188199-54134-1444002-32486-1521852,8033-97991-116907-160283-45845-93305-74707-171746,578-11460-46675-10783-19591-28207-37106-3778,1060-18348-5612-39512-8926-5897-15898-4898,2482-11340-4957-12588-3012-12014-6549-13761,1204-7412-11217-9060-9600-9876-9026-12014,942-5150-6426-4301-6111-6482-4036-14300,1059-8054-3518-5302-5351-3307-2077-5697,difficult,no
958503-346914-387889-1352730-393088-899799-506991-59508,344196-110170-57129-67221-54255-100982-135886-66208,52471-8374-4634-16860-21742-191001-43424-16940,21785-6692-6940-10582-10634-15486-59142-9263,60459-14951-1273-4207-15092-30508-28508-5635,51995-5990-3120-5062-9517-27694-15552-4241,192728-5598-1054-1390-6025-15866-15684-1450,34358-6350-2010-1022-7751-7180-6239-1404,easy,yes
