delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1361813-74776-370428-426724-795532-479230-110089-1984234,1231293-23963-51732-964903-487639-75616-37978-161279,32947-691-48332-89330-18318-18629-9244-64584,87154-2258-27892-32294-88672-17781-5333-24195,41420-4325-12622-48521-33328-13913-3157-10967,120229-9071-20601-105632-49758-24112-7311-31623,208007-2209-21765-179985-110100-12993-3701-19934,72019-1362-18924-70409-16115-12391-4088-7235,easy,yes
130572-917660-51643-541262-130576-150055-1447480-184337,15579-48134-21353-102214-13254-28322-58068-54671,19623-28327-8839-29123-2789-7614-35032-9339,2713-6417-8721-8459-1231-8892-63059-4522,1731-4987-11345-10979-1873-3262-7469-1547,8090-13036-12808-22392-776-13511-38866-8610,2299-7632-9776-26004-1568-10188-41526-4190,5526-13939-8003-8155-864-5917-9766-5669,easy,yes
124314-227834-1981074-117725-668375-2966533-179896-1017410,289919-28553-1627524-59133-116676-137524-53894-192740,177792-24457-17508-9712-31798-285361-8563-86028,59344-24010-43551-2295-55086-148737-8503-11344,46495-4484-47492-2949-30426-51201-24881-8549,79746-26328-75015-4726-129004-79557-24241-46938,54498-7642-45431-2847-122620-124326-20343-13577,37967-4565-71125-1922-40626-103587-20389-8665,easy,yes
1255497-181317-500725-329115-314730-5267-18102-3012241,34361-25783-198488-24845-93917-12043-20685-62193,52313-767-43948-14296-10725-4639-8072-51771,3973-1631-28736-36972-38303-11954-11697-62518,8375-1005-15812-27921-34056-42273-14290-44815,20007-6875-26004-50610-60802-19475-46821-75623,18510-3002-7078-58015-18918-21661-23091-37073,5162-1162-4382-18600-12562-19680-24710-26759,easy,no
197131-300572-1105926-125738-2130417-4344-1114741-1158313,71145-15849-1694295-10778-98994-26936-882169-5798,4223-19704-30914-14615-39774-1875-71989-6627,5172-1979-10615-8123-25087-19596-25290-5738,4463-2071-23655-13019-28663-8402-36320-883,5829-4523-87394-14326-45140-38582-21089-6468,1434-2254-27822-3608-44506-26794-47695-4460,3261-1318-35635-4747-21958-9215-19592-2724,difficult,yes
1341734-139436-1734735-47907-494024-215033-75045-884683,216053-37912-142122-6479-115022-60516-3823-121812,139038-1326-58357-4194-4698-8823-1840-14697,32169-3915-14814-7558-15537-4717-688-30905,41700-4351-18465-11039-25702-6743-2063-12082,75314-9666-123448-38261-80048-24474-7657-47995,55547-8924-30565-14571-60063-8166-1685-51508,27150-8829-15518-17444-14905-6515-797-30796,difficult,no
36629-12920-742360-563719-9234-165633-1360574-1678956,12778-36494-415053-523834-1009-85512-292441-123562,4432-4401-7929-114987-761-14667-48265-46394,412-9775-7802-19140-1643-20392-13512-13715,2196-19018-21270-40402-6279-3541-31498-28264,5928-37470-114603-80797-16825-11781-69710-50823,2508-16911-19476-40815-5119-7384-46104-39536,1316-24289-13376-25987-7353-7341-70332-24025,easy,yes
923753-452757-3070841-82723-112487-169670-71015-111337,54436-58522-218440-10688-27018-26692-16572-10238,5102-10193-50673-3759-3901-35069-10081-10656,10539-6162-41805-1182-2735-51737-13561-6815,4925-7681-6985-3326-8175-19864-33425-1604,25682-30260-56852-3378-10952-27689-34497-6829,14280-10857-37270-1933-3746-31312-41070-2443,6632-3305-35260-987-3600-10234-19095-973,difficult,yes
722576-338174-2217900-130117-148786-929603-1581096-8495,101469-37602-703468-18616-175166-295726-167881-5500,32270-3665-45751-852-72639-66700-62303-11853,38674-2383-19339-1328-59977-24219-34617-8367,16435-770-24388-1868-27898-21817-42160-52302,27693-3657-71317-4623-54847-76067-43215-30999,36347-4920-101948-2063-27166-30799-38109-52209,5535-1659-32453-2230-15037-10310-12352-25372,easy,yes
211182-207082-673204-442333-459432-10286-496060-517834,92315-13597-35574-22972-49092-7691-114329-76299,38511-22758-3904-966-22513-7302-11428-78461,26432-3779-3707-10528-32173-16117-2954-29283,14798-3518-2336-6657-10452-7350-5393-21915,59124-22201-6035-56460-31618-18177-7218-47755,42903-15391-5960-19465-25912-13657-4030-34568,14202-9112-1847-10756-4544-11575-4822-5149,easy,yes
185615-260236-549282-91610-4532-79825-105469-237411,14144-27319-445934-17873-2895-34766-33940-77946,1173-5957-27493-1601-3505-2252-3221-4634,1978-4880-36517-3071-1917-1819-1218-4687,2997-3363-22369-3420-2975-529-5498-6015,7197-14833-48147-9255-13811-3131-22658-15464,2352-7274-50287-9577-3843-1043-2752-8461,2516-9602-21094-4724-3591-1029-4393-3448,easy,yes
