delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
220021-90394-863613-237650-207711-524095-18193,28101-21732-98135-36420-13890-11604-26435,4579-15001-27269-17351-1809-23347-14361,4788-2276-19903-6315-1086-41704-3569,3707-8777-9215-8154-4711-43652-4562,2963-3768-11534-3550-4871-17473-2539,5914-3188-2769-1650-1243-14707-2615,2605-3011-3317-2862-1023-4579-710,hard,correct
367837-648805-21174-247355-1080924-1119742-525297,27826-43334-10807-31836-82687-91449-58369,7695-36420-13246-894-55831-103476-30397,4580-6162-7589-14263-147024-49137-1560,2036-8819-7481-4275-26870-17701-6246,2339-2689-2867-3227-6788-7795-3755,987-6100-1838-1186-11529-5561-2552,587-3058-993-4682-4515-6095-1152,hard,correct
101678-259092-585786-439690-190494-164916-74228,87400-55734-46662-119433-16074-32204-11194,19438-16714-3328-9133-2926-44811-4088,4769-18237-21437-52478-13650-62968-27365,1883-2187-2631-15761-8237-19458-1666,4242-4052-2945-13632-2690-11652-3381,3763-1865-634-8447-1275-4683-4603,2874-2319-1772-5542-1629-7595-1968,easy,correct
209968-338557-1476772-29548-896427-141734-1248658,86429-163248-74788-35994-33346-108678-243925,11980-13805-26856-90300-19181-15129-208029,8316-2529-62557-57217-20130-33288-40132,12289-4835-11632-17748-2358-21559-43630,11620-3837-3830-7682-2659-5692-12655,2535-1310-12599-4632-2266-9608-8153,1191-1044-10588-6435-1863-4517-4331,hard,correct
247583-6245-568950-109803-190569-5267-174136,119484-3867-224294-28041-71923-5441-49159,18850-734-5139-22290-4452-3693-2546,870-1991-7691-43053-26875-30220-29070,2122-1847-15921-8525-1684-3990-3932,10280-3536-12033-19656-3634-1087-3383,3923-2972-5298-7686-1684-1043-2116,1732-3654-10059-5279-2472-1697-2235,easy,wrong
180061-1544849-120087-437040-117880-102369-958631,9258-57192-19835-145034-35196-89311-168449,17102-16485-3362-18113-4320-11083-40387,26296-6526-12642-114450-15617-19668-48004,7728-4326-1709-16335-1893-4854-62065,84920-5825-4549-15046-3183-4950-28150,24679-4807-1087-7153-1583-1279-22186,22727-3424-6009-11124-952-1915-8181,easy,correct
762499-309897-310557-321858-762115-84032-183573,56522-8923-69503-26184-240859-30541-2145,53380-6444-84542-203-19001-15140-4415,24631-729-35053-19331-60740-22559-5715,24056-6586-28007-1672-24303-2560-2281,7141-5561-14056-3944-11378-4386-593,6322-3251-14138-2789-8434-1969-644,11244-2328-21920-3881-13357-1996-407,hard,wrong
16680-568174-882439-253332-255498-27567-54525,23381-260842-149312-74279-67652-18681-19173,16277-30955-11964-39059-20841-53845-7922,8636-27108-42159-9294-22869-127122-17203,16105-23781-12327-3545-8155-10530-5145,13260-27170-14766-2815-1607-17899-1464,6962-8633-4996-2336-1555-4130-2263,7963-15419-13887-2855-1606-5002-1359,hard,correct
200092-50052-2426825-47589-57482-120965-417669,33370-48389-72578-6772-13845-28358-86913,11719-4375-53444-1071-2922-63637-5935,4738-1307-19697-2579-6070-47000-25416,3384-2497-14979-770-1469-34990-7684,26719-7602-16548-1210-719-7007-9823,19356-2069-13519-451-505-5217-9047,31422-3918-12435-560-347-6406-2165,easy,correct
660695-525311-447570-202313-1296797-69027-39446,65855-43559-12044-34177-182268-46276-4039,35431-6533-10880-14371-53921-66576-1315,17337-11312-4593-14976-54875-111011-4658,7257-7133-3276-4336-4328-11129-511,7506-25653-3536-5087-11297-10280-708,2921-19932-3939-2278-4977-16069-549,1444-17106-5087-4489-10871-8255-588,hard,correct
1289327-330319-1529671-202342-511909-83570-250659,64953-98872-673135-112585-20480-15257-47443,3711-31799-56230-5889-9198-4131-58236,2587-26517-17202-10324-11037-33250-125983,5997-116665-50487-9539-14565-1901-15779,28826-52610-39076-4358-4241-4099-32130,11363-21986-19342-4394-2147-1254-6355,6236-17619-14572-4175-5106-3044-10518,easy,correct
1170500-141878-669589-277994-631288-473252-56356,224770-38710-85524-9894-113990-86340-20248,91896-5239-18012-8564-56132-43723-16064,93587-6579-9127-9757-61658-69858-115739,24269-19525-7188-6054-27138-10729-12874,63787-28278-3167-2342-17078-46014-16176,18556-11963-2207-2387-7380-16908-6794,17922-16105-981-2223-7458-14804-7609,easy,correct
957232-677145-385288-2227839-330518-76579-81116,116717-213350-337576-68705-274371-46996-14215,16987-7313-40435-25911-16847-11538-4867,2434-41829-14245-72210-133087-127889-5914,10496-7940-5854-31171-13417-11607-4371,12207-17705-12696-13690-13653-8271-1311,12512-13422-9988-7230-41889-12181-835,3889-11657-10581-5695-8661-8823-543,hard,correct
150349-297506-108414-474266-75447-90271-980481,131921-51871-160742-90984-56274-47008-39671,19501-6694-21664-6644-11183-40872-13833,18446-5100-9865-88530-9041-12554-4680,3603-3624-9125-20110-3244-7076-9693,11048-4567-3042-9203-3997-3988-8068,5211-1412-3865-8786-1591-3196-4466,6342-1151-5606-5186-3006-1739-2583,easy,correct
452952-175687-61359-12093-831245-82821-95959,142208-393938-7212-5492-12577-5332-5305,13062-61332-8736-30037-9178-352-2944,17881-72163-8199-7413-27060-3612-2087,5397-15128-4554-7161-5849-1752-847,10885-26054-1089-3317-6527-577-847,9486-16416-2645-1948-1861-943-401,5233-4430-2339-2338-2275-739-173,hard,wrong
824309-56923-280640-71430-131733-74985-36401,48258-19797-53559-32656-19278-9931-77628,6688-2081-11919-7356-12328-6750-92299,22022-1227-33082-6062-31042-30368-77186,4771-1634-3827-4187-2012-1504-13954,12608-1043-2537-2740-2249-1815-10282,12669-484-2006-926-1837-2109-7365,3872-702-2508-1467-842-1317-7360,easy,correct
69356-191582-247657-86317-87414-1099288-67333,13273-47784-34716-11892-25647-97386-8380,4201-12612-57730-17228-28422-47260-2363,1761-12535-105878-15700-29892-87081-4830,761-1697-28875-3846-5428-16823-1086,3950-5474-12967-2582-2663-9505-702,1813-1318-9420-1874-1722-7526-940,1517-1087-10358-1398-2441-4654-183,hard,correct
75668-54972-1114860-44494-31311-168711-65771,12467-32547-139315-21215-20491-24824-141918,8772-26695-16667-12710-8167-45632-57700,16413-11850-14415-7117-123269-22293-30598,21836-5365-6822-4007-7686-9331-10266,13245-4859-1571-2370-3843-2740-8162,9224-3548-1417-1456-2209-846-5149,5059-5606-1857-960-2971-853-3414,easy,correct
738187-33537-8325-134345-54699-198497-366882,18982-81078-21111-9780-16504-213292-78024,2130-792-6693-15038-18360-89442-22879,21453-11803-7737-13258-5432-11465-16785,6464-15508-2139-2861-7068-11000-5677,5231-5329-3773-5061-4722-17615-3209,6507-15698-2257-1510-1360-5796-1407,2082-10185-875-1937-927-8997-1228,hard,correct
458773-30260-99847-1722531-82234-7848-249329,66467-28635-11473-46450-15201-212449-7860,31875-10185-12441-22473-25578-80602-6074,12502-14847-6786-64169-135558-138909-2447,23594-8251-6120-12763-11126-19288-1339,7988-25019-2962-4706-10194-18604-826,7375-17166-2214-5232-7812-5521-1042,4384-9969-1459-6092-8591-8181-273,hard,correct
997107-24719-197206-96809-734725-169841-529633,43088-21474-41024-48526-33517-39378-199302,57193-6660-5382-16117-18114-9745-35299,2021-5959-2303-44225-17596-11333-22721,2968-7087-3803-13490-1156-4156-17906,7795-3751-3008-16163-3873-5014-2802,3829-2570-2387-23103-3311-1892-2837,2402-1241-1922-5360-1480-2172-2702,easy,correct
651083-346979-526253-54079-17833-471119-118520,30962-23438-117612-39732-66939-145760-100052,6777-8698-57528-90875-21947-77182-95137,7290-1846-112400-36408-79723-96532-60534,5380-993-44402-19289-15828-9547-26982,21641-2575-20194-26940-9638-6384-23701,7767-895-11731-16592-4920-4627-3512,8469-697-9385-4953-2528-3921-5546,hard,correct
740911-498611-333123-40924-908875-227148-938529,136306-133343-19346-28503-109321-11991-19042,114638-35149-10081-16383-11905-5566-15104,11489-60859-10505-15991-235041-19128-19997,25011-12018-3555-12456-11737-2238-3523,28256-10262-6784-4813-12153-2314-2211,6734-8113-1040-1668-5976-1139-1176,7633-6267-1721-1014-6451-850-2156,hard,correct
254185-2430867-163044-1389333-536931-67587-50273,130772-565280-11679-178550-5836-16705-8530,24456-193837-1304-51698-2610-24843-4416,27579-34658-2094-133677-30323-101328-5531,3658-54510-2283-23111-1816-18513-3354,6873-32829-1401-9664-1994-23777-2587,1807-11824-470-12295-867-6253-3550,1610-11437-298-5971-1817-2192-2343,hard,wrong
91420-75754-1200627-186426-2117316-828377-428038,89795-115265-346377-44674-209709-52908-130381,7778-9035-25505-2033-163027-89083-24529,3850-4832-107334-60481-56680-45691-82432,8224-9222-23991-4030-39569-21829-17677,6320-8837-6914-3545-20018-5927-10516,9264-3366-11516-1154-15220-8631-5417,2556-3562-11465-943-5745-6380-7344,easy,correct
170085-489514-28339-24048-18549-663605-788898,15989-402420-13133-18493-30284-23037-40206,4672-123431-5492-9080-49252-59159-37531,2392-37912-37161-22487-183648-17692-23638,1603-39081-4161-3836-6545-5800-4851,1191-14138-1963-2667-16822-2383-4139,1117-17791-2527-2138-9220-776-1801,413-5985-1248-895-3702-867-1257,hard,correct
1806823-2364104-97912-49947-98830-46641-247405,274713-196231-32789-41852-40950-26849-180552,27205-35745-5585-11496-20279-1042-73484,12012-57328-17026-21979-79551-42024-56946,28868-36452-1221-3330-6866-4005-21653,18909-28595-3617-2914-6004-3170-11155,8701-12182-2135-1046-3641-1826-2717,13907-15742-644-1213-1520-2637-2517,hard,correct
27521-54167-276216-178484-199154-88332-1037926,26209-24406-25275-7352-101205-275336-208653,8653-3506-23765-17983-49027-118543-94933,3956-2401-8223-11941-57173-106171-201222,5360-789-11556-9955-12685-11697-54357,3749-1051-16780-4943-14099-12875-24634,2936-499-11390-2509-5684-8502-9799,3206-190-13050-2095-2260-15429-6231,easy,correct
83751-53563-527004-47557-17251-86881-18513,19383-65216-25856-10409-26651-15159-5289,21131-7446-13143-28444-88303-39916-35025,11038-8679-7780-37208-20731-103300-199391,12293-1567-4249-4150-7570-9869-10799,9590-3901-4147-2297-29667-6758-9437,17884-2235-4812-1426-9558-5541-10424,3608-996-1716-1400-6857-2925-6017,hard,correct
739992-25773-85159-565829-127923-6002-269452,253683-14147-105691-211382-8467-27879-72609,72348-4794-37244-61596-10385-15312-17298,22313-21356-16024-112322-9966-129267-297914,13438-4791-13901-4098-1991-1560-18886,14637-9135-7315-16572-898-7047-13021,14725-10832-7388-8443-2198-5531-9100,6162-2082-6221-5748-826-5112-15615,easy,correct
45615-19875-394192-800069-853718-625002-316283,16004-7258-225212-68300-604184-185862-63400,1635-5582-31287-6594-23578-5563-12720,2685-2776-26337-5412-114283-35835-11050,2608-429-13428-6284-22454-29665-7897,1376-903-6733-5761-33056-28210-4743,1211-530-17449-1293-21024-13178-4999,929-834-8714-2098-15291-6566-2456,easy,correct
8606-1061520-544532-242671-16166-32230-133987,4330-230590-19091-17854-29070-21781-270684,10193-36178-3909-1095-22307-10956-53477,2593-15384-15884-48611-44450-6893-18295,5222-18271-11629-3092-6452-6368-4887,2289-8792-7523-5419-4758-4479-10003,965-2422-5735-1899-3049-3330-6515,948-3817-2239-3001-2181-1688-4865,easy,correct
561273-9241-730131-254708-128684-444492-1712271,1003284-82239-15117-93094-47931-230465-105431,215431-7348-6998-7439-12942-35105-46876,92789-8748-4409-42647-12030-88675-29362,120227-6614-3116-13229-2958-18453-16223,67820-3532-6231-4246-2220-10290-4606,25976-4704-1652-2879-986-10978-5917,46465-930-1291-1083-1099-5570-1765,easy,correct
785933-2276618-1032896-598220-239116-1428058-61342,188969-34821-166932-3739-13877-91406-81447,33069-17548-43410-8225-14677-38017-15294,11666-5080-46120-3425-27048-149516-157058,16184-6812-47859-3700-23030-11273-5849,9003-9011-9362-2633-4489-9672-16084,6693-1624-8981-958-6392-9692-4353,2344-1797-8143-548-8710-4394-5254,easy,correct
691375-2441351-972233-874047-73672-255607-262572,40927-760417-23210-538039-6735-48326-67165,1442-108441-9300-99159-1892-11493-14711,1329-17832-7270-38727-3271-45183-31750,934-14938-2344-24138-3531-4599-16062,1103-14681-2733-12445-698-1134-7893,984-18352-597-7126-364-796-8358,328-7753-927-15477-1207-1858-15862,hard,wrong
625827-168036-702761-71461-137771-2351001-40281,116704-17036-91863-9996-30284-264495-32746,36991-27611-4185-4917-3576-90540-112061,10864-17194-13205-23395-12262-12936-48989,20252-9012-8497-3306-3386-25945-6457,9339-9653-3023-1671-6060-9227-7270,11139-9222-2376-3297-1899-8403-9579,4261-5645-4734-2865-1381-7727-8443,hard,correct
