delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1345732-314099-896530-850602-127145-233557-182428-675621,168599-57198-715462-7010-43719-20228-38094-67224,114196-7780-138043-28313-3607-26633-3728-54706,99568-42829-278436-8821-35830-10110-29252-43874,39616-3875-127059-7117-12090-10740-15841-81059,18013-5781-53007-5035-10399-5154-6174-28480,16110-3973-24300-3526-4346-1964-1721-10124,6593-2637-13572-1141-1804-3038-1699-4599,easy,yes
966038-1404007-613965-1271355-913389-2205756-372148-1257710,86627-61087-107486-236449-415412-145411-72096-134557,28907-9141-34229-34654-209128-131999-18263-18609,8224-23830-22935-64678-94867-71458-13248-20860,6784-10696-4992-15082-32844-37148-9870-17902,4052-8157-4722-23448-22329-30697-4215-10216,1242-2631-2045-13409-24726-26528-2949-3208,4001-1833-841-7474-15507-5618-2577-1256,easy,no
1005565-1181684-1686285-1152316-81952-1257245-62209-462641,453502-174204-147642-522188-44529-117938-81221-48707,21424-25092-4765-171686-12702-29992-3466-16887,59948-93933-41981-123152-21759-80560-17242-5595,12352-28906-8496-206335-7112-36851-5916-2457,29587-14988-8674-49830-4502-16861-6248-5947,8257-9255-5565-43537-5769-6258-1324-1802,3325-12738-1458-32752-1301-3188-1800-2239,difficult,no
461046-2351778-148883-1685756-30650-163218-243641-160417,47926-689910-19688-66429-5102-55112-59089-22821,17548-79477-6863-27735-1580-4701-4175-4125,8130-54366-1446-14688-1154-1687-3488-7156,2742-23993-1821-3878-1070-933-3528-5904,4904-23452-1683-5550-1058-2477-1662-2296,4907-24942-1229-2715-286-1565-1132-842,1536-8008-553-867-341-720-639-810,easy,yes
11761-95156-1186306-138238-106121-405476-2455111-2306737,5590-57896-118599-45180-31449-45386-80688-162688,13236-35945-54498-12919-7748-57156-131427-154011,1176-6773-36233-12550-8585-6417-72272-13347,2749-8439-36873-3986-7460-19421-36097-29912,2028-7098-19710-7728-10035-8756-30069-21843,1434-2799-13555-1263-3898-2759-8437-4823,468-3670-12653-3502-3283-889-15773-4025,easy,no
1332212-731218-870476-281591-1277445-418515-839191-2117581,150477-185786-278133-51305-112567-17974-48690-251568,35967-11273-29830-13328-22670-8419-3656-42436,47009-25819-41158-21556-50231-32499-7156-30145,24954-21960-43341-5864-90080-5448-22957-54192,53886-13485-26988-7216-20797-5665-8513-23453,21829-4145-14281-3254-22340-3915-1595-15153,6523-947-11427-5613-23822-2086-1580-5166,easy,yes
827737-111971-63650-1549822-1558642-162371-743997-501694,420231-69059-2207-233291-672966-37672-169765-28166,10299-22093-2591-96401-113265-10963-49943-21671,64218-39908-3178-18666-55282-16101-32107-10924,57977-4179-2344-25151-20867-23125-32202-5517,29154-19371-2174-16763-17696-4189-12506-6126,14254-2079-794-10778-11153-6927-14288-2031,12523-4971-500-16818-8116-2386-14647-3282,difficult,yes
281939-565595-378404-831119-402677-29672-581246-2402256,182879-50618-54046-238752-33692-19919-73802-588343,9435-11992-5982-45670-12946-3269-25593-84414,9192-21804-24443-103747-22299-2354-5215-15331,11293-7175-6039-11542-9568-2834-6118-21025,3488-9260-4073-38868-9274-913-3424-25820,3790-1852-2328-7908-4352-416-1726-13707,2537-1014-1951-5539-2742-372-1982-5713,difficult,yes
1090023-308171-604812-1332037-250568-2111439-56368-2352862,454495-93714-46371-136824-12609-476758-62043-81533,99134-19522-23408-35344-1481-62577-6709-8101,158329-10735-12239-58962-20212-822067-11444-13752,92196-2260-11176-51994-9022-198673-8579-15815,26483-5580-4753-17728-9639-72556-7714-6353,23941-1756-2210-21208-1600-40706-2244-1932,39457-3322-1414-6991-4870-23791-1300-1486,easy,no
1035790-772120-772120-1040331-1040331-768554-291943-1195668,260793-71026-71026-340439-340439-21176-100464-115190,65934-7518-7518-17092-17092-7320-23623-30114,41806-17905-17905-20357-20357-4586-6723-41206,66215-13324-13324-39011-39011-4828-6259-22286,31497-2432-2432-15474-15474-4231-3712-10541,10878-2328-2328-12512-12512-2482-2540-4964,14835-1096-1096-15233-15233-1688-2464-2628,easy,yes
111489-1144650-2008522-1154424-1613429-166549-958894-313413,62157-100843-432719-224066-1506286-15773-137550-97182,25115-23649-61236-29726-196164-8455-143147-33636,3884-68308-63307-19201-194534-1187-103691-29158,15200-7873-33434-13938-108741-1400-55424-2965,7363-12304-12886-7164-58401-744-14830-11216,2717-4539-10364-1426-31873-1170-9696-1667,4074-2906-4064-3643-53176-367-8038-1519,easy,yes
