delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
226165-437794-601484-83089-31447-12527-79812-67679,32577-324084-162349-22964-15681-21963-10888-5821,9953-145124-22548-16217-5596-2711-7867-6410,9702-33191-19120-53349-3368-6707-2830-10895,20721-78049-32793-3243-3093-7019-2466-3151,7021-69828-45420-14370-3633-7369-2229-4592,6028-72530-35969-22138-2350-5838-2039-2332,14549-18743-7982-9005-834-7969-2341-1560,difficult,yes
1070399-14693-30538-522404-279525-5274-66411-72199,292438-4791-20336-524172-26644-8170-20969-25317,28823-4421-5453-289697-4873-6826-2630-4506,21094-1500-6961-348696-6216-6306-2740-1919,12602-3496-5567-176916-3096-1506-1537-231,18446-2139-7488-107933-2446-9598-1357-2683,12949-1974-5151-94337-1407-17337-1599-1774,8290-2577-3322-27075-1294-3173-1621-1870,difficult,no
22322-91405-42648-82236-150052-6225-225850-67702,5131-35577-24121-68731-51651-13431-11243-7015,2542-16731-2040-1523-785-2953-9351-2631,1063-14117-3515-1398-2335-1914-4769-1464,333-13437-4511-5225-2014-1866-2007-2664,1380-7974-1727-2758-4534-9353-3943-1932,503-2972-2538-2872-2095-4636-2229-1056,311-7345-617-2701-1136-5348-832-1885,difficult,yes
247493-21632-128262-457431-314730-10386-39280-11546,58568-35379-30732-19630-13242-3251-16151-21056,10575-14544-350-6495-4855-537-1289-8374,13364-5211-666-26504-8001-2200-12369-6353,2787-9722-2322-5537-4757-1126-2122-6958,5313-7869-2319-5670-14850-3030-4275-6224,1683-7130-915-7229-5693-1305-3692-2385,2712-5643-1318-3097-5668-1588-3495-3255,difficult,no
30693-305828-89894-864694-1423723-8632-22842-130502,22668-54548-7457-25972-46280-7026-16656-17632,2485-15371-1250-88990-3528-2964-4998-830,8245-35745-2286-42681-6439-4682-15495-2623,5222-31670-5172-31785-11678-7974-18730-8440,2315-7232-2091-7631-6024-3901-11951-3134,5417-8178-1312-8216-4167-3661-7586-4857,1018-11340-1129-8477-2185-3358-12379-3468,easy,yes
79821-1637124-1010935-1518985-229391-5157-1806-8068,13532-378352-183698-146298-65262-9647-18950-8217,11496-51766-10349-18610-1803-5135-18965-5720,21375-77359-36436-9026-40068-32313-28298-8064,5128-65863-26857-20667-7384-6254-3960-17750,7245-30047-23028-31477-12860-10286-9282-4645,15738-27256-16184-12654-7429-4225-7507-5281,6252-22379-7740-12870-7630-3660-1312-3976,easy,yes
93012-454164-834654-386617-88858-1330403-1600-19677,15950-75863-6418-8336-25523-70550-9725-25680,5927-27434-36863-2022-1693-33141-1672-6714,20730-10469-19644-1829-4853-16751-8105-14397,9581-18962-14276-1942-7284-9785-9477-4323,13161-23105-19638-642-11390-13820-15081-9982,16599-12462-6645-512-2674-11479-21640-4298,3162-17046-2452-309-1591-14177-9321-11976,easy,yes
162008-1130028-71387-72585-153208-28369-22231-56665,27289-24930-13179-17020-19328-18791-14092-61511,10528-19798-5628-7313-5188-1668-8862-5224,7782-20929-3290-2216-10981-12055-1772-670,20620-10331-3080-3237-9207-4422-7719-2140,8938-11242-6110-4680-12790-4294-3395-1194,7355-19144-3954-1683-6580-3608-2638-1101,2394-7544-1981-3882-4367-5319-4461-838,difficult,yes
53397-104260-18525-1741805-48389-118682-38185-4422,50467-31830-30159-431308-3942-108060-14537-13604,9497-1313-480-21047-294-2558-3280-7326,5518-4692-9444-4816-1213-8696-2005-6763,3423-1672-393-19269-319-8386-1500-8366,7083-1694-909-6435-601-22461-1410-5792,7525-1612-688-1425-161-2039-1027-5446,3154-746-1280-6633-101-4975-1267-9432,easy,no
597225-9536-47613-55648-89925-9329-4178-108386,411461-10244-38458-7129-37781-21564-4782-64096,17697-187-7511-2806-7083-30014-1171-6011,11043-1097-2092-5409-5921-70167-2779-9126,6535-1895-4884-3205-14299-2542-998-3098,13127-2313-9959-1083-4786-4029-573-9773,4000-1415-2850-626-3188-5552-640-8443,4672-1573-2809-1392-1934-2189-442-7181,difficult,yes
423209-16847-69597-731572-12591-50620-79276-99522,46577-5146-14353-75353-17702-7692-24539-56810,2558-1584-3065-5618-4202-3666-3616-19200,4142-2085-1827-3174-4835-2095-902-14375,3553-980-2193-9615-3374-3359-1218-7126,2922-1488-1668-14691-5423-748-1362-7339,2245-1768-3549-6147-8184-1293-1016-5258,876-866-3159-5278-5025-1286-1510-2021,difficult,no
88870-100954-697813-4739-508512-114098-78025-189442,5392-29886-84829-9343-19866-37779-7307-146703,5259-2864-3668-9835-33488-3086-1436-1217,3124-5178-18230-6885-26443-968-6770-29883,1246-969-5946-7989-5039-9719-3709-32381,2603-2982-6516-12599-11478-7479-1734-40379,1269-2671-16887-6142-7943-3104-1662-17173,1482-1609-6135-3714-8673-3846-3993-13864,easy,yes
36004-1928520-386266-436565-1757686-2175138-139695-111847,25779-271407-91838-379380-69352-334849-27112-57206,1762-175028-9129-209781-123459-26443-19289-4285,2147-153217-10257-131005-20898-15245-4579-4278,2623-145728-4932-35339-23357-42972-4428-1740,2292-55992-5600-68602-35585-33866-5923-9142,3266-61810-5149-44554-22517-44461-5559-7790,808-24683-7446-22466-13696-16302-2546-1604,difficult,yes
292295-173184-49202-73812-287880-172708-275583-14390,11414-400445-34945-55713-110276-98997-64357-13391,3611-158723-33162-10637-16916-26489-2462-4540,2469-157892-17550-3776-27598-17081-918-6181,2459-19785-7872-3418-5079-19062-8936-3856,1392-21734-13697-10984-16643-14462-4123-2899,3546-20348-8900-10784-24913-14492-2352-9022,887-12379-5501-4793-4762-13074-3954-7393,easy,yes
1618256-963118-2036018-244660-320323-2096282-217526-233181,764735-467307-45829-44962-64421-236971-39836-19819,76405-61609-15314-3935-31559-119532-5477-10844,49998-37416-33260-5536-16226-32654-5512-1757,54199-50526-20897-16446-4356-47384-3938-2950,112352-56961-31804-10585-3281-28388-2417-3920,72632-41676-14382-12154-10460-15250-1810-899,48197-36389-14028-9019-2817-7846-1584-400,easy,yes
412183-263846-349080-259017-40665-410268-3334-8058,370663-453472-64799-50130-30562-3365-22067-5495,42844-43301-27609-10173-25634-6602-10604-854,24452-88383-13149-8729-25740-2059-3659-3478,27207-36569-20870-11186-20359-3794-2453-4652,8918-70707-22607-6935-10003-1523-3136-953,7178-36749-7209-5113-22989-1056-3414-1628,1849-15347-9664-1626-10276-2216-2413-650,easy,yes
1704893-374236-412985-129285-63017-2513-133470-114525,143586-655265-34033-1603-79782-4666-39673-64355,115297-30135-7723-687-2550-902-14452-20801,62424-31439-5318-1130-844-2059-14287-6635,28638-47145-5134-766-1421-673-17365-4874,66762-40238-2404-645-1127-984-11234-5855,35619-66664-1709-259-682-353-9903-4491,19958-8552-2274-193-513-588-4829-2455,easy,no
76701-117452-35443-74977-79145-41894-183122-312198,10094-16158-32287-83992-22857-8532-18700-67560,1711-1961-1453-9802-2946-4194-8065-45461,1188-12234-1239-4116-2324-1725-4320-14925,225-10965-2246-2293-2137-973-3847-19770,1338-19554-2842-7162-2997-2324-3511-11130,885-10200-1939-7873-1228-309-2855-5829,834-5116-688-3922-976-1761-1427-5977,easy,no
1189061-588364-29242-160479-4527-166615-136113-67967,34286-55482-18282-22127-35497-49892-52720-16888,17826-1250-7818-10874-5350-2789-2484-2566,25811-8421-3141-4228-1202-3309-2100-6028,13705-6193-2736-4119-4161-2423-1057-2862,7286-4645-2003-1774-7268-1800-1249-3501,15405-6780-1530-1976-5768-897-1219-1306,4463-3828-1218-1185-2944-1388-849-375,easy,yes
58026-60900-398637-320254-318817-555088-10575-248735,15506-40831-153059-360720-50640-102855-24675-155480,6362-8500-20353-54233-42580-8830-9143-109182,5561-12970-15820-56058-56174-3029-3391-44450,4267-16566-23245-67404-29843-10628-4060-16873,4181-16177-39427-22037-14326-4400-6321-33256,2016-8873-20858-27315-9053-5998-4684-19398,1588-4287-22273-16500-9944-3723-4252-28626,easy,yes
112267-124707-34893-24178-23786-498670-2089774-249685,22232-41557-8174-76417-11609-50472-339084-44822,12537-199-2572-29066-2172-4211-20221-25008,2859-10589-3018-62024-3214-7213-13021-42069,1437-6060-1259-7299-1339-8265-22342-26954,2377-3267-1035-6234-1603-8392-24684-11920,659-1341-915-5870-900-3475-25972-5419,1862-1768-560-2151-553-5010-13366-9196,easy,yes
983892-30153-221511-31537-68366-114272-87900-117659,176902-43953-43200-18179-7703-23975-31519-35732,23136-10334-1770-12010-3899-358-1277-13384,26817-16583-3449-3819-3302-2297-1598-3297,6299-7294-2616-3047-1603-2226-1123-2808,8047-5553-2330-3771-3380-1519-1139-4309,12672-1713-553-1557-965-880-837-5319,4923-1149-750-1182-640-774-705-5661,difficult,yes
49234-121439-9554-3420-96325-72646-82221-4684,6898-49523-29983-10586-46862-11171-13832-17110,374-11348-4803-13166-74424-5386-6079-221,263-30324-36263-3713-10702-1401-1098-2193,217-2242-4565-2210-34771-1218-1338-840,248-3959-5697-559-8609-948-1025-910,115-2045-2766-446-3408-407-503-433,308-1827-3130-329-1849-229-579-587,easy,no
