delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
835721-954604-2691520-1263275-380682-1505747-174618-405666,133087-94270-741619-441032-96721-1085861-378068-394790,22692-3746-46310-10296-26516-703281-29968-115373,101070-24050-374459-82172-6641-159097-27694-73984,13364-5246-17604-5365-12876-154870-70604-32599,39211-99640-469266-59672-6587-60030-39186-58840,23925-5904-19453-6096-6394-47002-23829-15692,2686-1545-10058-5454-1026-23386-2757-10941,987018-1187272-499730-1645857-789441-1768048-1985245-299216,6813-190835-98474-267269-941109-1465794-804718-42558,7194-114536-13410-121755-146762-114751-465923-40027,10208-200939-18092-104700-64368-287244-149573-11967,40804-22201-18786-38341-69700-57874-161462-12798,6255-68327-8157-39957-18733-72274-60904-13426,25604-18872-6483-94760-12900-10452-53758-5582,1709-3419-1936-13105-6761-18382-9543-1261,easy,no
504726-116345-13828-3486-57402-51838-495024-139352,38436-86452-10001-4891-23938-5993-140557-40191,4238-5551-2959-2684-9253-490-73612-5116,8466-956-11345-6309-4051-310-6918-6084,17893-3583-4249-5440-9804-642-6723-6241,13626-6695-11002-9712-18689-1064-6359-3973,8234-6151-9930-5183-5770-1087-5382-2511,4293-7349-9296-5152-3993-1051-6597-2036,easy,yes
2338670-414120-479293-2241506-59794-907110-248178-403773,330403-94029-408028-1136840-37361-139953-111461-147247,95019-12947-64704-325469-27034-17014-177423-38175,26806-8583-23312-248568-16775-9013-93950-33919,13122-9845-12763-83548-7576-15683-29451-20248,29908-4707-9241-51349-3784-34303-14414-13543,9377-2010-3270-34780-3016-5292-5250-4891,4058-676-1217-14875-1025-6670-2428-1452,easy,yes
505382-196914-1390747-182979-786869-1511307-124233-1777264,59221-40132-217640-33683-110224-180560-44297-835059,17611-15580-27275-8406-93426-69482-8186-116033,12542-4914-16786-18846-8370-37519-12800-124283,7068-9354-34854-3753-55590-26616-4256-56092,7652-4383-8041-2844-9849-8724-2926-56535,857-3345-4044-1504-4287-2903-608-15947,1939-661-2243-868-2823-3754-1414-12064,easy,yes
2153550-108344-2047224-1544500-501711-79167-1053022-1367288,377184-7347-118065-1090647-75771-88418-18679-216687,259845-3726-12042-340883-13358-16656-8328-24789,164505-2000-12240-89960-37154-9401-3958-14322,51763-2391-58347-99711-50331-2011-8541-18691,43338-1039-6750-27033-10950-1799-4331-14251,22428-347-3675-16452-3524-911-1727-1754,15446-206-2356-6337-1754-538-726-1091,easy,yes
1350442-2448239-102112-1437102-365821-1130370-247168-1224311,102287-745042-86780-200438-17034-645212-35985-51446,105369-167950-31945-55696-15576-10613-10203-5979,25590-125841-2271-31828-4767-14725-9509-5019,30971-56546-2777-7671-1133-38329-3787-1610,12383-28031-7494-8461-1280-22017-1318-1172,7895-19597-1658-7582-749-12791-1164-787,2205-11034-507-2519-291-2783-395-216,easy,yes
301640-223486-848319-26345-606027-324475-119308-263192,62351-81704-259690-5667-298033-46824-24450-146172,12550-10322-100707-3122-39869-12233-6738-6169,6161-1685-23163-3686-6637-3964-21083-7732,842-4964-11109-1004-12766-3690-4735-4462,1250-3993-4052-688-5934-1745-3200-1282,629-3150-5366-258-3374-310-736-531,509-559-1677-67-1925-325-387-283,difficult,no
104609-1299758-142060-248891-762638-246812-135909-748738,133555-195088-45421-121772-28968-25250-64986-96163,16140-46421-7091-7560-1892-13447-17976-4355,7962-22427-8103-5587-6972-12574-2992-8911,4269-17047-3608-1575-2153-4698-1888-1064,825-8360-2701-2417-2312-1730-1008-6172,1023-3075-879-361-614-955-448-599,541-1434-811-351-252-241-357-268,easy,yes
60475-500350-86495-198170-836478-163104-119519-187288,59584-17802-39276-18646-80267-164820-35083-25926,10303-3480-8686-7667-30347-49025-7139-10668,15397-6042-1798-8839-15333-18352-10018-5390,3108-6364-3667-3136-8556-3060-2052-3013,3914-2576-3556-1629-10523-9216-1450-2257,1259-768-762-700-3099-3008-1887-818,574-487-587-408-3547-1456-372-409,easy,yes
