delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
699781-121172-695636-1521016-724294-2420781-2171515-198046,109599-22153-236816-291204-29420-549113-686521-39946,33496-2486-74292-22160-3022-107501-31958-7380,9873-1265-47515-11212-4095-195952-51804-2133,19207-6267-36680-16537-2054-71205-32381-3197,14382-6933-72501-16472-6983-58046-73882-5333,14748-3269-30854-14540-3857-22403-68900-4003,19504-3141-26407-8910-1849-61617-21091-4042,difficult,no
1122107-354845-139171-488639-164165-344616-1308057-637604,78143-36106-18137-17041-34060-36179-175371-142686,4466-16106-3814-1061-4290-42618-101512-77195,2497-23426-1657-7835-15672-33749-21102-33432,8902-8090-2148-10790-8631-20859-64184-25793,18611-14493-4895-19880-8842-61657-137190-52844,5587-21426-5208-7495-5732-13530-73485-16056,8793-8408-2359-12896-7628-13584-19731-21428,easy,yes
1283553-798087-859765-843527-851670-1120327-709459-230734,84019-44189-116880-353034-129638-133801-59804-29080,6212-110802-45252-17779-31169-17125-24763-1140,4429-72988-32673-27421-11873-5824-15152-9938,7468-12593-40736-128866-15488-18778-10891-8676,10476-52283-87150-40711-12752-23191-16690-10041,9369-26859-68601-62353-21235-13785-15055-7659,6408-22935-25398-38022-7180-6656-7507-10527,difficult,yes
29371-26741-341916-192104-465669-130069-682462-411818,99863-6272-129324-298991-171368-6866-89067-268879,20246-4137-16925-35217-40515-845-22051-59614,38503-1409-13327-31996-39162-1651-85249-59983,56860-2692-21893-48800-42180-2763-72052-38459,43268-5348-27096-73609-62366-5748-46478-35322,23646-2853-18750-39483-28023-2837-19600-40730,19278-820-11088-22692-11536-3282-29691-15954,easy,yes
77382-184293-5519-172835-68337-214891-1055422-1739713,13852-82987-12561-115379-3609-17278-276400-255822,7421-3300-28735-26684-2318-2194-5757-32673,40264-2829-43693-28241-3647-2302-26727-66957,59119-2777-36794-17522-2485-5087-26497-47960,50507-7365-42317-38372-4574-4691-71551-65376,29795-3426-50954-23270-3420-3044-26419-12539,7090-4708-18923-20530-1090-1147-51359-46007,easy,no
292488-209159-153337-85063-145670-43844-116915-128908,50304-13248-33462-44542-33812-14033-38785-10584,12789-5496-5914-14847-12778-7877-15863-5472,9993-244-2494-6794-19814-5963-27542-1136,6404-2361-1144-12148-84206-3510-82517-251,9217-2338-4543-9896-95246-14963-33328-4642,11201-2134-4298-3978-27213-6412-17067-2513,4839-1133-1406-7783-26152-3898-26291-1204,easy,no
106690-123249-96967-156366-522121-86055-270297-893632,19335-44170-115045-111087-288789-10287-68460-48414,2159-5698-74633-3280-8055-1047-9996-19787,7277-2761-13290-20495-44530-1264-4216-1585,7875-10684-33628-24859-29915-550-18704-6006,7874-13530-74651-41228-52944-5364-20778-18327,22183-5559-28707-21291-32460-1901-13966-7752,8602-6016-14617-13468-40258-889-3546-3724,easy,yes
153882-597905-47250-144994-24003-23638-49895-27142,46763-15661-13014-18988-13669-6841-25372-31967,10651-7137-7045-8242-3698-2540-3865-20847,4720-9345-2910-8119-22031-8095-1832-21636,3113-4101-1786-13772-32389-7181-7734-22588,4659-5024-3177-10999-46217-8254-6858-17313,5303-5291-2290-10570-31894-4899-2199-10005,2799-4511-1460-5292-16638-3146-2905-6925,easy,yes
2283226-910730-652500-361449-326753-107276-706625-37327,186994-50091-217576-84861-308095-46963-41457-17846,184434-23931-18026-16530-52155-6621-14640-16084,51242-16345-56321-3357-98249-5890-22929-942,50735-6973-45222-4375-41707-9700-34571-5713,68756-15088-60909-12744-87646-8567-69888-15932,56606-24149-85360-14876-36364-4894-13034-8846,17301-20852-48501-8129-52875-3536-9074-1879,difficult,no
46643-744877-879066-170733-387624-1242793-71639-272847,13170-70763-26036-20974-90257-360234-51653-102036,2055-80716-5587-6633-10997-56760-24507-44588,1622-80748-8381-1018-5525-32999-14604-31686,2156-30141-3109-2562-3508-50349-15595-19760,2636-32016-12470-8710-20520-42382-72911-27383,3399-52328-6117-1795-12400-20328-45600-48816,1381-19356-5244-1771-6920-17173-15727-22414,easy,no
