delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1370-617-234-6462-397952-235587-63023-5814,210-208-2571-12914-20190-14942-45606-65582,162-277-373-9014-1671-2754-7817-5838,64-1828-1040-5761-1800-4340-5238-13450,544-182-809-4550-2628-1625-2858-8234,229-979-1610-9382-2485-2652-8401-10753,229-1001-541-4959-1330-1587-2656-7776,141-158-607-2107-2028-692-2299-3125,easy,no
4745-7467-7477-6011-2588-54271-7861-70495,4591-12906-3629-4859-11731-26801-9267-16559,2340-5950-509-2074-22416-5001-16786-3064,3696-13342-4669-35037-74276-6857-13973-2675,3347-12794-2286-8424-7935-4679-7421-1560,6307-18735-3610-5526-11230-1735-12908-1919,3518-3658-1057-3775-8648-2427-3890-520,2216-3142-429-584-2638-1067-3581-1247,easy,no
51071-101700-1725-25884-110564-26217-47216-70050,14426-14264-33154-62956-26296-5431-53919-7039,12343-468-5357-5901-3326-9762-2003-3974,3565-3735-9491-5179-6967-47150-3446-1101,1228-2945-13322-10347-4364-51264-5422-851,5109-2160-16228-17655-3100-11979-7363-2891,781-1418-4481-3418-1476-6030-1550-611,3190-948-1610-3589-426-4111-968-741,easy,no
4070-41627-750349-43534-12125-54912-89983-11753,7201-17640-406440-23691-30621-15065-81333-20618,2989-6738-2366-8181-29198-5036-17003-5481,8006-1259-32557-4869-3265-1345-6695-8159,32315-2794-27093-6133-9617-5047-6887-5713,20391-9227-41544-4352-44754-6999-33881-19991,8494-2889-45620-5649-9097-3229-11477-12221,9927-1011-12674-3489-11513-3899-4805-6268,easy,yes
1014574-3978-16454-14344-18375-10593-255048-10913,214924-10068-13329-11744-10832-17443-196422-1890,31944-7011-23947-15061-2814-2023-7217-716,36730-12966-28188-11259-46243-7704-5530-553,37484-11691-23301-30780-5805-7612-17087-571,27402-13012-38253-18014-20699-10488-22091-1033,21683-7328-3787-10216-4861-5895-7991-538,8655-10518-7711-7486-2425-3099-4040-224,difficult,no
126052-35133-51367-90630-24146-368131-58559-82323,17617-16567-34915-82159-16684-28036-24459-10379,4339-5581-12399-69077-6252-6511-12553-2156,73777-175200-383986-42344-63471-235004-4057-2778,894-15740-2681-24664-3477-9425-2544-2308,1266-7158-6972-7613-4193-15343-2141-2491,823-2238-1203-5748-525-3517-1616-1372,741-2381-1777-3225-719-2528-631-357,easy,yes
2289-9436-10402-3261-20405-16852-425-4292,6952-11948-9954-16820-16905-25633-6203-8420,5242-15478-16889-13452-6201-9698-3249-13362,1841-27501-13437-23620-10163-13552-4911-27735,12329-11829-7853-8244-11552-9131-2396-13646,7607-7492-16166-9516-5174-5651-2945-4659,4699-5322-3819-2781-1940-4714-841-4297,3303-2517-2427-1020-2417-1630-746-1629,difficult,yes
24253-8039-7247-11681-76152-4365-22391-1596850,31685-13654-5151-35651-16380-4827-38727-92092,6435-1109-3442-2583-4142-1665-6448-23983,7958-7973-2097-1542-1603-5113-6206-19729,9578-7063-7011-1719-3398-3298-1856-8998,4554-9597-11776-8868-1468-1401-6469-7063,6979-1537-4647-3746-232-257-4188-5060,10045-1848-1493-3127-314-246-1169-1983,easy,yes
992987-22319-5481-25026-36934-46306-7594-4630,44600-26208-8723-84338-15856-53363-12024-5870,70882-4447-20261-20175-5490-5161-33405-2801,90974-97169-180053-52209-360844-325743-213974-47582,25642-2199-5755-16403-17757-17768-18879-2801,16790-21184-12306-6854-9071-20738-8495-2832,11078-9305-3120-3585-3911-1595-3983-1911,1771-2506-2195-2493-1804-921-1047-261,difficult,no
1085003-81482-127407-84451-103369-259615-205126-4892,275387-23189-41017-40288-21912-41908-42721-4365,25333-3366-2642-12387-4723-5539-3713-2878,11294-2952-4565-20744-3649-6238-4067-4853,15632-1979-9624-23921-5524-19132-6182-1919,24408-4800-10853-26982-8458-59972-12349-14377,8140-7878-3773-31743-11376-7935-2757-1570,13886-3403-6395-31739-3678-10524-5391-4849,difficult,yes
