delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
341194-230748-69353-48989-1598401-101839-1488345-395967,141078-42222-16319-39274-129390-24375-55751-60636,1863-2567-3225-47071-28444-7612-16827-17374,31337-2839-13237-22685-15609-2219-15052-8687,35512-13556-4578-44294-21952-3267-23841-4038,12404-5923-3923-17480-21101-10048-9377-9724,13411-2013-2103-8141-6438-1440-3217-3436,8217-1679-381-2965-6984-1771-3928-1214,easy,no
106461-1241250-69982-170670-16622-910295-37570-155804,47370-53324-40693-4877-102556-101876-18566-45385,5191-28396-22915-5110-7285-66735-3966-6086,31399-26189-26428-4704-14084-27977-3124-13133,16372-30853-26309-3667-14421-14846-1851-3165,25503-18644-12438-8206-16694-13484-2884-4629,4836-6956-9774-1571-8431-7027-696-2564,3993-2368-10258-810-6401-8597-1394-1375,difficult,no
1112215-254881-163438-42969-13363-83165-8345-21852,225163-16680-5851-13985-9417-15235-151869-7110,18786-16465-3281-1294-7013-7170-51188-21505,37406-15620-1327-7636-1981-7924-9394-17030,10870-7305-3177-6163-3551-2456-51476-3100,6704-5583-1854-7180-6361-7138-12181-7589,10975-7086-1140-1635-2402-2124-5720-4036,5737-2337-812-814-1769-2070-3064-1471,difficult,no
26310-733684-33686-52286-15444-117863-2790-16919,7324-172657-62296-19650-27881-46201-9887-6326,15005-30544-4479-9664-17521-17234-4521-2024,5058-40561-16590-2259-1749-23351-3883-2938,5880-24668-6126-4465-6452-18023-2134-544,3403-16704-26130-2356-4112-20658-4582-1312,2772-5710-9428-1393-3755-5732-2644-487,1984-4253-5734-621-1046-4702-597-214,easy,no
574084-407979-346527-785343-527496-294378-729720-417158,147914-88239-562232-101064-677192-58674-167929-81519,25981-11971-167871-13740-57877-19596-7084-4073,22484-11333-40837-11982-70856-7517-28801-5153,18288-13223-74229-22504-83088-15937-204621-12403,28343-14787-40892-6718-102310-8968-48652-5180,40230-6090-46002-10121-93017-7613-28024-6021,23252-3165-48979-15246-29801-3224-28051-2233,difficult,no
384588-124201-131025-946238-148517-32634-380395-25753,12311-6291-10617-65691-54588-1965-262390-34753,5222-5940-10555-42949-17140-3755-11588-2968,17465-807-4614-93696-6926-31733-17707-2259,2861-6386-15614-20487-17362-5034-43683-4400,9087-11741-4955-22579-7120-6575-9328-3427,3348-2221-3432-9846-4530-4561-5566-1046,1922-1693-2307-4489-1083-1121-5108-1462,difficult,no
84087-187326-7217-37206-3638-293681-158343-314967,116526-71080-11203-11725-10824-135952-30109-187739,27133-9926-2778-8333-9809-54860-26181-32342,13909-3772-7402-787-2564-11991-33373-39877,5653-5496-7651-3291-1719-11719-57304-21130,4389-5496-3813-4245-2888-12584-19202-19574,2118-1746-1043-1235-1121-9777-5707-5571,1782-1884-787-1045-1092-3855-2568-2941,easy,yes
97047-106887-79645-19821-19763-143479-75638-11916,46195-39674-28787-43766-14475-34355-145486-10881,13284-7847-9809-13869-1500-3253-1564-511,2541-17990-18165-5016-2069-1966-6856-4467,2957-14156-3233-4522-1726-5414-9039-2494,5368-3994-4585-5203-2737-1851-2904-2150,982-2832-1646-770-1120-1860-557-1370,454-391-469-712-465-745-858-876,easy,yes
28657-152798-337892-258-241852-53674-320223-22669,21700-8970-45257-26775-12362-25953-39290-48984,31048-2921-12736-3246-6394-3515-34659-8515,15835-1322-7143-5015-5181-6904-4005-1548,14983-3682-2394-4055-3305-13117-840-16004,6282-567-3097-4593-1976-13414-4205-9587,1334-280-872-1432-1033-4339-1128-5645,904-175-1379-595-331-4833-504-1635,difficult,yes
76240-35255-82559-68421-45149-287199-96205-21587,90552-20805-52790-32648-7174-42696-5023-112156,8364-19804-16440-12536-22365-69152-5598-28235,3453-2235-11131-2113-11574-22456-2059-17455,5078-2523-2968-5760-11859-16885-2423-4404,3228-5378-3451-3281-16933-36620-1582-9117,1263-1186-2183-2133-6722-4864-461-11404,565-741-829-2270-4754-2569-255-10323,easy,yes
607616-101845-187697-600237-233307-839728-468941-42982,80612-4170-8267-463412-32390-166491-114481-14484,53453-1131-1165-62044-5693-66919-23995-531,17875-1322-481-52586-2488-28256-39291-519,13856-1969-826-22608-8296-14577-15764-3044,9339-1384-596-9757-2693-11141-16762-2288,5597-351-427-4770-1093-7380-5853-673,2245-204-134-5480-1503-3343-6040-602,easy,yes
275946-363059-34129-58003-30976-62649-166111-179840,19569-59076-34471-31516-45558-9808-49750-28745,26648-11146-6409-2653-13512-8947-6532-82940,6856-9488-8060-1350-4055-3865-4938-9730,5993-3535-20253-2979-4363-3308-3250-11295,4218-12724-12767-3067-3243-3308-3748-10023,1972-3732-12336-1605-1735-1023-2955-4866,827-2697-4202-386-790-2027-1692-1874,easy,no
25981-295161-36624-23204-28313-82142-74588-1481974,5079-34049-15705-8538-68784-116084-75429-109771,1655-11729-521-1680-33467-16258-18251-32238,4450-4506-6560-432-9042-36440-10156-13428,1511-7938-2865-346-13635-8345-5163-14399,1732-4564-2731-1023-11309-17056-4739-10476,1702-1803-1859-480-2732-6222-1772-2219,564-776-1268-118-2984-2027-2601-4530,difficult,no
107066-61682-358120-83452-70097-8036-35379-86186,90435-13499-35474-23749-9014-9770-34884-2212,2561-1638-16360-7235-1803-3389-7153-2498,6933-1000-5067-6953-701-1670-2219-189,2032-4249-5503-9109-1264-2584-1926-929,5029-3138-2311-9749-411-2800-1680-999,2061-1972-2746-5732-159-968-619-263,365-798-716-3510-423-466-443-345,easy,yes
113872-182871-7192-40188-276694-52655-56137-185223,46210-94688-5197-17720-11797-10743-21638-37264,7917-8344-2329-812-1590-3051-3575-1779,9824-58362-1486-1739-3084-1846-3117-5532,3471-20943-2984-1936-976-1111-4712-2642,5632-48699-2685-2490-3155-529-1564-3734,1327-3257-1294-791-604-553-2035-1372,606-5393-787-504-647-301-747-1495,difficult,no
75978-80295-38261-170997-176518-136786-79290-80704,44365-17971-4412-176594-41024-43785-83614-15891,4767-5104-239-8005-6337-6143-13629-3725,18196-2036-158-12921-6952-8376-10016-1341,9150-1648-2066-11375-9988-1925-3298-2037,17346-1071-3011-8070-4511-3547-6688-2317,13561-488-1864-5196-1489-1418-2031-991,6042-97-1170-2427-1591-706-1527-738,difficult,no
88704-26711-1684218-54929-2534-21083-40031-63831,27388-33557-199181-13579-2345-25768-20080-13485,6651-15113-18543-3046-1386-9217-14447-2036,3597-3975-17734-1747-4890-3981-3765-2827,4138-1579-22421-1866-7195-1972-6077-895,2813-3544-13942-3065-3470-4032-13112-1022,2889-1045-4694-800-658-630-3359-291,1187-896-5735-757-397-617-2492-268,easy,yes
70412-8810-72367-105746-260430-52886-2437-532563,29945-5600-35359-125674-39330-22383-4305-37558,4220-2505-7296-6811-3684-9606-1014-8371,606-1205-4050-20982-1947-3649-3093-4382,585-3287-1555-19879-1293-7578-7754-10815,850-6071-3325-14240-3173-12072-10081-2313,262-825-500-2963-1131-6449-4328-5041,309-779-464-3789-466-4429-1568-1590,easy,yes
286250-100668-13712-37949-99465-138895-156821-731249,42271-22687-3924-29642-109695-54889-15947-59503,4403-9160-3858-6160-1443-15772-7958-2609,2507-3045-5434-3276-7350-5111-8381-2755,2745-4677-3089-1291-6461-10031-12827-3568,2855-4720-5906-1921-3694-4037-2964-2815,2254-552-5202-2073-1368-2293-1591-1742,1197-648-2442-601-785-2492-1993-680,easy,no
216890-154269-55913-129202-873-153297-3450-130609,27687-25041-25445-36467-1257-17002-2945-65523,7327-4755-6961-1898-1178-4492-3254-11960,25452-2069-3071-11208-2590-4005-2975-3366,22015-2012-1208-1982-3045-2024-1017-6485,18558-3244-2231-1639-1767-4198-4567-2485,1872-986-929-863-1146-1966-1435-2793,4502-1310-1124-696-434-483-420-477,easy,yes
518023-7916-6050-170381-25931-53729-1345548-99643,59303-2228-6594-25363-7563-3197-103435-15665,1980-1070-596-1791-2693-1485-18708-8528,8539-2024-2759-2322-4402-2442-39915-5084,6672-3751-5870-3318-3082-1249-15889-25873,5761-2154-12003-1667-9691-226-10135-5817,1867-934-4203-584-1957-152-3502-3578,1024-672-981-701-1426-182-3863-1600,easy,yes
206593-1337412-65214-29437-114290-37489-223318-17110,54371-149227-22521-17173-4253-31854-24760-20498,4878-18380-11053-2112-63-10574-3804-1696,3111-12008-1898-839-370-3345-2633-3221,10325-7741-5692-1127-458-2738-1049-3389,8799-3416-2446-983-768-2094-4087-7870,2806-2679-969-997-104-1526-954-1135,1882-1902-574-378-110-701-703-1137,easy,no
11678-190393-39048-74020-22856-6359-67633-124810,10507-23134-16037-1989-24665-15868-36279-27501,1153-3089-5507-795-6791-5070-5952-2728,8194-1785-2404-418-4573-4341-1561-5483,1408-1004-4870-1310-4020-828-2386-2855,2633-559-3109-860-2894-3215-4881-2317,2148-374-501-151-906-1426-2504-641,402-230-322-244-460-472-467-511,easy,yes
35215-765578-9436-29598-145605-42328-73989-15152,78682-38991-5286-38266-12991-19067-85180-9689,30416-9145-1470-5875-7987-7536-6942-4117,2942-7700-4884-4572-6857-1856-10022-6745,4939-6273-1675-2693-1963-1712-3472-2474,4828-7066-1714-1323-3630-2138-4621-23693,2232-1113-1136-1108-648-1748-634-2647,2116-1620-605-731-454-690-406-2918,difficult,no
7842-292772-51275-259208-7551-22350-49814-145848,8684-29893-26190-61235-9026-16459-43141-11927,2724-991-1122-11084-4808-6043-6781-1454,2117-4824-4750-15393-23614-1258-6092-3151,904-7784-4261-10161-11110-1599-3823-4116,1870-3344-2147-16740-16457-2165-2593-1797,622-887-1238-7093-3876-1668-494-1365,511-388-1054-1903-1163-540-558-627,easy,yes
