delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
81115-18859-13175-175193-87448-19291-15074-13142,14255-37078-11263-519226-11195-17542-7745-6209,2888-8638-1881-30217-2674-8054-25829-2625,13615-18555-9231-40682-8991-8433-16280-3174,12258-6067-10619-30689-8513-9058-4257-1992,13258-14737-13782-44039-3059-5111-12014-2278,17759-5321-5994-7964-1486-4230-2927-1600,12423-4685-7268-6999-1221-4157-5121-587,easy,yes
48984-261446-31419-9794-6844-111639-21461-12570,39535-41877-19355-7999-4599-112218-10187-17126,10009-9093-2011-1568-6183-3092-6705-9080,19452-12078-4706-1274-9381-6668-5638-44954,24321-3007-10427-7679-7283-6621-9822-28326,10950-2147-4068-6457-5265-10495-6927-6786,1820-937-3810-3421-2336-2817-2026-3817,2434-711-4085-2780-1942-5206-2631-1893,easy,yes
49451-12559-22159-40536-6771-12930-17179-35643,81011-44138-7689-7472-14852-18641-8119-12705,27102-9324-11769-1235-5266-13019-160-19630,14293-3590-4775-3487-8093-13896-1892-2259,9168-6320-11584-1703-21674-5762-8079-13873,6108-6237-8165-1930-12592-5822-2467-5005,2063-4111-3340-561-3555-3575-421-1165,766-797-1825-498-3878-1331-222-1654,difficult,no
96460-1253237-12470-7908-1736-33488-26621-10569,34170-282747-6074-5970-4643-40502-9028-2153,5573-45137-10105-5147-3789-9374-3012-7339,5319-18501-4359-1897-2741-2058-10478-2923,939-40633-6548-8182-8862-2972-9684-4527,1650-8819-7491-3691-7147-1794-5412-3367,551-9466-2285-4350-3550-1113-3717-5871,499-5108-2148-3746-3015-156-2545-1366,easy,yes
18430-137259-2655-13254-81591-6259-21499-75440,2957-78964-7190-10744-56354-7299-7441-66794,420-8200-6255-4052-7902-1319-1086-3467,15676-1862-9236-4556-9405-859-2204-8075,2671-1395-11294-7020-3282-2044-11314-2845,4388-1453-6980-4948-4731-1846-4504-5412,1009-423-2006-1240-4756-801-2195-962,1387-372-1045-2444-1271-974-1995-884,easy,yes
2144-6272-5292-81027-2049-1924-52423-5357,4469-12298-3875-18615-20751-5657-41227-10184,4169-2481-2750-7024-12480-2766-9601-4314,16073-3499-16553-3028-3735-2734-3346-4148,12511-14056-529-2108-4391-8610-8664-2558,8048-4008-9989-1323-6663-3308-5318-6955,1282-1356-613-730-3393-1815-2496-1565,2265-1632-606-262-1872-1002-1373-1432,easy,yes
1669547-5620-12479-42734-6057-32821-15392-8200,255852-11535-11879-13937-6290-15937-1692-9377,19261-1179-8137-4020-847-10476-206-7859,31030-534-2875-3644-1670-2936-12303-16016,12513-3555-2386-4937-1909-19139-6875-4356,5483-5772-5053-1563-2286-5174-4464-7133,2029-1089-1020-329-875-2061-1635-3193,1868-1187-726-241-393-1982-1208-2270,easy,no
1839-6159-51859-9278-38424-2322-92159-92141,14893-20024-81361-613-38888-8996-21681-64684,1357-1857-46697-8793-18106-5604-2711-12284,4425-8661-14921-9949-16077-2670-5264-26641,7665-15522-12700-4354-1903-11115-2571-12739,5273-4724-9527-946-3488-16940-1465-11226,1734-1670-1395-166-1983-1346-547-2745,2667-912-1498-336-845-1274-269-2257,difficult,no
17978-15731-4906-14916-3433-1783-6788-22003,25105-7073-13258-7107-6563-5634-6435-9868,12135-3716-6644-5432-6581-738-4764-915,1469-3690-2275-2798-7161-4833-16297-1349,6455-5803-9357-4574-7799-3031-6787-512,7862-6245-5954-5581-4061-2610-8283-1016,2831-484-1250-1230-1111-735-1170-370,1647-2479-1178-3434-1921-871-2672-657,easy,yes
4353-6939-285722-74354-5524-3386-59431-9160,10487-9551-95966-35469-654-3914-10965-23924,4266-7738-21330-3128-2758-1962-4330-8894,11694-1351-6887-2015-1691-4592-2566-4637,6004-1860-10921-953-1814-4608-1776-5021,5016-1192-3938-1645-1825-3173-1073-3453,3256-573-2297-783-499-920-516-1285,2169-355-901-469-408-564-339-1211,easy,yes
51357-16283-225751-51469-29347-27761-15072-71957,51048-15039-7419-26303-32671-23644-15381-46027,16143-849-9639-7681-17249-17876-15551-30777,18008-4350-4675-2025-21930-7381-3002-19882,6576-26850-3076-2246-11414-7755-6667-5742,4474-3658-2414-1507-3970-3834-4278-7047,2038-1116-901-710-2155-1514-3707-1682,2081-2640-722-436-3504-2164-1208-2013,difficult,yes
97583-313163-35494-31062-9647-11152-22112-2865,51724-124624-4991-10556-6688-13217-8078-10558,9944-1259-750-988-11980-9393-6802-7619,2905-13304-4075-2008-8020-13313-8319-13165,4388-13510-2377-2640-2494-3937-20055-21510,1555-10064-4174-3010-5184-6536-6029-2351,866-4856-1344-810-1168-2416-5969-2898,1395-7788-1829-495-1077-894-2423-1300,easy,no
14492-16128-49604-10083-41317-190800-120410-141263,10415-12857-11472-16234-17831-47206-12920-10486,9428-2583-3612-2596-14845-6455-7358-31806,4792-28003-2225-6016-15246-23614-11396-263815,3559-3399-1178-5920-5326-7438-22959-6686,8211-6636-4402-8672-10032-6607-4783-7289,2019-5178-723-2870-6578-2294-4142-1337,1413-1675-228-863-2561-883-1206-815,easy,yes
1248-3714-79425-23178-17944-2400-100560-283034,2822-9486-18565-19510-18657-41775-21961-50186,13134-23354-6823-3043-11901-67059-79785-7680,17924-58882-8916-14433-63489-73646-32101-16714,10120-3366-13740-3611-4327-4347-26454-14808,9260-5200-8737-5891-16278-14406-18218-8283,4683-8649-4786-10898-11929-5383-4722-4555,3596-5593-4721-6955-4741-1360-1560-3001,difficult,no
211970-39308-8970-150560-5949-6112-20468-3998,73510-5884-7298-7196-5288-14741-47447-8007,1441-5349-7781-6726-4489-5940-9508-557,615-9852-1927-10376-1833-4353-33378-178,4703-5448-8507-6349-3833-4839-6799-3269,2243-5583-10642-1309-7963-3903-5740-1780,1053-1537-7590-745-1725-2623-2505-567,614-2979-5908-561-2456-3407-3021-635,difficult,no
16741-8812-14845-34827-14266-212858-72076-114417,10936-12046-8230-5958-36847-69217-93598-18318,16337-9956-13849-977-15985-7013-5559-4025,3451-6369-7330-7718-5050-43949-2177-1179,5930-7105-12879-2070-25942-3839-10918-901,5695-8440-14843-5993-6027-4017-1495-3517,4708-1392-5625-775-3708-3255-855-877,786-3194-5057-474-1693-2924-389-285,easy,yes
87157-76864-17816-92540-6237-2990-5918-12209,40834-20951-23092-16248-1071-9104-7552-7655,15028-939-5515-2371-1232-5178-15719-1930,14257-17289-5304-1345-2408-7791-12219-5007,31291-8625-1460-2340-832-5817-11317-8143,6547-7606-6460-1243-1988-3998-4185-6601,4315-2388-1200-755-1036-4274-4497-7826,2626-2747-2702-839-782-4205-2274-2275,difficult,no
7727-86892-1935-115891-22598-14391-120739-81426,7590-28733-6704-70546-34421-4958-31666-58549,2808-1512-11093-25085-9332-13468-3853-17226,4138-1537-1704-12714-14809-1761-3603-4044,3914-1888-10882-4893-5474-15400-11968-4614,7382-1569-4998-5315-8487-5457-1898-5535,1078-783-2339-3446-3489-899-665-2352,2082-229-1878-1152-3673-3047-1414-2017,difficult,no
17765-3157-2757-36556-10777-22449-2727-28962,19657-5889-10565-36228-9059-7438-899-22481,5979-12850-1212-8890-1452-2852-603-1553,5281-5302-7864-3666-5210-2241-2348-5354,5218-9740-5783-1593-15909-3838-1264-5747,13344-4705-5090-1394-2620-4077-1187-9144,3689-1891-1450-359-2636-2193-729-2002,786-1534-2374-592-1329-801-746-1081,easy,yes
34379-9814-20503-162254-344802-8487-33918-6836,39054-18842-5694-11569-78494-20679-21764-5161,3177-761-2803-2547-28458-2004-16834-4875,7238-7848-2640-13335-21873-1851-9962-1940,4283-8430-2065-3955-7796-2098-12922-2542,2276-4229-1827-2478-10668-1724-13415-5787,1024-5577-427-851-5630-623-1558-1407,671-1885-321-558-2945-636-1727-2868,difficult,yes
