delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
679255-1903029-1670692-2663148-158486-1939559-93288-906512,187902-117694-51512-166106-96384-261133-22672-380883,28775-21354-14028-337366-17430-46404-1711-56633,61235-117516-11699-146625-20520-71239-1979-44119,38923-56687-15488-60354-5702-34076-2625-20381,15973-22411-4656-35566-3435-7419-2164-30701,9060-7697-5231-15550-3337-6584-887-15585,4995-3073-1943-16729-3168-7849-1076-10315,331715-84317-144405-988645-162147-58222-163592-966798,57422-230865-97047-245481-34039-35496-20406-509235,8761-35618-27303-55807-5352-6189-5580-8343,60717-5696-9457-64009-27232-6109-19688-80431,11068-10827-5227-41196-2256-14636-1843-15748,7871-4703-4568-40484-38508-56474-6927-61865,3231-1401-4451-28671-3261-3387-5003-120821,1403-2288-1083-2545-570-1575-636-8245,difficult,yes
1617165-1475886-368839-1690666-868050-266385-69112-2019207,339652-670959-49452-201330-87286-40831-505157-385686,60674-512146-12702-13861-19737-5475-103962-207151,57829-116963-8776-63145-59996-2862-50687-221092,35104-322272-7151-4988-58370-8450-74540-109755,25724-58744-4704-32318-10298-2295-41991-71738,4557-44049-2284-4508-7051-1125-7958-21694,4669-20135-1541-5241-2945-1334-3417-17787,easy,no
771676-944372-1670874-601582-252276-364720-495824-1088564,296587-212723-219308-86698-83876-98074-162953-226342,20968-72174-57850-7384-37726-19547-71705-153840,20321-49194-65758-11051-4688-17680-106111-73153,24659-59255-12337-18803-15124-10694-105883-82329,14939-43406-37920-19425-8212-10471-14500-29920,13573-10033-30118-2132-5446-2686-9607-10435,1786-5165-3858-691-1144-1637-6122-4592,difficult,no
687972-293593-293224-773376-703384-132150-542230-94074,1082330-472736-9470-109612-22649-247370-318883-50890,96417-68877-11436-11642-20236-95574-92584-8780,59265-33503-4727-10233-17913-14253-5916-12074,40099-29478-4005-18046-2899-14730-8487-1418,32825-19529-1831-13827-3592-13551-13227-5387,24557-22661-614-6713-1628-3136-3201-1634,6940-12386-354-2161-1242-1941-2520-1285,easy,no
1847735-1679427-419588-231034-797472-729722-695686-1623508,520242-328181-476187-21801-109791-802478-117842-533173,144400-50916-53209-14388-34642-20921-23518-58896,78695-11492-21129-4505-17921-30890-10230-19859,63811-8653-17223-4822-4805-25965-19766-29843,35688-2876-16816-2023-3668-23984-7599-8586,10461-5288-5445-320-1188-7511-2274-8278,14985-3170-3862-314-4090-8649-995-6554,easy,yes
1510049-1229169-1021166-449664-196101-305547-1808074-69951,77150-124687-324975-51650-39653-218785-612143-64415,14141-17648-36927-8947-11752-18784-88905-10442,10898-76764-17703-17939-1809-81735-50937-3290,5518-22756-28751-4420-1488-10295-31403-3328,6951-12657-12093-3679-1806-4598-18510-958,8375-4877-7459-2051-743-8593-11675-519,3101-7875-6065-1428-1297-1243-6856-1000,difficult,yes
1928336-1955177-607581-1318567-1465827-141335-54282-102756,200781-96499-69326-35132-356603-47353-13803-235295,62390-35613-3594-15650-191612-9645-8074-43193,38413-14888-2947-25449-19758-3677-1611-11725,18528-23114-7626-3850-8513-1583-747-19125,9916-7858-3919-1560-8601-958-1414-14241,6165-3602-1500-2166-8636-697-223-2059,4175-4553-1048-1442-5592-375-568-3425,easy,yes
2005492-160591-543311-104253-2248301-26696-1248834-1568396,6827-115451-62876-89869-427225-10368-69902-48982,8010-5379-32513-12374-145491-934-31423-29225,17558-5818-10701-13881-93428-504-30199-11078,4088-5212-11222-4728-17705-1105-6558-2883,2915-5384-3086-960-17527-434-4413-4156,660-2708-2152-757-11893-484-2378-1734,1203-862-999-499-6261-224-2357-2298,easy,no
837811-897369-1219685-670557-2290370-738143-1710789-1636935,143386-49329-248778-44524-90720-83242-41018-13394,57536-9134-21876-25110-2265-8839-4517-10583,50208-11911-20223-7610-44085-28926-21061-8461,3906-5805-16395-5129-14555-15886-13197-5652,12682-7209-16358-2300-5123-6083-13208-3445,13832-3922-2866-893-2510-2916-6099-936,8943-2566-2326-497-1186-1790-3087-1059,easy,yes
