delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
27694-41549-49721-168117-19558-72464-18447-2059847,6641-61042-18642-26881-21194-20828-4714-1272454,4381-25510-23454-9896-14600-2042-2270-793992,1015-10930-15204-14422-6411-2910-3274-424593,1575-9973-19781-25181-12171-3862-1870-185775,2194-11762-15240-28988-6132-4377-1269-144495,1446-14854-20205-10461-8018-4455-1482-50342,883-9373-3493-11636-8469-3198-1253-219951,easy,yes
283645-648833-105089-1512743-126778-106711-253038-767121,185852-82939-90401-64311-29618-35727-44911-333321,18499-14543-11250-21252-6508-5834-11592-105330,24834-20821-10519-9914-8389-2000-358-28964,13405-7977-11337-7877-6977-936-3851-25135,28985-7821-6885-13266-3706-2967-2330-21042,10067-2098-1546-2881-1720-1998-1165-1742,8845-1091-1405-2695-931-899-1376-4830,easy,yes
1648192-1100340-1022876-64334-71039-6646-2158-80999,178957-109183-279486-35490-12341-10900-4274-64830,22189-12913-9277-1949-3112-6932-25154-22266,39565-13948-14387-1553-4371-6164-7209-461,21735-11374-13256-548-1918-10524-5310-5014,45387-6337-13143-1230-3080-13262-8676-8765,12773-3637-3490-404-1283-3103-4926-4273,9829-2682-2033-122-1250-3025-1857-610,easy,no
812515-62938-3293-11680-4396-7048-2732-7260,146174-7069-5999-9504-17592-8323-4703-25343,10760-225-311-4316-2128-6621-2626-23361,23600-2220-4153-5177-3974-8841-1296-7079,4705-683-3370-2910-4951-8083-1768-3573,2299-2682-5399-5115-3373-3238-2339-6246,1078-471-7345-4530-3556-2818-959-3531,437-287-1991-1596-2557-2240-475-3391,difficult,yes
704540-3030827-266164-1881392-536246-367552-699598-32646,79797-209642-5783-372102-89939-50760-135238-138252,15218-152725-2964-20887-101171-12061-32311-24589,24618-39023-3033-71478-18389-7351-5698-38031,10390-52690-4771-20837-73712-5247-13403-24821,9150-48964-1042-23392-19907-9744-10944-5620,2425-35494-1050-7952-7161-5744-1400-8059,4378-19217-145-8535-4704-3116-1610-4972,easy,yes
919591-3055189-1085683-1455710-2610421-450965-1571234-492522,105017-357583-224824-40364-1680978-199910-101448-75885,10141-143924-77735-11259-754076-50161-85952-109157,33103-94500-54387-17869-127379-61016-82469-169137,2649-25467-86116-18916-263397-27242-20864-25842,7503-16838-17421-3762-64429-22752-17266-36217,5259-9500-6016-3414-24772-4822-8760-10218,1338-5799-6266-1080-14312-4997-4412-8995,easy,yes
621807-1895308-2104564-624616-248139-890602-1565780-887885,67201-662524-906392-33808-587975-131935-340596-189783,72434-55069-248431-13845-40913-19178-22354-50486,34219-45801-102823-8211-51347-56041-29519-69159,22741-46800-88469-5177-33424-30701-26964-19097,6238-12150-89439-3960-11589-15987-27097-28377,8914-5520-14278-1453-9090-12101-3629-3494,3236-11540-26532-860-7755-2355-3519-4386,difficult,no
134994-674935-1110218-791487-651075-210728-1875135-809308,142634-218610-145301-60121-34656-93939-178997-42468,11285-61517-15442-11478-954-56260-87437-15129,14331-53007-6157-22224-3419-7142-46661-33973,5081-16058-21269-4337-12466-18022-63162-6388,9691-35447-5654-13149-11497-5689-18142-7921,7224-27273-2415-3279-2561-2146-18316-2815,3174-13458-863-3205-2181-3261-9816-2932,easy,yes
244377-808723-155124-1433133-87546-175599-61370-252407,21425-346287-12443-44708-73026-12823-24639-48875,9747-24304-4197-14992-16711-2747-4903-13069,1608-23222-2490-26560-2288-2786-3198-3482,1015-25764-2588-3210-11518-7947-4427-1972,1981-23174-4188-10592-5997-10904-5261-6377,1428-16828-4471-3672-5807-2702-4869-2823,502-10724-578-2091-4367-4713-4638-2661,easy,yes
614408-339897-2025699-141686-19889-182670-31967-485450,46951-154132-295507-11820-45516-72264-19907-385840,9380-13603-14206-912-13117-8435-1820-31392,11905-8379-29892-1274-10472-5909-1070-35707,2927-9150-17407-852-3876-8470-717-29064,6864-17572-9921-1016-5871-2818-3487-36100,3499-14837-3198-455-2613-1285-1487-20125,2060-10841-2878-325-2324-1869-2065-16226,easy,yes
