delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
88807-122480-125296-690666-872571-216153-65952-1187336,14015-151042-35379-33213-32377-58140-13628-103251,1566-11756-16263-81355-58284-34974-1706-6806,5544-6892-13262-8143-11599-19206-1229-5917,1658-5860-4292-15393-21756-19906-1064-6632,10525-10108-6897-69184-54329-34168-4523-11960,4010-4069-5014-36316-28543-21639-763-3401,1650-3008-1983-20902-15797-23739-1200-5457,1830145-25256-7786-872008-830621-131300-59875-656955,270605-13138-4785-393123-160196-17758-2798-21634,83511-1584-4529-58378-50138-1924-6043-17981,38802-4044-3070-36257-7735-6080-2473-4121,28322-12932-2452-53622-14053-4244-1339-8233,44626-42505-4899-26226-12626-6559-5389-7380,45121-10108-5525-14087-11991-5370-3526-8178,11744-19325-1425-16890-2429-2712-1502-3613,easy,yes
141729-326576-153135-107207-115692-44371-36602-201069,13860-28145-9467-33798-28100-17892-5052-26441,1545-1816-737-9654-18650-9317-5034-2064,940-3135-4536-894-4795-7462-3036-3097,3398-1977-3589-4520-2520-3284-14313-2705,7370-1479-13351-5517-3382-3712-4459-1605,3623-708-5554-2245-3057-2992-2830-895,3311-638-5805-2005-1791-1019-1972-428,easy,yes
618167-1626315-488465-460028-735626-132989-229058-266514,292137-446998-43573-94822-64402-12315-44918-27508,28437-129841-9459-7597-43909-5494-15120-265,11157-42993-7987-21344-41225-917-7553-4231,19987-28149-3739-25091-6355-1691-1133-4124,55748-81536-5110-50291-44550-23076-12309-16098,25618-24755-8051-20215-8335-4640-3135-3505,26249-15311-1831-20323-6750-4743-2948-1870,easy,yes
90898-147083-321768-2928-2919154-131465-663539-1415392,17123-64120-117545-2830-98618-15289-396918-1985912,19273-25617-18654-3985-4648-2049-6264-428505,28473-11605-5708-4044-16470-2513-10759-224527,16251-8958-14162-3813-31414-7948-25990-152924,11537-10041-34702-11096-62328-26848-98653-90649,2915-3049-27118-10939-16481-4442-43788-112006,3029-1924-18078-4060-5064-3247-17851-141700,easy,no
235023-82998-36441-176195-186294-291217-65005-472365,73406-116993-27565-123666-39501-93560-17337-224835,10969-13934-1932-67342-2092-4305-4556-49552,26799-11782-8535-35881-1572-1499-5172-24563,12060-9653-2295-8641-7584-13113-3511-16902,91778-13889-12506-28907-7850-46266-10953-45485,57119-6321-13705-22097-5905-14945-4183-16034,48860-14901-3997-19626-3090-12835-1619-20952,easy,no
69674-18330-286199-55430-405185-99102-180959-511318,17486-12814-55357-33973-29545-151250-104556-49418,2705-9641-13122-11673-10138-34057-12769-20714,4763-6777-2594-14342-6748-11879-17724-13628,2211-8100-11846-16268-2103-9441-9142-24157,5529-33141-21517-35782-13032-22682-31625-23358,2175-33236-6796-30367-6301-8542-16346-11081,1235-12350-7312-22200-2505-6573-20139-12098,easy,yes
135950-131301-754073-983087-322603-822086-781779-175473,87854-27142-26049-407460-23128-134149-438564-10676,34930-796-27744-130494-13304-76647-48032-1657,6400-1614-4452-18388-1341-35729-26382-8710,6535-860-8073-22685-3471-17071-29607-3014,9426-1352-13937-87733-8777-73309-52028-12987,10303-916-6110-17151-2146-25252-33542-9173,2644-565-10010-26654-960-42087-23048-5528,easy,no
235534-325179-189669-145647-167152-123162-164930-3004028,19895-30757-123188-8222-48646-9872-102872-225791,1674-26742-16795-4766-3391-2681-24917-39120,2747-9622-19306-5103-20311-165-16334-25923,3578-5161-19893-10702-6706-1271-32278-32965,7720-5866-16935-10828-31998-1707-28875-31763,1891-3433-30171-1775-4427-1040-15706-5023,2009-1471-9465-1049-8921-357-10702-7530,difficult,yes
18841-1410481-1098093-488501-379640-162423-8292-345540,42093-40683-147616-16786-48591-23932-11556-32999,2597-39297-18881-10332-13097-22735-3082-55343,7161-30507-45401-15193-38657-4795-6232-11047,9921-31610-13156-7144-10601-10869-5464-13184,17764-42444-12669-44604-13712-24513-5072-22288,12098-15506-11891-31043-9346-14513-2467-10352,3855-6339-7648-6204-7765-5397-2849-9557,easy,yes
646321-535740-65140-29840-255627-46321-171470-329348,37572-180417-8074-27625-18914-1904-232044-88447,7115-6341-2877-21899-1149-732-153561-20556,2018-8287-2389-4157-1584-1451-51293-6983,18189-18228-3707-11161-9989-994-18408-11445,13856-47377-24117-74058-7112-2119-40400-10780,12781-17965-2114-10338-4095-846-7139-13053,6556-9430-2552-5317-1902-298-7731-7640,difficult,no
