delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
114114-140516-327729-76987-30932-257547-803899-82722,59751-55881-209183-52835-30480-35357-122365-4933,17728-10601-14147-19518-21594-2777-12159-7410,1931-19030-20686-14292-3772-2370-11718-9449,2918-15154-6098-11538-5175-12321-6936-5143,1318-8849-14612-7601-4930-11300-6441-6130,994-5641-3952-4756-3596-2802-2331-1714,498-3056-3413-12778-2520-1446-1160-1851,difficult,yes
59111-92161-602197-110229-194769-1860569-9325-74888,49455-11469-113504-93407-58891-368194-17827-31544,17337-3681-25628-5369-8172-39540-1640-1151,2562-6520-46111-2808-6361-37272-4130-2245,12987-2621-74085-6379-2181-13015-9725-1631,3834-2699-29010-3349-5620-21798-12664-706,3988-1028-22172-4573-2023-11922-6568-537,2600-1395-8161-3350-1851-13158-4895-152,difficult,no
158524-446959-1127154-127939-14156-1277352-4968-45941,45604-44655-388726-7323-17895-87652-16089-50191,5901-10223-5153-10272-8814-17030-22576-7109,10092-5972-62126-9141-8520-28826-8754-2004,4616-10757-54464-3184-3109-9284-2381-2362,3071-4146-30458-6053-3304-5212-6874-3163,2713-8143-9866-4363-1758-3536-9579-3337,3986-8361-11872-5204-2799-4294-9106-2446,easy,yes
284948-74138-451241-138555-365966-13788-16949-27182,33602-87011-85863-34644-190719-6270-15387-12310,3597-17156-5737-11536-13161-7068-18046-23399,4625-1781-3654-3345-7018-5447-6382-9316,3268-3117-3913-5346-11928-2922-1024-4591,1326-5636-5302-1992-9237-2031-3933-1510,917-1736-5754-846-4173-1369-1146-747,486-1020-10182-1204-3480-853-540-496,easy,no
109188-76732-251629-1484921-1759921-186011-536785-9478,36303-6382-4679-109832-323076-147272-51173-36805,16124-1916-9354-3037-36122-41941-22970-10307,7599-188-4618-20870-141317-7350-14115-17596,5932-645-6358-11679-14902-8862-6900-17060,15935-829-4125-7445-30574-11684-4027-21210,4287-488-1903-3002-11474-6586-5713-3713,3465-285-936-9681-39426-5531-3241-14852,difficult,yes
98449-30100-441132-13553-24849-145202-1159460-42519,36961-16262-35280-18559-39526-50171-442483-58278,4262-2642-40281-1190-1343-24294-38769-37490,6573-5128-7821-8392-10528-7592-59772-4910,696-2501-10574-8523-1990-6872-34382-3761,2306-2599-10201-9341-1822-2545-26165-7377,1538-2540-4471-7488-1827-1588-7386-4328,3087-4942-8840-7806-935-2716-3256-2918,easy,no
207937-319523-26593-258493-7054-420431-41066-66206,33487-30123-27688-34540-8338-31502-38552-34459,6035-10152-8942-8366-3291-3495-32867-20163,2610-11305-12859-4200-4548-3212-9425-1991,1286-4696-6272-5538-3392-2320-3309-3992,3118-2203-6055-1563-2203-1875-11859-1290,1624-638-2962-1598-1162-265-4866-1478,721-1476-3846-1167-1389-317-5501-489,easy,yes
107411-259601-270601-26324-83521-11081-113208-5943,40352-23237-29615-11633-10929-11630-35016-6600,23011-1101-12970-1066-19672-55069-5900-4654,15363-4258-1986-12023-7559-12453-2096-733,22806-2300-2556-9519-572-4420-2487-1931,11616-1386-2354-5749-3268-7293-1837-2127,9407-1432-1257-6482-683-4233-1066-623,1836-1147-626-4298-1164-5168-657-547,easy,yes
622741-23576-106764-23048-128582-3296-22426-83210,32512-43693-26718-24438-74862-7713-15462-7242,13963-8107-7330-39526-1370-1173-4827-2596,4807-24601-2031-7820-1884-6511-8845-1116,3659-8553-1724-14769-1897-1251-1819-1450,1442-6794-2012-8848-1473-853-1841-379,1982-11028-1730-7349-657-549-2511-352,563-6201-1155-3995-571-678-521-305,difficult,no
124106-6637-336444-15239-7120-41049-66944-966647,29332-1945-161949-5489-8989-17218-55030-88213,31383-1048-23447-7783-46519-8118-17507-16066,19378-1956-20797-15262-12750-1960-12483-10447,12818-1626-6320-10920-5944-2993-3681-3825,16053-1518-13284-6568-8642-1347-5831-2919,4364-901-5180-3920-7248-1605-2632-1441,4600-2067-5674-3541-2560-1034-2959-714,easy,no
