delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
383387-455506-76434-2059619-603829-40486-277896-571610,67836-124413-70943-515922-40569-43247-73333-91929,9012-33246-12324-83219-21036-36172-47408-23972,2444-9252-3132-15400-5314-7213-10968-6107,3581-33574-2371-43467-5586-25759-16625-2506,10998-168323-10795-56879-4407-16379-24859-10176,8116-47253-3972-15846-10753-53787-9711-6120,9399-24623-6622-40089-11908-29252-4660-8832,easy,yes
424947-1664166-1545393-142863-4124-123473-224616-153868,437315-260359-51333-9364-7892-13519-26678-91627,54386-20689-16095-10964-467-1683-7536-6640,36725-1400-27637-4312-2919-3005-5039-26803,32870-17448-20948-1534-4496-2518-6133-30215,26594-25311-17492-6390-6649-8390-6906-18532,37244-13223-27255-6925-4235-5069-6308-14077,15762-18679-14831-4274-3294-4761-3070-10092,easy,yes
1520819-369811-33971-107311-5040-19281-798891-26213,167854-116011-58846-27063-3316-13030-87200-10770,4892-19099-43648-3306-1543-5092-13897-3412,49370-4534-10348-8014-3418-3246-5187-2686,6413-10764-12119-6858-1718-9477-6615-9336,21103-18994-13555-2565-6492-9591-8065-6082,22605-11993-12614-1294-4199-7534-7017-11496,16882-21521-11942-2610-4179-6787-9290-4133,easy,no
157857-191530-136919-197382-763417-232023-1880307-754117,58743-86357-122402-80208-178656-4603-100604-59609,16116-14801-9760-5312-48644-1866-4316-35940,7074-4882-11626-6333-11745-906-9934-4323,6076-9221-24630-8008-13583-3896-9242-6552,10705-4385-23711-11504-37476-4850-8139-8679,3394-5767-16826-6721-14282-3690-5559-4770,8367-3163-20007-8847-14021-4698-4504-14764,easy,no
2933058-6242-158826-28728-511497-7169-10669-153752,303033-8172-17713-28454-89471-4539-7836-29430,28783-10451-3076-13371-6602-2100-4102-13706,61703-10801-6881-3722-13680-444-1476-4927,71857-17840-2756-7795-5106-1766-1401-5534,70523-21536-4028-18055-11529-12932-879-7824,56777-20411-3013-32850-7926-2837-1389-9150,21373-13014-1735-13162-8156-8798-1298-4797,easy,no
150010-23602-572670-261029-143669-304142-70487-678729,28751-5592-261335-31570-1226-34895-10486-52850,3248-2694-20278-11482-8237-4409-3728-10491,612-1414-26676-15835-2419-1419-1367-4668,2082-1488-8072-17185-1419-3699-2727-4716,2816-1501-13502-60839-807-3002-1880-12572,1787-1360-7700-20699-1417-2356-443-5548,3629-679-3294-10308-1064-2861-727-4079,difficult,yes
129099-1224683-59521-61916-2056905-733979-293995-1483931,87000-163728-17845-21268-432715-54080-168583-81594,50600-51951-6868-1410-20796-8152-3846-10256,17655-10979-4487-5821-16828-35060-28408-14654,37903-7609-6327-3694-7076-4559-4131-13626,37302-9411-9151-6322-22965-56354-8470-24496,23895-12083-1131-1700-8783-17255-5097-26659,51942-7187-3447-2319-8134-16564-3740-17206,easy,yes
1694521-1762723-1473246-152520-244631-833231-36705-2659244,233332-302326-126356-15287-72413-33709-5059-693064,208719-376845-21838-11655-31293-12416-2257-37829,65720-139982-16424-1648-3608-6750-1210-14698,13233-84652-10077-2612-7415-5086-1075-36059,22677-108572-11243-1742-10837-5717-1754-26596,22882-86716-14477-2840-4474-7154-2973-44462,13360-62855-7274-2228-5115-3782-1515-18823,easy,no
56460-146228-412920-1730549-387753-678096-118361-817248,64110-11762-14639-212526-54465-117279-90019-108873,38281-11961-5852-46627-6865-28548-1405-42599,8083-9272-1600-24342-3628-4699-5039-11498,30066-2514-904-21634-838-8992-2724-4136,44054-1376-3051-57871-8634-8875-7660-14741,28678-1925-3203-32593-13759-8447-5150-9527,33535-1831-1889-14477-4936-11158-8216-8700,difficult,yes
17159-1098876-196217-44050-105809-1625771-1406659-97383,2628-137336-66474-17556-59094-134641-173811-74459,10675-50848-34856-11713-10769-41561-21489-7346,2065-30350-5668-1615-2197-58717-9834-11893,2000-18357-8617-4149-5073-48569-8882-2646,5985-5020-9052-6350-15819-37552-18936-9243,6999-7482-11407-9733-8267-23413-21159-7064,6309-10968-3483-8906-4524-17169-33631-7802,difficult,no
