delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1894955-72193-42150-442512-1987019-424364-292870-70767,1682625-10084-92917-35109-22730-39651-86334-39696,518550-9792-4062-12913-32117-14482-12961-9323,320435-4569-25577-5615-29672-2534-11419-9574,72400-1526-16149-3951-13790-17555-2696-1804,178353-5543-13086-3398-23108-15491-7526-4602,111472-2408-12120-8517-43457-5664-3815-3367,62195-7225-9585-4015-24451-6799-2281-2852,1091412-760430-190498-239480-148474-179976-197125-32094,101640-238512-58097-12133-244131-10687-53427-11578,80871-16863-1154-6473-13172-3721-5761-63,19201-98373-1310-3156-7665-1187-6285-2510,54863-19646-1869-2752-14223-1714-5335-1315,32929-77391-4521-4740-11053-2182-6875-3472,22455-54118-1155-2054-6926-1412-5821-3078,33905-23637-1018-1582-5982-777-4767-2372,easy,yes
322032-860364-282357-611631-722175-986514-121796-216872,61892-73289-204970-16699-241002-72824-46149-290523,28575-14944-11225-9555-157909-48381-3549-15516,8723-5051-7984-16601-20234-24266-4255-3475,2821-6110-5734-1944-35210-12439-7423-5486,4754-18429-11155-13632-26033-27759-8131-9874,7367-8675-7796-8402-18917-32936-6444-9389,2130-10618-4964-5455-27561-17779-3699-10940,easy,no
467301-293643-593982-427022-1857312-68048-1999191-237696,100176-11028-261436-119116-406907-41140-122591-30963,34151-1318-60842-9984-115178-2761-173018-13261,18637-7756-16964-13490-31914-926-107069-2000,21283-935-19062-5825-19680-806-44497-8157,49518-1628-34175-3578-48866-2300-35899-3460,36421-1624-14506-2966-30705-2604-43172-4139,21308-1658-30560-2580-20344-2302-28476-729,difficult,no
769658-61958-66808-455510-782554-1051879-842868-307168,329110-96011-9052-39903-25516-141121-43265-80865,292204-13673-1217-31022-3654-35396-49625-35096,187286-22573-1007-7820-13288-9093-27455-64354,40680-10594-252-4170-5955-20557-4901-2877,56418-4666-3187-2567-5106-93686-10799-10990,96429-8596-1313-2305-7517-16860-10077-16398,71332-8391-685-4073-1079-32048-5166-10585,difficult,no
533066-2438293-160847-1364455-76128-885298-1261904-1908659,194875-160233-14891-194612-9445-140444-103917-145565,208408-46642-1282-15088-1337-22027-50977-28088,35709-14846-6393-4279-8885-12176-9217-12644,9923-11384-1889-6956-673-7833-13529-13563,51497-33650-1928-22593-2367-30685-24298-16139,34717-32059-1078-47238-3417-19602-32044-17109,30258-11692-731-13621-465-6348-13303-7642,easy,yes
419573-940404-572278-277603-1157358-273974-1835557-524821,323066-225931-38298-11582-89628-22801-327392-456241,31803-51995-7562-2363-29199-787-242986-240471,9120-20064-12447-2359-27445-3769-77939-75934,13034-31899-3166-6021-15467-3138-31351-16792,13197-39346-2498-2634-7588-2045-59323-41394,8888-41578-8510-5699-16488-2095-101033-96715,9176-12243-5269-2522-4481-2614-21338-26404,difficult,yes
1021818-1314033-2810338-119877-414764-86060-1363361-1328063,57901-193624-193890-36220-99136-279742-126475-251327,7904-96346-171226-7114-5001-9970-34429-43642,5104-46854-371485-6378-3244-23988-39645-20563,3707-11394-34135-5194-5409-10924-10131-10958,24226-21997-159950-4155-2530-36390-9035-14923,18079-33263-240321-4208-2673-14955-32694-26081,6854-23379-60906-2497-2404-8428-7423-6083,difficult,no
2148258-169563-883058-603676-260597-676774-1486102-2290554,987514-28182-39351-69635-22944-135413-47731-229683,109355-7185-17910-45494-4732-6738-16837-397514,101257-2198-16533-48140-2361-21481-16756-12956,49947-2855-7317-14811-5617-12841-13727-29326,47492-4145-5096-12784-3401-47416-21110-60529,26498-4512-8674-38865-2210-27863-10337-106020,81337-1267-4249-10234-4963-8842-6223-34613,easy,no
1427961-551444-219059-1452526-1452526-858838-1024961-485969,81983-139942-43042-91852-91852-21931-71995-105962,6598-18893-21829-10054-10054-8856-30125-73200,9513-18844-10332-10197-10197-17160-56065-2946,15439-2495-13378-6219-6219-1857-6349-9458,18087-12616-7586-19075-19075-13291-15661-12806,14178-29151-16492-4980-4980-9054-6724-7351,5696-9650-5051-6105-6105-6833-22749-9744,easy,yes
547312-238847-2218566-832681-1056395-520873-596597-43318,209516-214191-603339-227512-1261328-21679-24984-21739,40799-7297-116655-78888-73260-17928-8526-6244,10713-27386-61755-21885-56970-3053-15549-1004,8681-8236-19470-9735-41405-7989-4478-3353,11300-8333-54901-37445-35014-12355-10271-4036,29638-5002-134753-72376-66575-13270-9792-3604,11911-2923-23215-20801-34662-4745-6301-1394,easy,yes
