delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
64561-40043-53058-567324-298461-2601436-82097-605673,27172-43187-12357-35613-7200-341978-24305-57715,11216-38270-2768-15895-5057-43598-8813-38054,15080-21881-1129-16701-5116-79046-17624-58728,11519-7885-4951-6387-3719-36920-7771-44081,14051-29649-2754-4860-2411-44913-5891-13431,9276-13056-2061-3097-1251-35144-6031-8766,9044-9869-1661-7150-1479-9472-3135-11777,difficult,no
6423-1297527-53767-28645-9883-27544-87402-1535861,8826-24728-11853-18710-12026-15543-34842-113319,4263-50805-1191-2340-20805-5729-22693-3645,6658-38400-1970-3333-2960-4049-38108-12121,7910-25079-6435-7573-6126-2744-10100-13979,18405-33839-2860-16591-5187-2235-10912-2776,6084-11278-1803-4609-3394-1077-14385-778,8083-22044-1502-8211-4491-1748-6955-1710,difficult,yes
33602-408831-107115-485165-53998-43845-16622-339437,4441-24369-7227-124303-72348-66987-2337-58060,1457-11278-777-16705-29653-16914-1553-10630,1249-2547-1599-15220-13963-4649-3232-14926,815-4613-511-8713-13493-4423-1925-15383,2500-3214-2544-13253-17082-1573-2723-7205,1342-885-3718-3955-7327-1481-629-4607,847-2072-1852-1673-3101-580-550-3914,difficult,no
546604-100107-632804-62212-96890-339881-666863-479084,52710-8931-13091-7348-48159-75433-135270-46768,9396-45-11467-11827-9246-30910-71132-60089,4079-350-4892-8848-4723-9138-11246-15837,2963-417-8159-13908-6176-13547-13000-17223,3350-308-3352-13446-2611-10556-8065-10133,5766-157-1409-3069-1163-6636-6662-6238,2940-112-1570-4337-1676-3590-3789-3782,easy,yes
22734-50672-717133-59040-140899-18221-37216-156977,13114-49604-17199-5679-5631-5631-31283-20352,9623-10449-2156-584-1032-6345-1431-840,3221-5853-6276-4437-2208-20206-2646-460,1439-3834-3874-293-850-13284-2971-4337,3299-3355-1365-1129-3404-6959-2892-3288,1345-3194-1799-211-599-4935-1106-1077,1806-1452-922-225-1906-4485-921-1131,difficult,no
1244175-485354-106810-81281-34388-17486-630359-5852,206235-525234-13885-33433-67079-12402-45715-5417,32238-39392-6211-2948-1988-1335-22979-2329,10915-40152-6682-1998-14869-1104-23844-6127,15555-10662-2238-1211-12429-2110-7866-6230,21206-21990-5275-2327-14254-5581-6187-5356,9934-16794-3027-1055-4901-1423-2550-3722,4182-6771-1208-787-11393-1892-6855-5471,difficult,yes
27278-9483-18846-430166-30420-61741-22432-40109,7370-900-21388-55419-15064-74838-27268-13358,7143-3700-5810-11494-6646-17567-4874-3350,4501-2940-24018-17434-3134-13265-8715-1270,5071-1683-4983-36539-3471-7060-3765-1712,3326-1893-9965-18004-3164-13483-3692-1901,1126-1458-8610-3542-857-5020-4901-1526,1093-1307-3141-3395-398-3151-3706-1114,difficult,no
142369-149714-170643-799293-119181-20572-3641-8447,4613-67482-72234-161803-11511-27717-2832-6631,1722-18948-15316-41918-551-4324-1132-894,6279-4525-14685-34469-4095-1362-953-3110,5164-13904-11382-12330-5909-2345-1540-8819,1843-7160-33821-19325-2378-2073-1505-11179,1286-6943-6037-3021-839-1196-1080-3091,919-2693-8235-1245-251-894-2066-2298,easy,yes
98322-1813978-158609-132865-549132-59375-23728-7209,6241-281343-779-13205-79181-35761-2899-5262,7376-62300-588-6405-21879-32513-1042-1240,15921-11506-1780-676-14328-13553-2353-6991,5888-28026-338-5921-14697-21202-1703-2932,19944-13881-323-3852-16636-11850-2561-12204,8714-9517-158-4171-5110-8645-1249-2516,6700-7296-86-786-5822-7980-823-5158,difficult,yes
7225-2692-69084-41875-7361-3744-6996-71215,15688-3732-44821-21405-14944-2606-6155-57521,5773-3749-32326-5419-1077-5809-581-9399,1050-13055-17883-2262-3090-1965-29398-8732,4819-6276-6105-3508-3471-2955-9122-5582,23131-8319-10167-2559-3259-6008-6353-10516,4764-4566-3120-1229-6761-2041-3284-19001,3836-2423-2350-396-2425-2833-3064-2424,difficult,no
997636-295724-382012-91244-138788-60586-126700-1254272,17353-35963-81219-4711-69804-4283-125966-141301,12460-9218-95868-2588-13566-4998-2013-68761,5841-13112-16088-5667-13430-3481-7184-31127,1601-8503-21942-3449-11717-1958-8961-33736,4067-9993-9096-2861-8037-2869-3346-13968,1241-4981-9830-510-2438-643-669-3601,349-2796-4584-427-1144-429-1033-1695,difficult,yes
71265-551240-45534-11605-3474763-136258-76732-115146,44837-26983-3624-8571-87537-11361-23439-81036,6610-12980-1877-7435-48702-2327-1882-52352,4965-10332-2046-4176-51501-1600-14626-15327,1234-6075-3697-2972-12327-3430-8781-6396,1872-4534-3866-1705-8443-3033-1715-8951,1521-6889-1818-1176-2664-764-1754-4390,1171-2956-1414-668-2428-1591-729-2731,difficult,yes
14279-2501417-12036-15889-110084-238243-304128-9975,17512-87154-25561-12298-5263-77723-22970-14522,3870-25642-18191-3208-4919-5283-19518-2411,1552-18508-25580-8429-10471-8515-6057-4230,2833-16024-9794-7805-1638-2188-1291-3914,3334-17588-9415-7743-4544-2874-511-1943,1664-2864-4104-3404-840-682-439-1098,853-3656-4863-2164-614-963-668-951,difficult,no
