delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1724768-969662-72979-1610565-2082983-327513-2359188-1088387,375487-20359-110611-44897-1107608-117209-96708-344243,100813-6168-29677-4273-389414-4060-20051-40945,156810-10927-9692-3469-235693-10272-39438-17335,185569-15443-14324-2712-414976-10198-36801-31974,121287-9372-10474-8765-345542-17675-13945-70568,50099-3925-10216-3771-162449-16399-16383-20662,38431-2223-8151-5405-59551-5632-16219-24598,difficult,yes
897642-133953-356117-1831118-212008-1696860-1285677-2349266,1070965-20103-77209-770503-69712-24160-161567-1325830,84486-3203-21738-268591-10959-31072-117258-1081717,221909-9093-23504-165885-8597-75385-19356-527898,145835-3481-50331-80361-18322-91416-45015-413889,133902-10215-10106-135051-9959-24016-30216-308642,56028-2114-11035-40027-4916-29013-29652-93559,60469-1929-3879-22617-3436-25112-33137-103961,easy,yes
3048991-93341-876026-269098-1003720-2099885-433033-668448,121855-26141-161452-105498-121134-285412-44667-63946,128278-19270-13201-11287-22025-13584-2907-5438,101758-6291-27590-19197-12357-11432-11233-17234,67670-6360-12630-7671-3908-28721-5533-8540,64310-6884-8263-11008-12197-16300-6576-10830,31214-7351-4565-5621-3206-8004-4007-8219,16256-2468-3811-6442-2580-5109-1379-5293,difficult,no
1301647-1933680-1348271-1207904-512659-438472-529598-339108,472909-1249658-294697-655453-246637-1575819-137312-46966,46747-53585-36734-25316-138273-36300-38147-4717,73160-88562-36819-58209-87959-93660-9919-2933,25395-30593-48242-54659-28233-78665-2772-2934,43857-94405-45179-33284-13660-44777-13247-3793,26732-24674-27398-27561-19056-36723-10401-1481,31014-32993-18482-26299-18466-13057-3401-1227,easy,yes
947496-301123-1967990-758204-925339-198588-1516972-221994,130754-369575-546327-89041-883219-79500-302222-20492,31665-10797-57743-28681-46419-8678-27668-379,14350-9209-36765-16486-48556-18318-14006-4159,31175-10699-27030-6952-66471-11950-27469-4625,12881-16496-77781-13989-133846-13955-10259-2797,19934-9266-49421-9006-68024-12660-8006-1245,10798-8297-23773-4633-30621-5531-3252-840,difficult,yes
2592987-391862-1785638-289081-97264-1722938-1811929-259202,329023-31471-1899495-253423-15916-609527-1921923-12414,20594-2519-246907-145208-4524-56862-303501-23812,46988-1050-137322-327544-17102-48699-237005-11302,47427-2325-301290-242310-13893-18246-290369-20846,37600-5487-173734-180694-17411-50003-143736-19189,9233-1615-90590-140596-10799-40344-59984-11530,8203-1611-164119-94920-8211-13997-103638-7095,difficult,yes
578191-741849-897469-807481-569982-90820-166388-184238,149672-285881-56798-508171-91158-37092-40597-118334,140686-47928-30573-75949-16409-7751-16834-46067,48032-48759-21854-123304-23659-14909-14073-3778,37138-113539-66634-113514-28158-11851-27937-80535,33062-95839-54505-76170-22478-13495-18124-31307,24046-22515-27078-19951-16986-6329-8350-22370,34520-17522-12008-13047-7348-5398-5303-7018,easy,yes
1930128-474067-187617-943022-1429988-105429-846005-367510,612794-76357-53234-385083-549051-74670-26995-181035,139666-38922-11099-66323-38097-34338-14736-11290,65951-8383-16001-65269-31486-10390-5202-27308,17670-10824-15486-38875-75377-15360-14063-5301,58959-23157-11679-132579-27075-12671-6319-6441,55941-9165-6766-43807-15353-11783-6126-12320,55955-5929-10381-16645-31687-4669-5797-2989,difficult,yes
2262331-623087-1004214-436635-1431362-793199-2023286-324275,264285-51609-152209-53377-188415-140029-48569-43210,155588-2217-27770-13478-16160-14544-67319-1767,29443-12818-49114-6629-5540-33969-47593-11191,107336-17703-34076-14651-6174-27685-20709-4212,131786-13994-48230-7736-6465-21821-17513-2244,28882-9740-22629-7298-8277-4895-20857-1718,30302-6571-11336-9250-5114-4569-8102-1302,difficult,yes
2036876-550308-1801938-1167613-1684543-412557-278469-909869,892712-75686-25234-25844-289277-35555-33607-231466,127916-13256-27899-6684-82658-13185-26260-45929,132019-24458-9673-6595-29654-12827-6090-37598,32464-13208-29403-3798-46194-5007-6338-46891,65337-11039-20714-4418-34993-8863-15472-29744,81067-6595-7784-4783-14646-9103-4488-11158,85668-10327-10043-2635-12901-2676-8115-17479,difficult,no
1035593-230161-167690-665288-818891-1057291-264286-515609,82359-228081-15864-26277-79243-165455-84875-44821,12759-115046-11100-800-49999-10681-3742-1404,129145-23034-2302-4692-38821-4245-22424-10436,29774-17669-6898-2437-6201-4393-17706-39745,46698-25654-4829-4381-11825-14883-10479-21228,48337-14108-988-3927-24554-19194-7134-9387,10858-9866-1549-3488-6928-20075-6801-5800,difficult,no
399064-77345-549972-648850-1660716-229757-669057-2138238,118604-54925-43277-180104-78760-108186-15430-241631,22766-28094-35697-61081-23710-6805-8045-60314,23339-9995-13479-8443-42993-2561-4843-81133,3983-2723-21315-6013-10394-7286-5319-16644,7100-5089-22924-11298-16380-9945-4205-21364,9196-4905-10917-23623-8761-7132-2016-12527,10398-2404-17227-5429-8396-12874-1397-47616,easy,yes
879964-529826-623855-653539-213941-369252-257168-2084448,204315-111513-80936-134886-18594-56236-96807-296776,44068-11155-36755-59262-3520-69517-43184-88975,25459-6039-11947-11095-4447-29376-23507-181858,66935-19701-12261-16308-6095-7170-8020-97877,13352-10640-24266-24939-2373-15842-16372-124140,21234-10038-22118-8248-3500-23782-5986-59680,18382-6430-6239-6771-2395-8500-4146-51714,easy,no
1014000-958349-304995-1083186-1038752-304611-1941024-1183329,261950-20914-34124-25269-107901-51613-198417-208464,49129-7761-6212-10233-27984-2969-359257-18225,22039-11685-20533-19384-5761-11730-163512-7627,16177-3639-12685-9686-26855-3883-98300-26691,21890-4431-6464-13643-15078-9982-29433-34852,7939-2067-7538-7553-12128-5338-44644-24856,15715-1693-4388-1621-10975-1625-74433-17745,easy,yes
85912-308200-712236-166671-587193-914116-237634-1004721,231872-37389-273883-4889-66859-36193-310564-365034,22618-63032-444368-4703-20928-24327-17205-65721,15220-67567-184767-2258-27315-15812-23407-161944,49180-6567-76101-3443-36339-17816-30790-191548,58118-17997-57897-1970-26152-17608-33397-123081,22997-9431-76650-3408-16297-7139-19776-23376,10543-3293-14999-767-3124-3267-12181-11034,difficult,no
