delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
546636-6571-322933-74273-78550-106059-447259-243473,34811-3514-37675-8469-9021-45953-54373-20122,13152-7329-23072-1151-2403-4086-1063-1088,14476-1248-4485-1576-3330-3500-12781-2991,7017-5046-8034-4523-11579-4006-16882-2124,29693-29185-7556-3844-22251-7893-26997-3941,31142-9297-759-6518-54470-6004-36615-3566,9402-15253-1682-3448-10623-2532-12078-3867,easy,yes
312193-30402-77042-71843-3651-16674-8643-129257,35462-41626-19540-57872-1856-14251-20326-43230,4495-2928-5186-12104-703-3844-6764-2821,847-3082-564-19540-1360-4698-2919-2634,1758-4320-1517-5721-4194-4940-5052-3702,16796-42018-22549-22978-2975-7100-38344-8665,10364-8532-5885-24181-7459-6013-5753-2027,2845-4765-7692-15207-3121-3099-5849-1943,easy,yes
620664-253954-73040-574424-64125-22631-8534-65035,45179-34549-93788-62298-79241-13586-14239-20082,11660-3478-38527-689-19648-607-5023-9424,24884-17926-6183-39028-5380-22324-9793-9505,28097-18029-29252-33276-5153-9494-5277-29123,39856-35063-16839-29033-32948-18448-20444-15482,11846-20476-16914-21520-13514-15622-8822-11360,7240-16367-7387-7910-6077-4895-12283-8451,easy,yes
165209-1425711-11218-16215-483555-20245-28883-547439,28684-75085-21726-49242-44676-51191-23085-186469,9889-58988-22425-14920-16926-9147-5128-36164,7094-14855-3429-1665-8307-25972-1045-5932,5354-12515-10489-8807-12280-9956-3367-10419,11191-19563-78821-64133-34720-32572-7663-51704,5856-58233-22889-20916-9333-11624-3001-20930,3824-12630-16801-5837-10847-9317-2841-23963,easy,yes
260061-272137-14206-1893050-147520-110027-56752-281654,203673-70412-77442-268039-14036-40251-8892-99667,3506-1618-23051-15711-7754-5966-22593-12342,26667-4219-8392-23266-1859-5652-36319-6847,10470-2818-31745-51140-9720-2039-19773-3329,27496-5411-26264-33903-4311-6533-26860-35982,12390-3917-10012-13170-3934-1561-4544-7233,8588-5596-6515-11514-2421-2823-11562-8282,easy,no
41062-430332-67134-19243-169486-4241-4823-414523,14881-136244-48247-20644-21328-33674-6123-47784,6018-15853-9920-11547-14798-89106-27040-27470,18786-2814-12808-12752-7344-34325-16218-6084,5935-13826-11508-16136-5609-19832-24353-16626,7574-8951-34673-29272-8664-21633-17993-19230,1985-1415-36358-10594-4695-14799-9031-19139,3067-2516-29682-12057-2593-8476-5301-11687,difficult,yes
69315-604402-7525-2467-191756-269957-388572-691160,99088-212618-1638-16965-125860-37576-63914-256294,40315-98507-1819-1881-26283-33744-2159-157122,29536-52889-1515-4826-7616-103802-5504-166322,39743-39911-1182-6718-17496-24782-5835-140100,19182-25543-30432-25577-53132-18019-2917-38123,7882-21288-5667-6547-12228-5431-3376-133960,6705-7416-2303-8806-10994-14843-3205-56750,easy,yes
204451-32277-118641-12254-25995-31297-101021-9609,388276-5897-52138-8118-3534-53095-25876-27633,59333-1439-7550-6625-16821-5826-3635-32895,49038-334-5509-3608-28422-3627-3141-15369,60039-2090-5436-20964-18324-23575-3716-15674,42137-1801-19980-50545-30447-28548-1794-30620,28605-2864-12054-8667-7781-3622-1320-6754,17989-1666-3773-6667-6662-4016-907-7775,difficult,yes
353163-235874-4637-18501-223910-116366-203697-882425,42331-59719-13891-3047-75607-44547-200079-47119,3492-9242-3777-357-5803-64707-43153-60043,4802-15675-9288-2702-9870-55284-45152-15982,20683-2779-6043-1573-4691-25569-20053-28745,31527-18100-11058-8980-4391-6816-42025-66735,13952-7367-12888-1448-3437-9210-32426-60248,18470-2140-3874-2587-2662-5554-14142-17424,difficult,no
2626-1177043-1513773-759139-12331-91220-2775-14787,25094-393473-194322-104762-14192-15613-23764-5828,7493-11877-50491-8086-8095-1608-7774-2964,8578-35809-49228-3275-15165-3773-23328-4774,12675-46415-16988-5928-6132-5038-11072-3639,10909-14151-48699-23524-100282-2571-20588-8030,6185-11114-107822-17909-19493-3777-8579-2689,7455-14803-23278-6933-11958-930-9592-1026,easy,yes
