delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
839345-251086-1056858-1552079-656424-1258887-94691-281290,114729-19483-515061-906466-281569-404075-35468-47471,34156-5768-38800-422314-57486-188675-3968-12779,18003-2574-75650-294816-78402-62512-3381-8029,77016-904-11382-455266-28600-58838-921-8871,6329-3787-71722-138625-56100-76212-1729-26705,33031-1812-20191-189922-107758-50116-4161-9996,29941-1321-21851-239852-31065-61864-2942-9168,easy,no
652873-2402250-9616-580783-1035715-1178322-2153644-1284580,99013-250032-47511-29295-124736-210014-120713-158853,18519-15719-4805-11014-30427-8535-77920-44761,18855-44895-3088-13997-12384-18659-64842-5636,15793-11331-2006-6433-10789-22886-47904-3463,16782-17178-1016-2955-10419-29599-30646-5741,14645-20249-3742-8175-13330-10326-59399-11425,10897-10192-1288-5148-17421-14650-18806-8962,difficult,no
2464418-483676-94329-67961-109310-10417-1320983-1460591,92041-157521-57714-42241-24084-12443-204095-1206910,47631-73476-24852-6528-3985-6716-31902-787589,70416-17855-4234-14326-2294-1612-18438-364328,59330-28330-9436-16062-2663-5544-25723-287799,57754-34282-5579-14362-1487-2238-50299-172221,23755-44327-14186-17438-1247-2364-36830-281572,47118-29454-6024-8736-2791-3797-20627-229931,easy,no
757091-484948-965644-175039-725487-889388-1799325-1097213,61581-197676-78592-57414-89910-122523-662240-131396,25551-89009-131963-11691-8879-221177-168633-41424,21311-45131-101811-16434-16496-37995-18828-39467,9964-31326-69088-3187-19962-183037-173633-23304,17912-73225-70212-11337-25604-63902-121589-14522,13946-44880-83370-17104-12106-83109-47186-18707,17767-52190-22626-8708-13361-46261-64796-15956,easy,no
396554-2141444-1257906-200289-943135-1227971-1385748-1585466,200306-201528-129020-554309-435259-1617180-187433-297073,75852-33410-66493-391181-86371-151954-108899-139161,39433-41105-66836-20620-36008-225339-75356-141233,32046-56992-61777-17523-54121-52039-29760-54470,38325-24707-46975-44069-29353-72905-169321-90560,39252-18476-83480-133709-63461-155817-28187-91553,12725-11307-21912-25659-45141-85351-16203-26924,easy,yes
894619-3849959-534432-958987-146691-560884-1636224-510596,238742-185453-171933-159613-67425-30999-171039-320268,33624-27149-136386-43500-20783-16526-47462-42678,31765-195640-72960-8988-8601-7030-35365-63761,15205-44782-16416-52766-10991-5020-14168-24769,59410-70169-51096-25341-21403-7295-21971-29433,19550-32460-38997-33915-10867-13741-16236-23681,43551-31979-51088-18242-4626-10070-11684-29402,easy,no
790385-3249471-969767-744944-1088028-175404-1778509-33202,169395-1911231-678543-214969-207838-3973-538439-6760,115177-163809-88522-29407-41810-4215-16840-1845,25925-219799-358328-28927-35131-816-41438-3705,112768-111349-71917-10835-27987-1382-36454-6904,61285-273874-108238-17460-35810-3918-84641-13575,36511-243120-180140-17086-20961-2180-40051-15136,30345-65593-79428-12366-6923-2371-70097-12108,difficult,no
231167-1043929-1388721-584297-78420-813186-201464-95084,66203-99101-105024-33553-14643-9645-165582-4263,40739-34187-8131-15305-8890-11360-98049-7051,36039-28417-10380-9245-1994-5535-5195-1064,48342-27262-55943-4201-3840-3139-6472-756,21146-10099-64105-10095-8236-9710-43579-1305,22295-17571-25588-7926-8820-5085-24922-1094,8703-16817-29376-2482-3410-3962-29581-976,easy,no
706209-503574-153781-1498739-113246-1162604-1444216-753958,75739-32808-9968-76602-110764-189071-48542-22527,24076-4461-9772-29846-8194-11185-25164-1441,12919-5869-7761-24486-24509-20135-6781-1971,8574-8218-2104-22289-12943-23761-13982-10579,15820-26843-3404-27561-8421-22062-9787-8006,12404-17533-2571-19686-19927-14794-17953-18420,8972-5402-1995-9129-15701-19122-8862-6051,easy,no
1153221-325482-400691-471514-1145982-23580-560679-247117,700846-51857-42004-215135-296385-2996-9428-19985,4591-19439-4857-39373-26164-1496-5792-15274,87824-2758-1628-32072-41049-1965-25170-29253,80590-8679-2973-38251-15731-6606-11897-6431,84308-7208-5642-16514-39996-16270-19739-11275,101044-21208-6446-24688-27120-24420-8395-6194,109219-5129-3094-28917-7099-5119-17767-3558,easy,no
1337320-980876-497564-416772-432153-914640-908708-1216428,416514-21675-90742-31628-368029-214336-159954-171203,71461-17528-41782-8125-2715-70422-66277-53303,7772-5772-28138-7516-31880-21159-38115-19870,76544-2686-16418-6109-47394-24139-45380-40312,86527-6316-26575-9882-21423-24199-27543-46849,119182-6012-14164-7877-31380-22275-73371-62846,62296-2930-19830-5531-10257-27682-30131-16038,difficult,no
2274798-476174-142253-266919-2036121-1605691-367733-773604,134690-325830-16365-14094-707699-103304-163264-65254,48949-42215-22797-18488-122868-10103-17545-87067,32888-41854-2327-8058-165772-11439-22332-5972,34498-30512-3718-3623-187281-8823-25385-12049,102688-58813-9833-6307-81137-28208-27599-18627,33318-25570-5465-3924-82899-49447-24806-29821,19150-23946-3010-2844-82537-12616-16732-9363,easy,no
462299-1326548-259050-787724-737934-1765740-1918509-1256952,235027-980759-102508-110977-199350-262609-220187-149382,89201-70873-591-48462-23483-289572-81911-42851,6289-95082-7736-16441-26798-65233-23301-22375,24588-73103-5593-14479-6354-150603-28087-12538,21653-105612-9945-17639-17891-63761-44496-22776,57466-96992-8308-31472-26788-140333-11264-25528,18173-69179-10215-17284-7310-35293-5476-12877,difficult,yes
1150028-91956-1037433-267683-250390-208140-1366371-639335,152326-69461-23127-544397-29789-40407-264432-142658,69829-17273-8599-85270-25277-15374-58954-33113,41183-16611-2730-46981-12154-8620-67477-9489,21004-11666-3355-20135-3458-5254-73025-14350,19360-7748-5025-37595-5379-6972-148733-40536,25476-10695-16616-11194-7851-5630-93507-14819,14820-9952-2755-16161-4763-5179-58330-19871,difficult,no
129062-2987421-794686-1212675-231928-3521694-741741-233379,73502-405131-12319-142050-155536-63722-76612-111505,16498-902328-42983-84545-25560-65464-9303-122205,19559-213060-3590-33398-2079-26792-11427-27560,13794-97294-2714-15177-2180-43848-4370-54763,8796-296271-9326-52628-10659-22522-9455-65427,13594-111173-12031-58863-7843-9338-6076-39458,6354-139166-5802-15840-5953-26190-4668-13787,difficult,no
705926-1363776-1114184-1109818-1905164-1572725-642596-1041083,137651-133482-455199-235240-309854-152887-151054-610400,21039-120116-110117-103554-220636-17975-25480-19090,30518-17233-16986-67340-138007-36830-15165-7905,10736-15393-51988-7812-95907-13550-17162-20027,38863-69932-45808-43882-54858-32877-31571-61413,15860-81623-40561-40383-107509-30516-13560-25891,13286-23373-38707-18305-116633-8810-11307-15333,difficult,no
2288518-706799-1298794-297660-1926644-380163-1730904-810128,442065-49243-252214-67095-69749-17228-280774-54981,135885-11109-549555-41872-52286-1851-88539-12875,198335-4566-72876-7459-20534-2738-44818-4371,114072-8360-51991-19200-37487-2699-45780-4301,110974-11325-337227-16309-20195-4221-78529-9272,92485-9490-92796-26576-21843-3067-96785-4798,139641-4401-66097-11513-44007-1441-87418-3044,easy,yes
124243-1089876-130980-130980-350224-1228140-2127179-164312,62137-125851-97966-97966-47821-149505-216245-16657,47226-103641-30817-30817-7527-26171-720263-3407,26133-32631-72984-72984-10333-97734-135170-7304,47107-60605-6241-6241-3101-25222-93311-5210,71164-30294-24532-24532-6952-62076-266497-4549,32035-69869-19000-19000-3946-32505-191300-13969,31439-27053-10982-10982-4315-49294-146058-7785,difficult,yes
1540294-913522-186942-437797-244483-1290800-1091062-173672,116939-207766-63997-22165-19180-2652782-194918-126147,41309-60142-1236-8515-6061-57044-4834-45137,50422-23323-8778-25920-10303-66698-58631-4311,19497-21083-8329-2084-6559-71061-5939-11019,19704-28307-18052-14661-5081-259292-11797-10901,160768-34608-6950-14850-11048-115780-60409-8218,23198-32695-5833-3319-5929-58903-16101-6244,easy,no
1486216-143273-207881-2200409-1175895-1012746-90400-227121,443808-5267-39903-187566-24710-201225-117759-78734,41111-5170-10924-17790-6424-26062-9717-32513,44331-6249-13023-26923-3531-95598-24514-11134,15019-5741-5844-70712-4909-10987-5310-18482,21188-2570-7946-88267-8453-38763-5447-5825,20960-3103-5802-46858-8690-24072-7423-13437,21463-1776-5469-44385-3326-14177-3070-9031,difficult,yes
660152-112363-3311540-396009-1157608-381718-355939-380636,327579-107219-306057-26155-61950-60396-57948-36081,89411-10361-93933-10528-95089-7755-6006-6050,16197-4970-243499-5096-10520-8126-6534-3831,62904-7211-132526-6216-23251-14275-4091-5013,65068-17294-150151-9426-16252-24213-8030-9638,60504-19013-447780-8408-14658-30025-10464-3903,47115-4862-159552-6829-8683-12662-6007-1336,easy,no
1442054-1212138-82213-144517-162227-196335-58728-595126,482994-911286-124794-64278-59663-110478-21815-187128,6095-244042-12546-6001-4487-46172-10505-12183,119482-209265-13425-19388-4650-13655-8748-14174,63214-87161-7656-2082-1760-16933-5996-17902,138345-52988-7585-5961-10948-30008-14175-17701,156850-357726-44578-4224-6050-14610-6378-50603,64858-77628-8112-5580-2425-8530-2890-34138,easy,yes
578148-183070-1873935-147569-435066-323120-2659924-33978,101179-25808-759636-56791-63608-79809-505207-20908,5460-5107-543702-1653-12122-8812-25145-2690,12970-8227-42534-13094-11192-3421-156530-1619,13459-5923-24123-3082-36902-4041-150137-763,20252-6989-241732-3815-14860-24295-153983-1516,10491-9764-89644-4194-25623-19798-268195-1134,6551-4710-116694-4163-15883-14683-110969-2552,easy,yes
636076-2070933-1913599-1030994-1103524-79228-535258-1672208,94512-291373-107913-58154-142474-45234-573080-219508,70210-78044-66628-14943-9608-18456-82661-16910,25013-25747-21878-11756-33506-27832-30761-11059,21459-10705-19255-10171-12412-7270-11400-7029,28594-44322-39536-26233-25401-57988-26695-26112,40992-33106-33674-7130-12653-83521-30738-5149,12058-8835-22705-10155-19772-32784-36185-22409,easy,no
