delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
193240-1034540-524663-1804195-1011005-263399-2222470-982241,454876-160781-192320-407642-103079-24470-103935-174120,26330-71847-36072-50898-7406-22218-158490-116188,81461-66308-71122-23465-10428-5102-19639-57150,35042-20997-51318-26996-3755-5500-4426-108725,30264-35385-54430-115043-11576-6838-34051-38537,45005-39738-47390-29633-8131-18712-36991-40340,24811-33770-18791-19015-4107-11046-22041-22686,1788254-917250-605270-252781-351217-458013-763978-152918,904522-848412-325473-12669-474577-589173-103729-37027,574826-82654-9643-5552-16473-212672-25100-21544,483061-171314-23291-7976-19299-61587-4490-15116,79574-78742-30028-4257-12550-98916-5821-19477,275208-48622-44689-4472-33468-57104-7760-7584,308623-137382-85060-3367-13553-75690-9947-24917,292410-86294-36573-1866-23422-49611-9982-16897,921223-304243-1506479-1119565-1954193-217983-2049293-1675244,63549-206519-1148383-262277-189056-20415-968019-313272,18587-89177-104738-183933-140138-14343-131594-397783,3781-31598-93786-94363-27992-12034-41517-24063,2119-19357-94249-47413-20046-7864-40738-118686,13178-53962-91975-68324-28931-7298-80843-116233,5553-45358-125587-93414-34173-3809-53370-56591,6462-25176-70039-42690-29577-5811-56519-92877,easy,no
441007-587436-1434943-866095-122725-1028642-771566-570849,470833-40439-608972-436095-33233-46490-78680-193066,11307-9111-16032-75654-10209-54031-17205-22648,17406-4367-44006-76288-4723-5603-9991-57076,15127-2778-36022-36419-2484-10150-3430-3230,10700-3384-67076-130625-14489-22359-10483-21036,21306-4201-63642-104957-3813-23116-9354-13124,24593-3643-52594-46408-4753-9215-8562-8599,easy,yes
345173-384231-836561-690586-157093-371500-108515-895822,225383-86066-77655-179193-42517-49875-80203-56916,13431-46037-22436-236874-10327-15560-15640-4897,18660-29840-24250-17966-11254-4399-4398-16719,27859-16285-17960-16129-6107-6977-5785-3010,12944-9594-12594-45600-4054-12809-30834-37590,30389-23316-18043-22737-5457-13897-13079-39680,17303-12250-13460-32490-4498-7953-3694-6939,difficult,no
807098-1247453-2443413-2303521-954000-208667-527568-1229162,24509-254265-612357-1073698-228860-28563-41860-293321,33074-70132-671675-536973-27070-2917-19408-37922,5796-43218-136516-111711-105505-5927-13315-29593,22830-48692-236831-63761-44433-4358-10655-19281,16081-33281-225752-219468-45134-10811-11390-59372,15223-25490-287320-154603-36804-5344-20122-41387,6518-45536-126520-72320-46393-4723-4648-20770,easy,yes
925330-1941995-774593-1321968-206077-1529977-119312-53638,187255-90190-68978-81477-43382-1091158-23749-68514,12637-7563-35478-5841-9405-16258-2716-9339,12644-45121-3551-84834-6290-122193-1863-6608,29791-17249-4676-8817-7253-58240-25304-2010,50209-20613-6297-16172-7137-36356-5469-4645,39515-25259-13189-17741-9943-136755-15151-7088,52638-23368-11450-9493-4552-53926-6122-2556,easy,no
83131-132644-157211-157211-592792-334581-33090-1070899,46381-36022-8853-8853-43791-36577-49838-191051,11268-1068-677-677-10361-24950-2223-82339,2777-2166-5663-5663-27382-13903-892-4608,2551-2965-2896-2896-7569-11191-3898-19313,16674-2419-7093-7093-11871-41116-4651-40213,12818-1401-3834-3834-9216-5970-2752-21023,3351-978-2400-2400-4337-20418-2712-18998,difficult,no
339620-1976709-238393-1791-31091-44100-226992-1768891,149107-67759-58480-10793-15491-28240-47928-360744,19119-31401-1427-17156-2945-16651-17156-64514,2683-35629-5281-46408-43739-23490-36802-58728,1632-25487-2471-13050-3051-15992-9775-32837,6992-25159-2694-5795-11338-8949-13230-73603,12823-25850-2573-3148-6539-4646-4192-58173,7124-11728-2325-3797-4342-2466-9423-15188,difficult,yes
126905-17089-645277-613330-46074-8316-948934-192452,37216-7382-139131-210689-11101-22477-320210-25178,17787-18899-7452-8283-183-3664-8531-2725,7356-75746-15574-13943-1936-3949-13639-2477,15310-7027-10287-10482-713-5727-26976-6029,13893-7048-5933-5017-1363-15652-16328-2776,4632-5349-6289-8414-1029-14493-13088-1520,6184-6529-6452-2920-787-9212-7349-1915,easy,yes
