delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
474807-271268-79412-180252-1623568-571495-306013-1575777,102081-630554-53106-34223-800184-24348-97884-77642,32892-242710-2775-7548-20543-16589-6936-27359,17229-38280-148-18703-147771-2414-12107-28328,6708-24317-1903-6392-48219-3295-36474-10991,18829-42264-1560-6410-36544-4906-3966-22186,14971-21641-564-4783-8542-5375-6273-6644,1174-4758-365-649-4444-899-1661-4368,easy,no
1970277-1057825-884730-957610-2542931-1503451-679472-804585,932110-538363-709330-384278-1190336-407264-26455-50627,391338-138721-56127-56436-296232-8551-11118-22739,172457-36506-104317-42291-351478-8112-11101-7452,137814-52153-106771-56401-63620-20243-7143-11161,76113-18638-55421-31910-101741-19608-5631-5468,48348-12770-9994-11211-84172-10762-2392-10749,26537-4474-8594-13128-46066-9935-1567-381,difficult,no
104199-558801-1352176-182080-1619604-835050-994764-940466,4001-231864-469474-25287-71260-171760-26150-543308,3495-56330-121042-7733-5238-18163-17466-101315,2085-28348-156308-3445-34031-9561-4693-17961,1177-14865-58691-4060-4931-5184-9949-10466,1577-7725-28206-2094-17029-5784-2193-18096,1166-10337-25206-1327-5051-4736-1300-7666,1624-10466-9676-768-2387-3759-626-5943,easy,yes
97704-1135337-2624145-1095874-965723-473395-540107-311591,32067-196130-347020-223953-58739-169711-135772-48373,12214-189601-38522-19270-34683-64991-7376-4930,6282-119935-553210-42410-8189-34967-16758-24780,3365-33670-98561-26234-4408-15908-4237-14241,3375-50250-83614-16093-9768-26046-4024-17984,1747-25461-44998-16606-7009-12661-2178-4815,2166-25323-35592-6955-5223-8319-708-1760,easy,no
989583-2419168-2241020-17092-436773-909351-478737-1159182,99346-327445-2638363-33608-470375-121595-618883-595812,17893-159071-183933-9992-29518-3668-417351-71732,37050-38645-175348-535-67972-26656-99512-34281,6073-25679-111045-1036-7261-55159-111401-11902,11482-18335-90661-943-47346-25901-107576-33006,4592-7233-63798-320-11084-7989-52318-6937,2544-5395-62256-512-5193-6733-25492-1859,easy,no
1033725-815685-3226190-408897-723631-760637-297340-1601757,130230-154021-1394850-129656-149222-392159-117359-235826,36510-147819-231185-31381-36554-105488-17002-6391,36067-19667-145577-17071-19717-41791-38396-38226,6274-25784-83497-7774-12239-12548-7601-3405,7537-14710-155843-18580-9280-16691-3404-12573,5255-14118-69546-14825-7641-8455-1682-7827,3840-5131-24449-4175-6142-3041-1077-1784,easy,yes
1345732-314099-896530-850602-127145-233557-182428-675621,168599-57198-715462-7010-43719-20228-38094-67224,114196-7780-138043-28313-3607-26633-3728-54706,99568-42829-278436-8821-35830-10110-29252-43874,39616-3875-127059-7117-12090-10740-15841-81059,18013-5781-53007-5035-10399-5154-6174-28480,16110-3973-24300-3526-4346-1964-1721-10124,6593-2637-13572-1141-1804-3038-1699-4599,easy,yes
966038-1404007-613965-1271355-913389-2205756-372148-1257710,86627-61087-107486-236449-415412-145411-72096-134557,28907-9141-34229-34654-209128-131999-18263-18609,8224-23830-22935-64678-94867-71458-13248-20860,6784-10696-4992-15082-32844-37148-9870-17902,4052-8157-4722-23448-22329-30697-4215-10216,1242-2631-2045-13409-24726-26528-2949-3208,4001-1833-841-7474-15507-5618-2577-1256,easy,no
1005565-1181684-1686285-1152316-81952-1257245-62209-462641,453502-174204-147642-522188-44529-117938-81221-48707,21424-25092-4765-171686-12702-29992-3466-16887,59948-93933-41981-123152-21759-80560-17242-5595,12352-28906-8496-206335-7112-36851-5916-2457,29587-14988-8674-49830-4502-16861-6248-5947,8257-9255-5565-43537-5769-6258-1324-1802,3325-12738-1458-32752-1301-3188-1800-2239,difficult,no
461046-2351778-148883-1685756-30650-163218-243641-160417,47926-689910-19688-66429-5102-55112-59089-22821,17548-79477-6863-27735-1580-4701-4175-4125,8130-54366-1446-14688-1154-1687-3488-7156,2742-23993-1821-3878-1070-933-3528-5904,4904-23452-1683-5550-1058-2477-1662-2296,4907-24942-1229-2715-286-1565-1132-842,1536-8008-553-867-341-720-639-810,easy,yes
