delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
907384-834660-915254-283764-1239699-409671-611947-259914,66659-124511-77885-24057-154332-18242-9646-13509,9128-21092-12369-2476-70953-17689-1495-14377,29520-14410-14729-2659-16357-12061-2869-17122,37162-7311-13189-10775-7012-8245-2456-2126,8310-22776-8795-4355-10793-5873-2534-6993,15360-3576-4028-7170-5964-7475-1104-3269,18286-3722-2556-4216-2754-5544-1552-2710,easy,yes
179676-918804-984968-733249-214878-1699356-225703-289704,41307-122159-95523-324010-12667-101061-11446-84659,24112-15205-17869-37778-11304-30057-7944-8696,20427-13128-61934-9002-3732-10559-8065-2894,3421-11176-32174-4559-1800-16999-2876-2143,2144-7339-16369-4594-1201-10099-3108-2530,2050-3724-6509-4691-992-6034-3066-2457,512-3673-5199-3441-996-3793-825-1026,easy,yes
146495-62970-499519-154430-28674-2049172-130751-1578481,29236-49014-106883-13033-22471-85996-27248-300124,22466-5250-22111-18635-5869-40716-3170-17967,2720-10262-6906-7747-1887-8440-1414-34063,5407-5357-4162-3344-813-17127-954-17895,3032-2839-4658-2841-1077-9992-1595-8298,604-2268-3388-545-1025-6678-1113-6478,828-2024-753-411-898-2960-307-3840,difficult,yes
118420-1620507-1825717-1122536-1404401-217864-121291-772091,26903-335216-1601295-189959-170796-134455-26859-76940,5327-174613-117141-21435-71128-30967-3910-16383,6288-132490-44982-18182-5941-1117-3863-21647,5968-88173-70326-6455-5580-2267-2669-4825,5608-57520-46780-8882-4831-4251-5085-7227,4369-39537-37492-5470-7245-1782-841-5317,1743-21463-30739-3645-5666-1423-954-2659,difficult,no
854948-1074551-149371-1765321-120689-49160-2758212-2163751,69501-234892-12989-45278-33934-6825-299058-378234,225676-62312-3235-77143-22035-231-24381-82211,52785-36305-2581-27843-2405-1371-21339-10623,87516-17414-1236-18079-2723-1063-4716-17810,43790-13735-630-7935-1673-621-7876-12156,20716-6831-1617-13379-2640-495-4251-5341,11140-3427-608-11502-714-392-1842-4970,easy,yes
650041-241495-1044505-980985-227939-411454-588656-588656,123098-124199-120090-31835-28535-16997-129306-129306,12973-26175-20864-31637-9098-5026-29328-29328,14340-56992-19212-35861-4982-4062-33008-33008,6672-18384-4523-7704-2110-3191-4652-4652,5071-9732-4124-4334-2735-3550-6694-6694,2219-9842-2050-3423-1436-1557-3797-3797,3428-10435-1650-3262-562-623-3914-3914,easy,yes
1163946-1113885-960173-686828-379807-879467-169478-50897,54394-168369-117075-31128-126051-140901-210224-84209,4364-26461-46081-4901-32116-33447-18424-13692,3896-35178-88699-2182-10704-21911-6759-2316,2590-14970-22759-3434-5509-17189-14125-13355,2347-19010-19212-3674-15346-4811-7116-2750,3520-12544-11557-1182-3248-5446-11732-2216,998-4422-5206-781-3983-5869-6781-1189,difficult,yes
996027-254124-941722-835078-943324-76582-1152978-217250,219226-53667-59292-189332-190519-108930-117700-86469,17223-18930-13919-24294-34828-5588-29757-24771,12726-19485-7444-17727-46298-9280-18582-1440,14130-5556-1463-20285-13128-4589-6244-6578,12348-5285-4252-12214-8499-7982-5233-2469,13650-2599-1305-4756-8409-1634-1997-3721,2341-1881-997-3015-5797-777-3179-2974,easy,yes
879714-1031438-82553-4028916-645677-789771-802776-87137,175883-70428-27725-99516-29532-39195-23400-141175,60218-33192-9897-83330-47798-9829-20124-6265,14179-17629-3301-9657-28343-5666-18099-15416,13526-14175-1901-7170-8371-5746-1475-16803,20532-9395-1083-14550-6953-2881-5662-6938,12845-7192-1064-3925-5691-2914-1405-1867,3422-3130-1070-5225-2164-1346-4390-3625,easy,no
210296-2308109-1148368-252053-564500-205473-2168997-201012,63109-111658-81509-97079-147931-48399-247823-97753,34462-47911-45696-40531-17546-14115-51848-11835,7411-11588-23226-15806-3915-15397-38014-4682,14230-16540-16191-7746-8227-4613-18209-10736,3043-11873-7321-8013-4885-2691-28610-4190,3043-2553-3022-3114-1805-1339-23730-3678,3229-2303-1896-4779-1562-1149-14418-3195,easy,yes
