delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
261713-1407181-1028323-1568592-2405192-726648-267463-828083,79073-122441-776139-286420-498444-197016-549460-36039,18897-34768-38826-89116-67575-34397-27019-4013,2798-32146-34011-37079-22154-20643-26608-10903,5725-9728-15935-24574-61236-25837-23474-2383,4341-10435-44082-46314-71792-11806-15115-3749,3626-3025-23671-45683-81717-3196-7486-2484,1313-3993-18628-20523-14165-2961-2503-2087,easy,yes
1002841-1145453-1663137-772161-2039147-801880-2852220-276777,513760-14205-127593-215779-123106-161839-595499-72002,19129-7354-52620-33011-70577-12164-251475-9006,86059-5560-16194-11026-22235-20191-171810-8713,30497-5916-8005-5811-26132-11181-113753-3041,40329-3153-23739-16297-10456-20289-42015-4915,35450-4371-6352-5297-17448-19913-34646-2818,11028-1022-3467-3822-4509-3606-10263-922,easy,yes
1490578-160884-819923-705859-671597-117090-379345-842971,113511-10652-37224-277692-63475-21163-60288-240727,36165-5920-9607-5330-9425-4906-16217-23460,14107-1851-6695-44215-14370-2365-7596-10867,14580-2384-8735-9648-12834-1885-6760-17033,9263-2176-5012-8913-7895-2647-10377-23631,7008-807-1682-6411-2243-1452-3499-10164,2181-641-1195-4097-2022-1140-2352-3691,difficult,no
526186-1212322-1997952-1565616-813208-949914-2397562-1582252,299321-33117-45669-256025-109001-40193-34789-479657,14615-2126-58719-10646-7714-43283-16897-195454,24291-3578-31397-8131-7222-13009-29590-45868,32557-1633-16667-23290-1595-14997-23269-59655,13642-2562-15420-24360-1908-29383-8044-68384,23276-3669-26395-20030-1540-17034-6225-60597,8321-5476-6618-8477-1039-8739-4761-21505,difficult,no
1084775-1625931-2102582-160876-189492-683965-1803116-777996,565761-285889-481058-22950-63070-28313-662204-160703,179344-373552-3152-3596-45313-5454-158661-19578,68747-141695-26356-1881-24892-4165-141877-13420,77194-43193-76095-4098-31060-1306-284636-16927,68782-79892-59454-6688-13458-5170-40592-11613,70177-82494-39492-2048-8754-4940-73777-8913,13868-14161-13697-747-3385-1453-17770-1689,difficult,no
52029-345993-1224270-579650-556928-1133001-802173-1109310,147696-13402-141404-281999-187593-39000-68048-103344,34049-17420-10909-124095-54767-12646-10746-27272,9752-14107-35159-157131-35009-64023-6952-32801,10275-11163-8109-79062-8453-26223-11498-8224,7224-1718-10625-32687-16191-7123-8625-14009,5401-2550-16134-43026-13771-5658-10999-7956,2933-677-4587-10187-6172-3552-3696-3267,difficult,yes
38346-172211-432169-2132205-1395935-829050-1238123-496912,50165-7902-22631-144742-779366-83997-222086-91100,1223-15769-5549-49035-59834-2953-15233-36219,2542-4061-6573-138759-96486-6706-14208-10647,1035-4928-1118-24013-37579-9745-36815-6537,883-3891-2752-69350-16933-4277-9466-14512,1158-1490-1421-17660-40053-4107-13064-10524,542-310-419-8267-14536-1288-4692-5815,difficult,no
2112266-2148496-651514-1525755-1113185-2191612-127214-1378972,780005-120352-97816-475198-186543-115386-19898-1552162,200135-55085-10934-670257-113328-21520-703-90439,163602-59969-10267-555025-25178-20736-5526-26513,67264-68333-6779-92689-23443-10558-2024-34244,73731-49782-12940-83154-16523-9174-1313-71691,43087-20795-2608-41702-18819-12382-2213-46085,21926-10008-1114-14282-4645-4151-1304-13497,difficult,no
112658-1205680-233544-2275381-682455-1159233-1944572-728620,64695-448513-56953-449952-35444-92212-58686-36596,16998-21315-2793-84020-4384-25534-2935-5309,4555-53120-9254-36509-6763-23208-28361-11573,3085-23461-2120-47116-2231-5264-3137-6624,1383-11338-4431-24214-1638-10297-9246-2364,1075-8450-1175-3449-1063-4289-3926-1289,1428-6046-993-4998-498-5427-1164-1022,difficult,no
493590-2175353-79176-118903-111666-984930-971068-733036,287056-317237-21311-178188-26290-717524-144584-241085,6010-48456-5174-21458-8453-68796-32559-10197,8876-26166-1689-8947-5099-66193-17547-31802,25689-26308-7558-7441-1291-43049-7652-8482,20488-6393-3646-18770-3627-7780-4615-4029,17368-4790-2872-3170-664-17658-3656-2401,13020-2300-1753-1990-557-6780-3341-1829,difficult,no
