delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
15068-244300-13195-313266-107620-26749-13676-90374,18540-20085-4884-102725-17155-8149-18056-14894,1748-4660-6706-3234-7636-11650-2601-3487,13561-15836-3692-4537-3712-13879-15432-3215,8212-5927-7096-3855-7992-18969-14924-3658,9164-13881-15357-9619-10009-34116-21066-2091,3080-7050-2529-9135-3575-9277-15516-2202,5363-6823-3171-4632-3066-7150-8564-907,difficult,yes
124117-599382-63103-65957-30861-70772-893703-11561,88145-50687-51839-7230-24721-77197-74797-10754,16359-10409-7172-4303-9879-31986-15409-3844,12583-9268-3693-6665-10224-25249-13743-5125,4276-4312-10240-3142-15724-8861-13202-5358,5627-3368-6362-2335-17133-23435-9302-17978,1219-1849-3927-2602-5204-6912-6227-7222,1105-1378-3054-2041-6912-9608-3722-4425,difficult,no
76314-65837-271389-111624-36500-148693-13553-4616,89432-20086-32518-23680-17416-62313-8208-11228,1236-19405-11577-5464-8617-16329-2976-4972,1494-7191-8727-4632-8393-19654-2050-3062,3537-5664-5483-621-8699-5776-3036-4005,5342-8655-11897-1372-3803-4420-3626-6140,1677-7610-5005-1474-2897-1957-1050-11404,1903-8881-4152-754-1210-2198-1204-4679,difficult,no
1315678-1303207-60419-12230-87042-31652-368535-53101,896497-52264-2869-2830-7660-13198-8496-2040,380005-14064-341-17114-2905-9708-10164-2528,72777-9620-2207-16476-2115-21665-1609-5449,67352-3885-1297-12610-7503-9145-2774-2072,40223-4645-2338-39893-9155-39110-5407-1333,49613-2463-831-20840-6723-33621-3566-1213,4894-2648-1205-11779-4190-5124-3353-1497,difficult,yes
867044-116097-349750-5376-73334-299133-738464-1238333,49178-25095-7493-1968-14897-5184-69636-40050,4131-4055-1813-4335-13063-9878-43050-17158,1838-1286-1742-14702-2311-3024-27366-13912,3288-2742-3346-5603-7927-8898-6803-12187,2644-11877-11821-29438-5668-6751-9505-4783,3116-3456-2575-18413-7597-3702-5153-2695,2737-4018-3763-5980-4347-4042-849-2201,easy,yes
248180-241888-21785-24039-32633-10287-403839-5504,39321-16463-3793-8552-42545-3303-222021-3105,23095-7853-3149-2930-38288-3324-14867-834,6883-2668-745-12918-5193-10343-19256-856,2705-1705-3385-8216-26565-3433-11172-2198,9844-2190-12504-24911-17081-6618-29177-6209,2122-1446-3346-13729-11715-10434-10091-2807,1548-1182-1738-13020-14657-3317-6852-1213,easy,yes
92741-180161-1794979-4869-4389-12605-425405-64801,15764-7146-31084-10740-31322-45918-650922-12482,2266-5725-3870-3948-18339-29539-54248-2501,2750-3692-7495-6869-23801-27247-41981-2774,1846-2254-4635-6757-18651-24128-108340-6286,1070-2354-7877-18231-17346-22513-37111-12743,837-1418-4000-15289-13745-9567-28398-7872,237-549-3980-8720-15545-19564-25107-4583,easy,no
51925-439425-15879-102187-1399788-7495-2899-153417,20945-62863-5491-25150-142693-21846-9917-79885,13010-10375-541-18639-23087-4555-12047-6351,12251-7074-5656-8311-26534-2544-4789-1847,16754-15806-3618-4178-57332-6052-2670-6410,38455-5064-6589-5292-25660-15842-18177-6869,8597-4514-6586-9616-11700-15915-3950-1874,4838-2635-4889-4018-13081-7916-8341-2247,easy,yes
152740-1152288-345507-6748-67258-1448071-230625-59042,35092-294988-26999-4326-45331-34253-14866-47614,23087-22298-17835-8842-38751-15370-1826-4600,6672-34439-27699-13584-22270-17735-23325-1582,2979-27078-15207-16822-9629-15556-2784-945,14188-43343-13628-22135-4654-10098-6980-3372,4644-20366-12688-8056-2499-9941-10065-3417,1646-9889-10532-7195-3444-5848-4218-814,easy,no
25404-657758-4662-98874-94390-4751-66878-77594,10746-269168-1241-3340-20200-5774-11442-6992,2425-59085-5158-3147-1509-1985-2170-8849,11265-41181-1036-1248-1108-6926-2107-4281,20593-38414-18999-1373-2139-2419-680-1964,22045-41694-11331-2608-1560-8154-4831-14336,20309-27997-4220-1497-939-4323-4019-4624,9486-5050-2370-1034-955-3222-6696-6045,easy,yes
3265-129816-67347-89205-12277-6056-80280-35616,10029-24455-39220-45280-6725-23582-57005-33903,16851-37118-21704-5245-8215-30208-17032-14176,14195-33506-4937-1357-10096-8323-16653-12252,4303-7996-22098-7916-17216-16309-9754-58391,39823-7740-58706-10009-54787-42898-26737-22737,32350-3909-30604-6865-13374-7936-16954-83300,5587-3912-20606-2903-26414-15643-14577-23880,difficult,no
1250018-300927-30992-13466-105799-251312-28041-174509,618931-11473-14719-1537-122449-20102-9027-72103,164697-16555-21694-2202-79348-2884-4705-7926,170210-3438-1941-1387-79730-2101-13303-2162,50038-6972-5842-12944-18215-1049-6477-2748,99407-8651-17091-6686-29577-645-11673-4590,22874-4427-4216-4702-3442-152-4151-1819,47733-4726-6638-1932-2112-278-3552-1071,easy,yes
10379-296638-641563-150417-89168-145293-773228-114321,23642-22770-27858-81572-5746-53069-75921-20618,1249-37395-4214-27428-356-1305-2775-13252,1848-14746-6777-11512-3031-4829-1770-7414,6105-4790-5269-24583-1209-5124-1553-4034,7548-7744-6657-12325-623-4171-3489-12316,2682-6518-4677-8118-311-675-4359-3689,1208-3693-5511-11301-229-465-2846-2319,difficult,no
10614-401307-1595008-163176-129948-10138-61578-4993,4462-259671-78689-10482-118753-10687-3259-16064,2504-32496-23758-1013-13037-19409-1429-3197,4491-8767-17841-1781-9456-4222-2037-6669,4620-9491-6442-257-8505-25878-3041-7896,22745-18888-17144-5323-10634-14832-2635-14680,12644-4490-11212-1594-7118-15921-2540-3607,12572-2719-2306-817-3291-6960-1043-4595,easy,yes
195231-471128-9333-87076-60713-302472-4341-5583,148390-162739-6396-4656-32689-76318-1744-3602,7008-35676-9603-1540-10308-9160-1306-2157,16628-9260-4833-996-21309-5171-2079-5082,8653-35700-15208-1357-13650-5477-1572-3919,9227-24237-51647-3129-46754-7439-4061-7673,2066-34591-32550-1996-18060-2890-1664-1996,1769-25592-12319-908-14130-1787-1261-1830,difficult,no
45966-2351761-1106289-529984-538386-35553-1788976-277151,19390-50651-101894-67665-40176-64263-51172-29469,58487-8438-8305-17206-10580-68142-1596-13073,20589-16858-19022-40617-34786-14454-20912-9544,11254-17715-14715-18133-7873-13499-7847-3477,5897-11599-29726-38298-10840-18957-13714-5030,3792-6472-24517-10344-14064-10051-4675-8394,3598-5519-13883-6831-6859-3458-1908-1610,easy,yes
