delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
55787-31251-235563-4287-55090-58524-144139-10323,8203-91305-16295-17207-22446-42408-30120-19831,3587-8747-4526-3700-23838-10889-17689-17998,899-8601-2382-20281-13013-19839-4748-7548,1641-6538-1733-6189-7821-7827-4121-6925,1419-6628-1609-8777-4935-9373-3375-7141,705-2652-704-8056-8528-3602-1135-4984,366-2883-388-6006-2485-1994-1262-2891,easy,yes
143604-20119-76165-1613672-9104-118900-27236-138859,18909-82331-23001-309807-18396-41834-32432-57866,8678-12309-1045-22305-6693-12924-33112-8261,4221-26309-1676-38078-17862-21750-15243-7612,5189-9433-3955-8778-14363-7968-12126-1470,4724-7311-1628-13090-9611-3365-9780-1165,3299-2525-952-3974-2144-3044-3517-633,2192-4409-421-3464-1733-2374-2166-383,difficult,yes
449297-296951-99437-816393-63173-77641-337071-272424,55532-25511-69641-47403-25162-43056-16265-45661,5581-8608-3805-13052-2695-6807-4574-8064,3549-5800-2773-6084-2018-3579-15868-7749,6059-6338-7693-11363-2588-1527-4982-1518,4305-3188-2420-8661-1015-2195-9535-2167,2161-2187-1642-4111-474-1525-7216-1713,1262-1045-1731-2721-479-1011-3288-544,easy,yes
12348-15880-288205-1032758-13793-6000-10554-56835,33325-28562-53097-120659-15032-4957-9403-36734,8692-5393-8509-35510-1300-2235-5374-18226,9051-8206-3254-17012-8702-3905-3843-2797,1717-7695-1448-11977-4543-1898-2834-1688,3360-13545-919-7645-4089-4637-9217-2033,786-2670-514-2398-1716-3065-1969-856,661-2612-845-2303-3205-1181-835-398,easy,no
272497-134207-577195-1375742-4820-8869-43742-7231,22580-10222-37587-193194-12219-3716-6936-5056,11545-2608-10539-155887-4392-2424-502-2738,3832-5484-10205-35870-1515-2231-394-1139,5846-1451-4505-39689-1082-3169-639-4945,4493-4290-9138-32738-928-8197-625-4434,2221-1684-8522-56039-288-3082-239-1527,368-768-5762-12187-648-703-53-991,difficult,no
138981-1234402-7559-1631569-5481-1715-1607-662635,29453-166196-2454-97414-6256-11585-6993-53961,17040-88776-900-49726-501-3856-4463-3078,7869-35948-3669-39245-5217-1846-6026-3064,1664-25902-3962-4129-2811-3041-4590-3151,3808-15470-2999-14201-1663-4491-2612-864,1063-8335-1577-5363-533-1378-2532-669,769-2481-426-2842-524-1362-3596-172,easy,yes
46303-1658019-82365-557900-63325-6440-102456-211004,35979-290931-2715-28984-34385-7917-20551-50411,12553-81694-1047-14676-4512-4218-10225-2416,6194-46044-1888-5674-15696-4098-4685-12458,4264-9238-2716-8696-7099-3379-2361-5674,9125-11711-5330-4090-5782-9237-1508-7092,1181-11796-1343-4567-3518-2353-784-1224,754-14625-858-3272-1505-2339-341-1615,easy,yes
245003-38500-197057-301965-114479-92965-54928-898058,109747-13955-18552-83059-10212-19570-5992-77758,108278-6289-4879-2373-5849-3692-1814-29824,11848-1395-8556-9911-10153-6975-825-39404,38096-2884-3696-2637-4617-21995-572-36727,37442-1736-7268-2595-6840-20111-508-31854,24049-864-5122-4982-2617-5240-514-4056,11191-770-1946-3012-903-4679-146-7427,easy,yes
138589-53514-810151-51462-132422-11468-6632-105639,30356-23555-267909-61480-7307-5659-8248-35943,2917-3144-71869-5893-3421-1609-8546-6700,7024-9407-31556-20288-549-7793-1473-1129,830-8451-42630-4690-1315-1620-6701-3328,3085-10804-7969-17966-1013-7224-10406-1941,1071-6644-17620-8777-371-1967-2154-904,1813-2312-6033-1984-205-2095-3121-572,difficult,yes
97706-53993-54427-209588-246130-63994-28179-3761,87206-27909-20266-51721-25203-21827-7826-740,12273-1799-11841-18995-8943-1506-11168-4754,4030-10237-2195-5239-6225-3571-7381-7338,13088-13876-11783-8163-11153-1884-5834-2510,35744-49902-15259-10247-9350-3464-7886-2133,29858-33212-12905-7421-9419-4436-9551-2055,12459-11142-6815-2830-4395-3951-2472-1849,easy,yes
236080-321076-111369-189400-808658-22036-72831-86775,43304-23560-8613-25517-20520-11675-6905-10703,6408-6820-3041-4616-7281-10091-107-3933,3623-7162-4490-1980-4426-13295-1905-1267,13094-7934-2068-1311-12777-9410-2471-476,4395-7707-1320-3887-15367-6596-1756-786,4056-2871-527-1882-6428-12509-2087-781,3345-3404-436-1220-6180-10767-580-500,difficult,yes
164020-96427-4626-152388-2244556-11600-206152-3823,28274-14028-7539-26499-55240-3977-7363-3697,10266-7254-10449-174-16208-298-5639-1207,11700-4553-11213-1491-24538-1729-7897-597,5426-944-9045-544-19071-10836-4255-2549,5246-4241-6163-940-12261-2972-8602-1690,1361-3174-4940-634-12281-7316-1658-2026,1214-1406-8352-291-7592-9228-1422-715,difficult,yes
85825-1286675-29726-183863-7871-12218-44046-193394,9910-43608-2712-21940-3275-5070-4896-10109,4873-7178-1473-7856-758-13323-1288-9865,3040-2605-2166-4061-2263-16819-2632-4061,2954-5946-932-5506-2337-10868-1607-2699,2688-7661-3628-4332-1665-8896-3175-3180,964-2550-1218-990-988-5653-1650-1005,933-2596-962-2536-1191-2391-324-1702,easy,no
90591-179964-3069-66902-5012-7292-54593-96796,15867-23172-21392-35742-4166-12956-7177-19170,3055-6080-14355-14073-7373-648-3418-12651,2072-2995-26947-5213-2559-4730-13220-2794,2922-1890-11411-8613-9692-1500-3213-4560,4981-8039-6228-8416-38013-4933-13440-7587,1240-3988-18810-3021-8200-6265-7041-13808,1555-2553-6568-3885-4308-2487-4287-4388,easy,yes
74375-14707-713155-143118-164504-110118-7064-1163496,19852-8282-47277-69249-62247-8412-3814-325175,2621-3313-57364-6891-12295-2415-4933-38097,5701-11052-6384-5540-4679-3807-3589-45813,3197-5908-7029-3623-3595-2967-4739-33849,2569-12489-39281-1266-1955-4109-6183-16366,1050-16998-52143-1640-2466-2720-2274-10110,1120-17019-61057-1997-1725-1250-1425-10802,easy,yes
10427-15606-5076-888630-1555015-118164-370603-181895,6809-8233-7146-228185-167098-8471-17896-79811,5048-7119-130-26128-40546-814-6631-4366,6531-7338-807-10634-18211-640-4846-5250,5331-9550-1636-8773-12223-1221-2209-4142,35909-33395-11859-10969-21339-4547-3582-1736,70424-12394-2652-3573-12162-2655-3200-3635,45691-5854-9059-5758-3814-1245-3187-1383,difficult,yes
