delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1098480-395273-395273-902371-564703-477384-927388-210021,568441-520749-520749-206304-41895-47994-148603-49870,51079-19222-19222-30301-19445-7327-27226-45248,51007-16952-16952-15192-27553-13219-13901-11269,36335-10205-10205-10366-13374-15059-24014-8145,34214-47541-47541-6108-42513-50694-48313-8410,14308-19512-19512-4524-16583-11278-31328-11282,28893-14510-14510-5588-8057-18420-24906-11846,difficult,no
43526-36247-328350-256501-214815-187334-829345-213085,24189-20258-51813-51441-20560-18425-118869-35131,1291-5602-1579-6663-1819-2663-6646-8017,1854-21884-7450-2517-2940-3775-24470-1764,1223-9342-17505-8449-6921-2174-30409-2865,1614-14277-35933-18508-11828-5584-25321-3301,1458-26989-37253-74905-10901-13118-23329-8443,1958-25535-11516-22709-2764-4409-5265-1924,difficult,no
531176-531176-55674-263086-1959045-341033-517775-154437,51894-51894-14871-58887-314910-398208-59496-28133,9588-9588-871-45939-19875-150446-19961-7046,6956-6956-2723-8619-41414-97958-5890-1523,7462-7462-6844-6164-45078-25261-1023-2384,30885-30885-7719-12666-47249-25754-3325-5733,31265-31265-15270-9543-40200-29212-8790-3694,15610-15610-5303-15230-11281-26786-6714-1916,easy,yes
495391-495391-785953-226524-187537-133921-250619-250619,68209-68209-141860-204962-20851-18165-6821-6821,7087-7087-11153-33460-21738-10869-2530-2530,20468-20468-9070-13757-9645-3172-5457-5457,11813-11813-22866-40217-11870-1505-4456-4456,22749-22749-30461-29797-14849-7878-5381-5381,42317-42317-76575-26917-117296-8059-6541-6541,8245-8245-17342-18704-12690-3786-3308-3308,difficult,no
403106-161773-113679-1287431-656903-512667-512667-108953,154435-21783-65257-256366-153736-121212-121212-15791,47995-7012-58868-44654-41685-23342-23342-8478,6643-604-42247-27079-27348-10496-10496-2846,9974-6367-16324-6152-10054-7428-7428-5180,28095-6320-21717-23107-24645-21958-21958-5866,40089-13079-49603-28212-33222-21409-21409-6057,13594-3964-26410-15050-8553-17078-17078-3187,difficult,no
938577-376865-908363-143973-168655-316935-1704306-133925,232047-24712-294850-89127-135669-99483-875745-7345,25366-5142-94666-6676-33145-3717-93910-3379,18073-23052-38710-3076-25091-19623-27683-11285,10189-5748-5081-2425-20347-7723-13640-2817,138777-62594-37537-10127-57891-37603-39570-9189,29553-74448-37815-6098-47671-26055-114162-17538,25131-23723-19264-17615-13067-12625-12546-2278,difficult,no
2257125-26164-281345-968903-1781973-102063-256408-397747,36317-40122-45034-105881-60368-91045-11312-53699,98887-5414-5960-90282-2533-32094-1087-38875,37948-2029-8634-8886-7331-13322-6063-6134,17407-2010-3404-7446-5878-11274-2923-14057,41934-1561-14828-58061-8409-95405-6782-6645,82596-3680-7134-36362-19181-98055-20739-17352,45829-3700-3187-23464-6617-10439-5332-5888,difficult,no
1248626-1311825-332872-1975138-91703-20892-20892-264464,85349-106109-65613-256534-16153-33786-33786-29802,72405-66366-22299-11537-2780-14131-14131-25907,21282-126322-46688-40108-1353-3303-3303-7822,14782-44870-8093-7818-1848-16144-16144-5279,38929-40991-8699-68496-3826-47196-47196-9392,59308-62967-18584-45042-4249-64432-64432-6076,29997-36786-6757-27873-1231-26678-26678-2250,difficult,no
808134-808134-248087-111671-64150-378440-378440-201247,100798-100798-84400-21488-13143-28910-28910-79073,62103-62103-29572-6815-3386-3069-3069-14872,5040-5040-4276-2815-1367-6824-6824-7836,12459-12459-17732-2084-563-5878-5878-3229,10191-10191-10926-14234-3088-11441-11441-15551,13123-13123-10060-9875-3750-15321-15321-4330,7616-7616-4510-1847-2385-9853-9853-11254,difficult,no
98657-623315-579990-919319-244520-155951-33936-33936,22568-75824-105709-248670-28633-70263-9823-9823,14962-12282-4855-29632-15101-6138-3139-3139,9593-9561-3620-18714-6047-1521-1707-1707,20787-1731-3989-27826-4162-11299-744-744,17649-19469-12410-32717-12242-9262-2427-2427,13167-7511-21991-29803-11430-7814-1472-1472,6791-3407-4890-16924-9242-3369-693-693,difficult,no
