delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1631342-440569-601660-1752800-1752800-2020942-384499-923280,83912-268909-1002657-389496-389496-266549-31409-62782,37476-60076-328657-59298-59298-62127-4191-7772,4464-3283-109214-35287-35287-52861-4899-37851,23862-10072-53063-109411-109411-25473-7154-8449,14714-5533-41306-33001-33001-11917-3211-8035,17318-10131-35390-23614-23614-13910-3985-12166,16618-5910-30951-24546-24546-11801-3083-8187,difficult,yes
510167-1843727-693536-693536-810794-53029-562787-345931,34145-56151-967418-967418-128156-14377-59912-310273,17828-18137-356426-356426-43900-4278-7354-48144,11591-52964-77550-77550-58940-1007-5842-26287,7393-36126-32745-32745-22805-617-3881-14096,2747-12553-44621-44621-14639-926-5782-17857,1327-13983-85054-85054-14508-545-3192-12463,1984-10568-5418-5418-4947-383-838-7816,difficult,no
968861-859419-1775083-1284510-436159-311906-311906-66585,130613-46651-334759-173773-194243-38837-38837-70266,80106-13923-60873-16865-17813-19286-19286-9974,51033-7426-209774-39622-11913-5281-5281-2010,11545-7469-106628-8387-6461-4145-4145-2056,11830-6011-97939-16760-11347-3707-3707-2722,13134-3540-66721-18056-10008-1419-1419-2089,3239-5394-12534-10395-2653-685-685-618,difficult,no
1370770-169998-172874-160624-878916-36989-1665937-326962,245432-10975-95095-21370-57929-52309-835632-173741,146726-12295-25896-10093-40568-2032-84403-29064,22651-4949-6230-11469-7470-4106-185044-7200,36791-3760-4637-5884-20351-1399-66711-17185,26686-1006-1822-1549-7878-559-48692-4373,14869-4098-3437-1318-4862-2233-21522-3824,9618-492-1152-1310-4595-842-11954-2104,difficult,yes
316035-571301-89381-89381-1525793-1140319-2536031-648211,19672-61314-23774-23774-74796-40249-450640-119620,1456-121278-13701-13701-16559-32384-181766-15227,2184-43584-13473-13473-37924-14937-62988-33086,1484-28445-6354-6354-4748-18672-21115-6952,1268-11656-3883-3883-5790-5002-32737-13813,2282-19679-3005-3005-6301-3623-38004-8066,1142-11058-1611-1611-3922-7680-10967-3364,difficult,no
938843-934263-870633-870633-1415412-545054-791680-953257,99388-337295-42065-42065-94981-489696-346719-256778,6827-107808-5953-5953-13728-44988-144550-9245,17138-7650-3553-3553-29825-13619-37734-33661,6204-17993-5189-5189-17965-6583-38793-19772,8143-13440-10371-10371-11201-9455-27355-8539,3439-16258-24851-24851-5296-10060-51791-5783,3930-4414-7993-7993-6313-5800-17680-4586,difficult,no
350519-956384-729200-729200-134407-75745-386309-664893,344850-826899-73686-73686-96653-20813-23715-94512,21514-58346-14488-14488-12442-15772-7294-27559,25263-130103-5930-5930-4532-1223-3689-11704,20679-56224-10462-10462-2888-3096-3202-12914,14490-41894-16608-16608-2036-877-2592-10345,16925-24244-16328-16328-4751-3329-2691-13791,7210-22433-5614-5614-1854-2482-654-4449,difficult,no
946376-1914301-850393-1802655-1802655-439207-1496925-2321866,54540-1274629-211162-661112-661112-53992-919754-203458,14002-439804-90442-66151-66151-9735-248135-64326,30171-109389-2703-104091-104091-10093-155801-43479,3059-67257-5493-36073-36073-4784-52847-14723,10659-81837-17200-34846-34846-2678-77400-43735,8233-85608-20456-40785-40785-1711-84386-31070,1583-76667-9772-14082-14082-2068-31068-14501,difficult,no
772024-1251824-170583-27252-245428-972693-1315131-238944,231434-467190-55966-7386-117594-39931-172811-63789,36170-48716-33070-3571-43658-3280-45576-22696,76521-130297-4498-6615-63601-22281-25608-23259,10814-13774-9402-4714-28179-27701-10139-4226,29504-15338-7527-959-30422-7510-7804-16305,23666-8519-8322-2236-12065-4400-12592-6032,7687-3770-1515-384-8024-1722-14800-4497,difficult,no
