delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
10484-99309-352831-124989-1798127-1062415-390859-234236,6204-27398-90490-22965-81419-288591-91962-17178,435-8374-13372-11450-59811-73652-39894-7438,2107-2524-15528-4516-10293-19436-13256-16021,5602-4277-17152-3770-5081-9381-17491-5938,5477-4831-13491-1474-6912-5569-10911-9680,3786-3616-2999-1857-8860-3747-7208-3454,2345-1339-8668-919-3076-7137-6592-5367,easy,yes
201600-29400-383961-578019-44979-155986-1355134-82339,23205-12530-52903-84545-9900-118541-240616-72919,5409-2361-5334-7336-11436-10302-14328-31267,8710-13518-5355-5913-9109-2869-50746-28456,4492-3874-4892-6412-4841-4394-12985-26819,2393-11635-2694-3274-4331-5689-20507-46499,1007-4279-2647-1309-1800-2122-14813-14841,649-3509-1933-479-2001-1610-6694-9785,easy,yes
77537-415955-37333-150225-5056-693058-62364-317850,51950-46225-55937-12671-4470-282563-15109-110742,12824-34369-6229-2401-2556-45277-6135-13362,8323-20774-6576-923-1693-23804-6426-4531,13007-7997-6303-1317-1969-19147-4163-5183,27617-8409-5799-1544-3162-17457-11158-2809,11804-15579-6055-1111-1597-7631-6224-1557,6799-5977-1766-265-1020-7980-7788-1252,easy,yes
890529-27577-132040-158913-293566-1095094-136299-85166,87657-12421-32781-265122-12459-58248-10962-10455,23125-5738-3469-16324-2284-35256-8423-9290,6217-6156-1720-5987-2703-11737-2647-1282,13874-2503-484-17900-2236-9992-4177-7972,12844-3460-2604-22679-4006-11289-819-7997,4006-4664-484-18720-1997-9029-1154-2654,2465-1498-538-10574-2431-4654-998-3264,difficult,yes
788897-25003-149435-772398-82533-17496-65263-120149,16958-46176-13159-228173-35386-16983-35805-10921,26637-3831-3256-51408-3063-5044-17668-2212,9358-15825-3448-60046-2437-5148-12006-1648,6605-17335-3412-15094-9338-2530-3343-1152,4359-19997-4512-10688-5922-1456-6163-608,2636-7530-3200-12742-1043-1538-1891-225,1342-5979-1077-7812-1992-1535-1687-295,easy,yes
196571-2253404-280961-140926-99243-356780-102550-824802,130422-516884-13430-151100-61200-693048-78794-244564,7535-53636-13540-15915-5291-33979-38842-71422,5493-103938-10360-9826-3363-38725-40065-28433,8790-53448-3752-3438-5847-11889-27552-56083,6479-28841-8348-5062-6286-20123-37736-11665,3010-24889-3265-3413-3486-15204-15060-8410,1065-14569-3730-790-1718-5095-7485-6595,easy,yes
45759-10902-196465-279703-55953-2324730-450839-733300,46476-7075-19565-39809-65715-871812-25839-79617,22334-11326-1179-20360-1515-184036-3630-23166,55452-6660-7822-9407-1658-27223-2647-19694,35460-9968-1822-2213-1617-98774-2348-10720,10052-16236-2605-3586-1512-51973-1816-6301,9735-7193-1840-5711-1334-18415-1159-3960,5390-2173-4698-2242-513-24554-314-1498,difficult,yes
396061-90040-118917-15507-170744-25913-316251-14093,118000-18089-17187-5362-77095-17368-50168-14828,8518-6576-5151-6116-3403-2284-10579-4081,1288-4858-4806-2554-3142-3007-6326-2540,5569-5113-9222-3730-459-2578-4970-4305,8516-3215-9211-3957-1006-3508-8100-14184,2396-3063-1827-1590-772-2629-2506-2525,1676-1548-1377-1543-574-2110-4032-2003,easy,yes
30788-320289-75926-46925-8519-69778-1410979-175108,19571-77214-18674-105305-5936-41091-142582-40952,1426-14904-4210-6214-458-3088-12522-6122,6995-10586-2450-1685-2413-1623-43320-2126,7790-9881-1985-13018-2869-2483-49818-7694,6886-7982-2582-13669-4266-1420-20517-3637,3093-1930-3406-2790-4086-606-12783-3567,1366-2190-1480-3711-2279-387-5358-1143,easy,yes
302344-2460887-216452-45395-112193-487666-62736-41044,18315-84272-210386-11434-13518-219037-6962-7034,1756-62494-82192-2330-7031-23202-2333-2669,3129-46293-14063-2746-1461-26777-3354-2916,7290-29350-6312-506-2320-19485-591-6267,1935-18662-20086-992-2215-33306-2634-2756,1346-12651-10738-646-517-6057-593-2379,525-8346-6518-329-497-5981-1376-2302,easy,yes
