delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
11769-11955-31180-358114-59320-175484-427875-958558,2064-8420-9465-51537-22931-62675-56314-557158,1382-675-6347-37215-213-28336-14578-65311,1856-2826-5404-13926-3424-14935-3393-63898,1264-1522-5709-4822-331-1658-8319-70933,1288-1902-8201-3684-970-1248-2929-48307,927-4451-6261-1634-330-1077-2863-23574,575-1349-3687-1465-282-1624-2320-8913,easy,no
284775-414899-1189628-1004429-845645-7541-1246082-1282838,124626-487508-148641-195057-52877-12681-77743-56398,10447-283076-176708-34396-14425-3282-90256-20511,9096-231365-60426-62061-11106-2406-51284-9605,3817-110962-19357-36559-9965-14048-16261-11113,15008-88031-19978-48052-6331-13741-14172-10200,3982-70930-39590-48403-518-4987-3589-4177,2710-180057-18706-42620-539-1422-3810-7553,easy,no
112404-2224469-65046-675625-1777340-214892-1528894-188574,81861-400129-49199-114138-508046-66333-38894-56655,17825-190477-11828-7889-43477-17494-8186-12155,12824-25722-3348-47178-31396-2344-4457-7616,6748-71343-526-17861-20928-3540-5353-7775,12469-23943-2296-12851-14115-1194-7433-8536,6487-23470-1595-8028-8730-2292-7445-7142,2763-16040-1251-15043-9894-1771-8797-5743,easy,yes
698537-740047-1136254-952719-637101-119183-105509-79564,185434-45039-489897-404661-570704-16292-25144-23012,15008-7851-102446-93267-159561-2390-13413-8975,15848-19750-38375-57706-20280-1923-14599-1713,13141-10878-30484-29124-23518-1831-22024-1997,8980-7370-31797-7191-26887-1479-6488-3222,17103-5491-17382-9068-16661-1602-5950-1804,11203-12662-13690-12081-31459-712-2993-1618,difficult,no
122183-681015-503379-176272-586593-19339-464382-31092,57741-51607-220082-31301-216811-37327-54297-9583,18046-13074-12335-4936-51728-13345-5896-849,23006-9072-21642-825-6848-1874-3584-886,17436-3806-39206-3217-2324-3042-10992-550,25032-4680-12394-1063-11879-2723-1779-772,11856-4809-10170-1738-10709-2852-5288-594,14198-6265-13854-930-2716-1135-1846-162,easy,yes
214856-626116-29526-107141-425339-165518-81254-279578,156239-94851-31755-137127-85836-134406-16977-151210,17777-30104-15095-41082-15446-14843-12396-55179,22719-7241-15994-29141-6744-13676-4764-21356,13163-13165-17407-15991-2597-6891-4144-6982,6098-13013-3604-17966-3293-13861-1776-5752,11078-5900-2740-8687-1683-8866-2064-4570,13590-8901-2792-4950-2231-6364-694-3323,easy,no
1766961-1809433-64054-68326-59197-264550-803359-149952,328103-202468-29116-96743-32592-27868-122673-52226,79723-58341-1417-31265-1579-2170-8226-27009,28287-20642-6982-2001-4475-2243-7986-6445,15451-7131-8868-4085-6754-4005-13012-17924,15972-4328-6406-2810-4168-1315-5390-6236,13867-7361-3383-2044-2257-1371-2095-6722,18743-4159-1042-779-1154-909-2821-8469,easy,yes
91886-282253-1371106-307110-207822-190219-360478-120038,56497-20039-81241-42899-85381-20288-190382-108259,8970-5486-38263-4181-6515-2411-53497-12389,5990-6843-25821-5401-1170-2407-30381-6571,2771-1639-16523-8052-1007-3007-27298-6797,3052-1508-15914-2238-2286-1820-8310-2359,5785-2277-7751-2619-4337-2007-10404-1728,3071-963-8374-1328-577-1611-6476-687,easy,no
58907-191934-264732-174724-113449-106398-907399-1761726,14741-48287-180072-13700-29872-30583-331138-125849,11716-22168-57256-10921-7672-6602-48526-15272,3650-5979-15377-3999-2120-2153-29241-7336,2263-7892-12295-3334-2627-615-18002-2635,5764-14612-16738-767-3551-1489-12388-4306,5262-11616-10155-556-3355-1393-3008-4082,3963-12207-8536-1038-752-664-5964-1457,easy,yes
1997870-491788-104989-230794-184125-123716-89109-449411,75319-129478-17383-37457-37642-154044-45611-25825,59319-20096-8274-1706-8092-39838-16117-11561,41615-23744-2522-3621-5394-22466-8734-3404,30959-21159-7988-1091-1748-5108-7969-2134,21629-9765-13937-2088-1835-11596-1551-2899,10686-2707-3084-942-679-15219-3199-3261,8677-1416-4246-244-1098-3341-1260-7861,difficult,no
