delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
945147-519476-128378-266359-2051481-2165915-133464-1774220,53742-15095-41907-33054-460820-475986-32138-369600,3206-210-5850-9360-87361-63214-721-23466,6933-10555-2442-3808-16356-54057-4031-51541,6146-5990-3709-12117-47945-74760-2235-15738,3725-5935-4254-4064-14735-50689-5431-25608,2354-4312-3201-3005-13391-27028-1655-22946,1084-6736-1581-1600-13867-15629-2983-11007,easy,yes
575407-826082-337228-676230-130488-57386-678600-30861,31537-54177-19638-121313-19439-27774-168428-21053,53508-12751-11470-35404-1307-23464-4697-1661,15876-1244-1025-2846-5767-3853-4042-1478,6404-4485-2868-33616-1144-6696-9722-3693,10335-5296-1353-13366-1230-2026-3350-4715,4068-2786-1530-3357-369-2261-530-3614,2322-1757-963-3147-209-1592-1117-1339,easy,no
144861-101027-71500-128019-1724764-143882-1638188-23341,77287-106893-16914-84111-782347-23709-330050-19726,14408-15988-1803-51231-84538-8582-63954-7311,30071-16948-2177-18482-31415-2740-19215-4880,14447-21477-2313-15819-28702-1071-9104-4990,7740-3802-1302-4826-15349-3695-14907-4991,8442-1369-285-1906-2706-710-3327-4628,4767-977-233-1567-1004-415-3280-2224,easy,yes
57886-33148-150901-256367-1142146-81086-51863-37022,19959-18152-73166-49274-145521-50918-17609-7914,5727-7059-14876-17475-85739-15162-4947-3685,769-7147-34555-4862-13941-11987-1025-76,3094-8507-4503-16236-13265-6686-1848-1050,5744-16362-5477-2925-8094-2674-564-901,907-3204-2653-1305-3533-2948-181-127,383-3458-2048-717-2227-1063-219-155,easy,yes
19921-29807-1985196-114450-114450-22931-111208-201565,29749-29221-450994-18235-18235-3491-29956-27002,939-11374-92599-8482-8482-2187-1892-31555,5359-8131-32187-6543-6543-1663-1990-5244,1963-4367-25567-8080-8080-1258-2436-11851,1514-4576-22556-2891-2891-447-786-4167,279-4450-10037-1009-1009-560-843-7473,397-2326-10130-518-518-311-440-3778,difficult,yes
380988-40157-223095-413764-327750-151255-908477-1109397,57552-21210-9850-211261-87428-31183-123003-159383,30551-9317-2557-6284-7363-5569-4314-42535,28972-5514-1751-9630-5918-2629-16707-8001,6803-15503-1538-3245-1539-3780-25267-5530,11138-6664-407-9047-1258-2318-16049-3825,12907-5684-245-3520-1541-1254-3902-2593,2259-2068-221-1787-575-1113-6671-2155,difficult,no
65741-55622-61489-410569-8887-205346-37098-98191,27124-40339-60024-72543-13917-13712-16872-45206,3605-701-10776-19512-2930-1270-1925-6834,1599-5044-9658-18300-3090-1153-13724-5385,1902-2175-8902-10022-5000-1483-5176-1844,854-1198-5745-2195-2028-2299-5733-2329,356-1198-3774-2430-3321-2096-11719-1370,552-503-2443-1214-3152-995-2727-429,easy,yes
8522-119529-256431-135590-34236-5872-508935-92627,11759-120793-35604-235787-37443-28081-53503-12131,8909-44558-17931-41758-5650-5823-8540-1504,6089-11294-6619-25762-9745-9641-4331-3129,6954-11576-11215-11693-16683-2435-6215-1535,9803-10153-6065-10556-8571-2362-5776-595,6049-3348-3157-3870-3553-6659-4509-742,2620-5050-2985-2819-2232-2249-4606-414,easy,no
55417-87431-51728-320848-159323-129677-394932-25653,40838-27137-10046-44072-8552-14205-537199-29551,5192-5906-1588-19740-3130-2049-41467-39027,2632-5797-2056-6306-4953-1862-26373-7514,1302-5390-2835-2311-4125-2910-10527-15534,2945-7491-1800-1731-2555-1554-5750-7631,1366-2717-1712-1919-1375-400-7424-8099,464-1349-726-1276-1092-179-5092-4150,easy,yes
44888-1321416-220680-208210-407427-538325-173016-1422074,81458-300232-4967-26495-170502-44026-192177-237417,13147-18803-3597-7542-133401-583-97816-31097,9754-21843-2418-3350-54598-1113-32234-63447,12074-22449-2879-1185-15678-3549-29472-26995,7546-6245-1653-855-6942-2903-10974-7204,5130-9950-1603-505-2745-1423-8870-6625,3566-4652-1158-293-5000-714-7813-7155,easy,no
643680-1579111-69038-969213-1037089-10543-125891-119751,22708-334655-24087-23897-370667-19257-13229-24881,9633-83501-6724-11596-26325-1706-112-1417,15849-39917-583-2693-4542-7251-3985-867,15658-22906-437-2920-14160-6629-1188-244,4791-21483-1030-4988-12862-16524-1183-396,6212-13407-595-894-7956-9175-678-328,3572-12033-140-1390-3726-3106-321-161,easy,yes
37032-90731-340388-593890-1384081-301376-708609-665542,33000-9449-14175-66293-354131-85652-89653-90676,56794-586-9643-37360-22582-26619-6565-10648,16519-4910-5977-10455-6842-15283-3064-8246,15150-1585-1021-12056-14345-7382-6963-1974,9065-2781-1039-7246-5672-3763-4217-2105,9501-2242-1996-4153-9528-5967-2376-1566,2648-639-628-1711-4199-3619-1009-879,easy,no
190604-43348-1817711-743499-812536-122815-1030382-322737,6431-40405-385344-94144-296844-63259-242817-77229,1266-36962-50080-77579-1627-45615-30625-2420,2605-2729-9874-7331-15328-19330-3285-1471,1861-3681-20669-24468-5496-6240-15292-601,1004-3617-14209-8988-9180-6738-6975-1849,812-2746-3264-9674-15157-5886-2246-3301,368-4903-911-5140-5916-2583-1866-1134,easy,yes
13860-44463-170459-576326-170480-218803-85630-213657,23304-9646-9873-34299-14346-41309-64152-8273,133-5389-1689-1626-813-39207-4258-7973,7012-2862-1849-1842-1080-9199-748-3532,4901-3513-385-1435-682-8758-768-3815,20559-1219-1457-1907-666-8953-2347-728,14358-868-580-1365-764-13281-1973-997,2269-546-679-1252-375-5200-619-1079,easy,yes
57638-95838-807006-2254876-49012-73516-400060-1437447,11431-20145-44468-49574-28068-17670-99504-34568,9946-6236-4063-37594-892-750-9238-35261,7584-3048-16287-9063-1850-2229-2565-18113,6946-2731-18050-22730-764-1389-10183-5975,8067-2380-9814-6858-700-1169-9236-9388,1888-1318-9095-5344-529-900-4277-5164,4298-1517-8656-4010-435-1052-3237-5822,difficult,yes
98993-131503-77172-928846-637621-599482-1910859-237617,41926-33613-18412-369418-42602-185035-144546-13646,3343-8919-15754-41556-18424-23179-3278-5324,22318-6347-3912-49843-13825-11739-75703-28834,16815-4668-2562-69453-9669-33859-19941-1443,7263-6093-3152-15531-6098-13521-6287-2894,8943-3143-2066-10805-6844-10029-14361-1422,13085-1408-1438-4233-2825-6197-7111-2029,easy,no
499413-1023886-97454-632007-403033-98404-96685-652866,30620-35626-66630-44926-62860-35638-35397-64634,14361-30430-4656-2473-36390-6875-7742-42899,17043-2011-3680-17986-12104-2685-3408-22402,4354-5106-18819-7171-36946-6015-7431-20152,3543-6618-10601-7549-38000-3549-7012-20186,2330-3153-4368-5143-21731-4565-1743-16660,1365-1742-789-4568-16289-1864-3603-6914,easy,no
74881-1439333-737018-1542885-1225774-475256-155027-42602,14883-44150-679411-160786-67534-154450-42863-34552,9719-23403-69701-43084-10162-19193-12548-21247,3297-43139-64381-38805-7072-11158-28159-46628,5867-6034-10100-8597-16028-6461-2124-8093,4974-4687-17633-25873-4119-13633-2917-43502,6182-5393-13417-13934-11480-6356-2856-22923,1790-2830-10921-5467-3873-4263-2047-7412,easy,yes
763227-689945-58458-2797060-503263-114207-445494-1052392,179767-245900-6323-149517-167485-94703-274342-102584,28174-43381-12877-99689-41833-10089-20424-6420,30316-85418-6864-42110-38430-50172-15969-4760,11764-42021-5097-41831-37215-24455-31266-23677,64587-10494-9277-20840-11560-10582-10159-14648,6765-13028-3510-11197-18974-8400-3838-10431,4462-5824-3020-16168-5215-10586-7939-2813,difficult,yes
505206-78767-58750-563521-804927-118890-674090-1208694,494648-9887-38969-70911-243660-11722-182540-76341,43447-3621-32979-8556-25305-2683-25278-5349,43789-3342-7515-20435-17742-1225-15225-4751,20038-3174-3469-4041-27157-627-17491-9554,22395-1585-3771-8599-14695-478-13878-3699,8581-2472-7421-10801-12976-864-6083-2681,6769-4303-2758-5957-13493-341-6639-1568,easy,yes
70703-28902-48071-1009021-114733-154851-2756876-1061525,23149-42715-45148-72867-3331-111256-210529-192273,16341-1350-14012-14711-1299-3981-41877-10952,28019-2250-5383-48247-2781-10703-34734-11062,13931-15674-24907-9792-1698-14182-27422-19518,11325-8803-18168-26709-584-7481-13638-10518,14998-6729-15370-17585-617-6066-21822-14173,7082-5930-8435-6478-318-3433-5176-2878,difficult,yes
17549-244446-1216020-234735-160420-129641-1334970-596566,14877-36256-243177-101709-17128-18555-107047-73256,1148-6532-69210-17494-935-6820-84092-13888,5917-8946-42975-21031-1674-4027-13550-4003,3009-27444-17413-2536-1209-4270-27404-1195,1586-14375-23353-7177-770-2279-13943-4193,1978-10164-10992-3274-597-3559-9726-1807,2455-7492-4456-2904-519-2565-4576-719,easy,yes
8261-113868-30171-113967-434994-295986-857771-65356,22242-30069-7662-41694-219638-61538-194704-48786,4037-9147-1650-4671-5855-2798-4784-8093,9738-7707-14667-2590-10820-3679-16983-30907,2622-3965-7241-3369-4460-6765-5678-26345,9079-2521-12590-3492-4378-5489-11771-10484,4827-2726-4562-4051-3570-1310-5272-6175,2255-1620-4496-2356-3638-2330-1909-3268,easy,yes
164651-151510-854936-2106132-216022-485231-1871032-1940008,62540-30272-55903-19376-427182-185058-95286-95447,15253-1841-37602-26846-15836-25983-78886-22054,16482-3545-11583-16528-7061-12691-28642-9561,22232-1112-3159-23813-10651-4424-13830-10417,10792-765-20548-11731-13194-18773-10975-4150,12109-247-7130-9790-13619-5628-10960-5921,6655-239-3071-6713-8338-6812-4119-6309,easy,no
28367-247844-412087-633654-330688-539015-389901-715018,7482-70671-18929-295891-33838-86644-40055-20975,5291-14281-4510-23300-15138-8317-8547-2506,18195-6647-8020-28806-5133-9505-4395-20049,8601-14171-20178-30474-10306-16319-2159-21707,8201-12609-5799-8838-4771-7101-3161-10556,10244-12728-15403-8398-7480-29902-9586-12549,5848-5699-5822-8269-2315-16047-2648-7970,difficult,no
1752-91952-83361-963162-81208-1157489-26813-1434884,9514-61206-40163-16777-165487-75247-15350-265739,9586-8696-8837-6598-47533-2790-4271-10101,5800-5002-6099-18748-17056-6549-2956-14445,20834-3518-5421-10660-3500-1513-2931-21471,14142-3361-3749-7105-14248-2619-5887-14689,8774-4872-3590-8308-18670-3795-4275-3867,9306-3933-1260-8907-9533-2790-1541-7589,difficult,no
137432-7069-70483-823175-255596-467806-1178396-531665,12642-8926-102780-158184-157733-29321-77183-149980,10240-1213-13783-10153-4537-7648-23713-63449,1320-5700-8728-10525-13126-10310-51651-35267,2753-7520-4073-2971-9435-5414-14619-8753,2127-19933-12971-17970-10503-2456-15712-8819,2729-20619-17391-5757-8903-2734-11653-7564,1383-5260-12607-13338-7802-1052-10644-2274,difficult,no
82650-1251906-188871-1407280-1095473-387636-53044-63518,115901-66814-43833-176865-31873-54947-30212-27993,16361-32063-5715-7538-13082-6028-55270-8369,8683-15523-5245-10423-18063-10615-18559-3889,30849-12647-4927-11136-6482-16301-7595-1641,10390-14307-5332-11193-12492-9965-10299-2290,13795-8170-6371-9382-10254-12432-3513-2336,4149-12203-1628-10201-5743-6049-5938-1219,easy,no
32938-100491-67703-189313-1366588-698952-1311239-605432,20466-73248-51919-78850-60054-51800-197561-28716,64785-11779-25489-13015-10902-3318-1574-16488,6684-16996-6375-13595-10813-19487-12956-8861,2560-1308-5183-13010-8681-4943-6400-1627,10642-17670-10651-10022-13941-18243-7146-12683,9463-18932-12718-10902-13625-7262-7235-4063,14652-12062-5039-6125-4291-6374-9719-6420,difficult,no
101372-77028-43780-540574-1072244-1248035-144413-1446495,14022-14875-9136-270288-260525-53430-10468-252947,2878-12381-952-21417-16298-19930-3037-33963,2804-6803-4524-16717-11458-21211-2736-58337,4117-4092-3057-6643-4238-21586-2424-12059,3932-12896-5785-15469-11969-16743-1764-13845,2922-28046-5571-16720-9780-16691-1522-11308,1559-9420-2089-7232-8978-13126-1157-6773,difficult,yes
