delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
67789-24748-9386-139297-258263-925431-419673-86174,22353-7688-12472-111755-117626-74284-281539-52803,7891-7836-10283-13024-34294-31720-51167-4350,2700-19334-22665-36468-20743-28427-41154-5193,7359-6385-35184-14685-28588-26983-35451-8524,5778-23936-48000-43858-37557-32372-29858-9099,5310-16610-25595-13977-40434-19062-18917-2630,3527-7711-16488-11324-33942-7701-15070-2489,93101-58043-36453-31685-394560-116737-39752-741810,8023-24812-9731-68236-35022-7413-29090-120150,5113-5535-8525-6228-16201-1526-2671-9732,8895-78951-5834-26245-11255-501-1700-45265,4027-11653-2564-29311-20060-2251-7972-27738,8631-40662-4861-36334-62930-24820-5543-23067,3307-8162-5022-56579-7670-2349-4852-37615,1236-9144-1380-15098-7980-4368-6975-26259,difficult,yes
1209239-933512-100317-360235-41094-22813-48970-363405,65766-91085-26807-40290-7381-4245-14180-22932,1352-11962-6801-4950-4477-882-2096-13811,29208-14620-18633-357-4997-1728-11969-12888,9401-16914-15513-3048-8910-5505-9327-42075,27172-63688-37451-7629-31574-6874-28035-13112,25555-49955-14445-5162-22228-1514-14841-10013,15378-25117-15700-2488-12314-2059-9536-8987,easy,no
191242-109746-1099018-30374-3607696-91860-582954-23476,25642-11535-38235-68495-97855-4256-48826-10450,20846-454-26593-4223-14899-3584-11123-17740,13877-1359-11616-9384-12938-1343-7163-9966,13713-3011-10162-5560-21915-1303-6214-3709,46003-1122-24365-11204-69055-937-5490-5122,12414-980-10606-6301-16229-1334-4019-3996,16162-1729-7270-3990-23228-857-2662-2099,easy,no
74086-171990-139809-2072580-85461-19942-71523-19588,19350-15480-21197-313178-21879-33028-4260-3334,9650-368-30019-20766-16803-1408-9488-982,1567-4410-91762-46076-6272-1081-10124-1378,1160-2046-4224-31517-10508-2029-2942-1076,5447-1325-7042-17128-12057-2620-9095-1333,1531-1520-3736-35832-7059-1020-4651-1259,1220-1265-3983-13620-7934-958-4160-1715,difficult,yes
22616-12650-126514-83654-28878-12544-7430-132974,8004-24898-86878-30937-7155-26538-8285-27998,698-4335-10193-4831-10194-3685-12962-7341,1358-19915-36740-1775-7693-18462-9165-6931,3302-8719-19305-741-4771-12272-3800-3844,1927-13420-10695-1222-1730-10228-11182-3904,1248-11267-6776-648-1957-6296-6591-2255,451-2967-27767-253-465-3823-5946-2205,easy,no
14599-68491-9390-99566-65815-18845-1883-13639,5940-30071-4069-112280-14788-14963-11065-11437,3328-2163-12259-3655-5273-8133-5714-10188,1501-10835-8216-5388-4991-6996-29629-4076,4149-3160-4807-7228-6126-13906-10382-19754,4118-5945-8349-2653-3622-21098-25736-35001,1599-7681-3531-5036-1253-10395-9004-11152,1720-3967-2729-2129-2172-5108-6189-13534,difficult,no
185202-223846-51058-26992-21265-12800-30004-38080,27035-215250-14848-17163-12678-33412-3307-16119,29553-48985-1903-3265-5559-10212-709-14610,7764-51839-4580-3041-2491-7355-2551-11137,25334-40742-9476-37957-6416-12699-3319-9794,24025-30588-7249-31693-18915-10266-4915-9132,13186-9719-6627-8144-44291-15488-1095-20103,4873-8309-6398-11905-7115-6835-2488-4939,difficult,yes
8495-8382-146695-30351-24155-915850-14642-8065,9850-14372-57512-6693-8923-43124-18517-8616,20416-2468-34144-6555-11710-20073-5654-22222,6131-5473-13228-4768-5167-8597-2200-11706,4363-2408-18521-5822-5728-8458-6394-5830,19348-886-27958-3729-18253-22482-14624-19163,7892-859-12109-2515-9773-9551-3434-14453,4519-776-16891-3848-6818-3355-4593-9454,difficult,yes
