delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
170570-2077298-173831-1847975-79319-109257-60748-10576,170902-184769-152076-159129-10838-15347-24851-32285,6093-80942-12639-11273-14791-7053-2288-2399,17375-61607-2105-16777-5502-38907-2688-9937,11442-69556-2954-20739-33304-12324-2370-5359,29610-54435-6700-27362-21641-21122-955-5171,13478-25067-10951-31810-12491-10789-1316-3986,8608-35513-4551-13860-22134-5382-472-1975,easy,yes
108421-1270531-126126-57852-463761-27047-399657-29290,14882-202928-104266-33800-71776-19704-128595-25785,3095-16579-8083-1970-9700-2557-41852-15001,5464-25131-19437-15335-19966-18413-37983-3729,13511-28340-9273-5844-2521-6884-13860-3721,4855-31048-38886-9487-6208-7745-46001-4273,16607-27052-19684-5368-11079-5369-10067-4589,3522-17460-7651-2123-3534-2352-14584-2370,easy,yes
120965-73827-766134-167253-67645-12182-10319-470138,11741-14616-57849-4952-17061-5524-6448-49029,13165-3446-14797-2154-221-7805-17509-13186,2571-9781-17578-1202-2137-5937-34350-2930,8326-4649-27119-1400-774-4403-5197-12682,8085-12958-60785-1916-810-11663-8066-11304,2482-5026-25894-1196-144-8508-1640-1427,1808-1110-6572-411-240-4513-2335-2239,easy,no
9086-125602-177431-49758-2070889-4236-11181-9443,9298-9738-15843-8305-144917-4249-26041-14390,4313-4156-4131-3884-8684-2073-6449-1618,8555-3953-5330-6742-24300-1244-6186-3260,3861-879-6698-7331-37468-4258-15743-16870,4177-1299-6484-4103-69869-5843-18506-11224,1802-1419-2698-2119-26460-4315-12902-9827,2945-1721-1721-3821-15230-3752-3872-5724,difficult,yes
19805-94125-27386-10336-4899-3898-11696-6183,5530-24495-22398-18224-6003-5431-6980-11413,3352-10570-11647-2173-5176-3634-10335-1120,3453-2294-8883-14089-3771-2428-7239-18582,2373-21966-19732-11948-10908-7045-21036-37624,4947-20181-50644-24352-12361-48823-28752-22243,2493-11971-20946-49113-30314-31049-8651-7385,1407-9242-8305-5273-10222-14747-3905-4956,difficult,yes
4859-8685-9991-34617-4174-2913-13132-225722,10031-13286-4435-22358-17486-15649-7375-79909,30533-17766-13654-1965-6035-5280-11792-30246,6137-3937-15943-2844-10745-5482-5963-13706,21986-14734-14406-24051-12686-13830-12060-6347,14345-18185-28554-17181-11546-29143-20207-19480,14229-6070-16219-22473-24349-28526-16791-6004,6591-6682-4220-10768-7588-8262-8000-3403,easy,yes
732057-502475-825555-104721-43037-24881-253748-121083,244958-37576-292849-11545-28827-23509-140034-30471,46021-11905-42302-3112-11098-30614-10583-7517,22668-3656-13127-1756-23035-11071-5154-4890,31175-4896-67555-6425-16121-31024-3104-6173,39805-8682-34800-5693-38060-35249-8254-8241,8834-3782-29465-10074-10136-7897-3404-2249,10864-3091-9940-1688-6752-2570-1793-1392,difficult,no
25216-106222-240697-1196303-10429-679-523-3149,41376-25738-31131-36195-20509-5290-17329-10266,7149-7842-1614-5898-14449-16221-8063-6962,15775-8542-5257-13216-4566-7242-9072-9562,21467-4316-6997-10742-7833-40428-23000-10587,18617-5108-2713-14904-33872-8566-27902-36870,8646-4912-1505-4420-10552-16367-6915-9967,2872-4578-2573-8229-4391-12843-8132-5390,difficult,yes
139983-28690-113860-729400-5251-1816-72405-47183,2831-13540-16812-25260-30389-10636-18148-6552,5922-2126-7660-6603-34458-8482-9907-2131,10368-5161-5598-2370-8881-9934-4876-1695,3469-6834-10748-2571-10171-7119-3044-3106,5448-9527-11871-5218-20932-17986-3177-8504,4706-4129-7460-4840-6610-11245-2530-2717,4855-1444-3347-2186-9524-9689-2640-2934,easy,yes
76775-445913-11440-125993-367578-59915-3432-3497,33726-249306-3481-14829-182123-19768-10326-7759,3127-15787-1361-5564-49593-15012-9252-17866,8831-44391-2019-5424-23206-8908-9276-6708,7479-21989-2507-2523-18150-2795-12135-10479,10750-18684-6713-4722-30011-6910-10979-13611,6928-40180-4158-2151-10000-2924-11502-8631,7610-6265-2925-5168-5290-809-6072-3271,easy,yes
