delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
317322-169585-165466-29159-1154490-168847-1476236-1658504,118691-110346-152909-14797-146141-176448-75518-64822,34587-27757-9753-9153-28998-26102-16544-69125,9127-16798-17397-6691-46680-14390-23052-11928,20194-10758-19218-13141-37614-21944-7130-34249,18449-24938-37262-8252-15679-14964-4567-6641,13678-14493-9601-3405-31151-8816-1012-5845,8126-11304-6072-6096-11924-5897-1640-1869,401575-77466-261167-308063-81404-641707-231689-714350,26913-52963-25856-184096-34368-148435-355911-381697,3068-6155-33546-22256-11230-28490-45350-32052,8742-6216-20926-15769-5742-42518-135390-47439,2948-27765-23613-16641-5545-53930-96122-72722,2848-4631-10405-25649-4007-18550-27753-23633,1575-1355-14693-15431-1688-32241-26149-10028,3704-2223-10353-7895-1714-19795-22193-9838,147177-1019720-1923732-40403-180414-1222300-144694-989951,3182-156913-171285-9524-27401-157591-7201-58780,2169-4587-16339-5121-6500-23211-3929-41563,5100-11376-29823-2182-6014-53925-4175-3086,2204-12958-39418-3206-9900-32024-3774-9943,1467-10228-23701-1653-4602-28113-5996-7657,1016-4539-24354-533-1456-9629-2319-3572,293-2041-16229-512-1620-9290-1705-2096,easy,yes
1612950-1607123-1607123-619202-165379-375881-783130-576653,54578-94617-94617-117800-86974-86689-9404-91561,89809-34969-34969-9840-33469-14312-8931-10648,24469-5558-5558-4428-7930-30448-5076-11096,54796-7736-7736-11300-6567-15534-6737-14350,25795-10195-10195-1882-12540-5139-5841-13137,14809-4128-4128-2593-2074-2347-5760-4044,8872-3117-3117-2075-1086-1927-909-1775,easy,yes
775891-99518-31965-273898-84254-2253772-1767539-2557399,259277-12165-18128-72724-27166-1448097-111489-435577,19090-2269-1550-13060-29996-159036-45477-189692,3548-7607-2349-42350-18762-140391-18448-186852,33938-2875-6172-31923-16675-88423-10232-348419,26962-3694-1961-11344-7529-49158-11874-165414,20062-3136-2971-12099-3435-38935-3624-96532,6870-1121-1095-7911-1600-21871-2371-37884,easy,no
583789-1673770-708975-587059-188428-348938-41701-817414,77291-131015-80254-32789-2300-116766-3429-46830,33644-54153-8597-7473-1880-7321-2481-16570,12352-19829-43786-4175-2619-3228-514-8522,11866-72404-11361-3057-1868-3375-1878-4857,15321-30255-25189-2275-1876-1831-1933-6393,1993-17849-10414-1076-806-1204-1042-4653,924-13375-10169-652-323-808-814-1505,easy,no
415325-1017262-2254718-506957-439422-603111-232788-523199,440606-122614-290052-93077-235317-151701-117373-60619,33943-7884-11368-62356-34896-161288-6591-19557,77672-10061-13899-30153-17446-105246-6879-12148,77119-29608-49631-9251-26327-46371-3847-7709,27963-15320-27998-25466-10326-25007-8016-2499,4215-15376-30171-47354-5566-5232-2167-2358,3689-9883-14265-18354-3096-10091-1335-656,easy,yes
476086-1130245-513334-847064-180541-487920-847948-598428,332955-194289-376860-68901-45609-103654-130262-86750,158624-79295-48150-26092-13536-7752-27929-15991,84548-42004-104006-89324-8347-21944-62712-15185,90306-140308-130573-34047-5591-10377-24822-33339,35246-101194-31518-13426-2784-20317-11946-10272,32519-19394-11786-8784-3125-5124-8424-7874,10024-6502-22570-4918-1516-6792-2751-4983,easy,yes
39976-468255-133548-205516-758800-106464-1814334-263746,32062-42083-28527-45972-15121-66813-195157-246491,3772-7726-14482-16266-4374-34637-29725-4071,2988-10107-2539-14546-5654-9500-25574-56096,1475-7565-11787-9954-8962-4837-34050-50660,2020-10960-8070-8184-2825-5103-34796-23924,834-3425-4604-3017-3658-3288-27257-7765,393-3404-1148-1194-1256-2292-5714-6398,easy,no
