delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
186622-129308-212900-148501-63705-94713-80422-136190,86005-12966-27331-54773-24933-31296-10558-31763,7814-5677-1148-22390-38165-4533-1885-6984,5850-1333-16948-34930-19510-3472-2049-3784,13393-2417-13786-17103-21979-3974-638-2069,10191-1121-5446-17172-23833-1395-2269-4526,4957-690-13332-6135-5640-708-1282-7439,3578-256-4941-7333-3250-1149-680-2704,1253736-199763-969865-1338352-447483-390291-96683-265158,124337-39646-168396-22147-191464-122835-33857-98403,50698-2867-23470-16146-10551-15555-1878-35757,90294-4353-1591-5408-55210-3081-33528-4584,35274-6048-4284-8922-17586-6311-30389-16635,12396-2018-14725-2443-12995-4673-12645-4807,18984-1167-10732-1287-22611-3548-15718-1237,7470-1140-5623-2101-6274-2511-10976-1282,easy,yes
1024915-974339-286325-1067709-70530-1654850-277508-7974,201495-141073-54979-86433-35427-314803-63283-7299,54093-10661-53343-28234-8548-19817-8609-12016,57372-25384-11721-44724-13953-37358-9373-6107,15727-32952-15849-61789-36076-39943-10140-8818,18588-24075-21576-15461-16179-22290-4597-14016,34367-15189-16334-13720-7779-12477-3425-10901,9205-9289-5569-9518-3333-4772-3278-9120,difficult,yes
2681225-1014839-662778-155080-1005993-730411-996160-437492,377734-289267-208172-12120-96706-109171-69831-141908,97383-82346-11440-3214-3914-53216-12571-5935,46520-69308-8923-3603-7117-13327-6718-19437,63931-28746-35438-1404-4595-28764-7405-39694,66812-29323-19135-1662-3864-14689-5268-23316,17578-6725-18880-2560-5286-10408-1160-24921,21792-5473-19574-1694-5072-18502-6617-8522,easy,yes
164285-301098-33708-39790-93673-728519-568871-1161294,10240-8380-5423-46919-29601-97039-57352-65557,413-6742-1585-8767-19574-63622-30183-14818,658-2534-3643-8139-15081-12320-4307-21935,3250-943-2791-4407-13991-47396-4303-28550,2960-1845-2909-12906-18472-25847-11341-24702,1121-1446-1907-2549-3840-11565-3488-11761,504-919-624-1625-9053-6983-3028-7020,easy,yes
1275094-110960-411676-352251-380462-230145-119912-127103,142011-270683-24470-87730-49578-71860-8659-6849,35009-34617-9398-14175-4975-8257-1375-5700,13635-29768-5921-11654-20057-5886-908-1097,12570-17191-4452-5142-12733-2265-1474-1027,21314-31049-4780-5986-5603-2894-1373-1920,12238-24593-964-2915-3578-2320-838-478,24485-12956-544-1101-3483-1664-590-704,easy,yes
1723022-331246-213523-37949-722498-328759-1333951-2022929,82540-241899-81135-64496-29467-124307-184115-76101,39056-32957-4054-15043-13456-66117-22849-78308,98862-23392-5776-14482-5197-2764-15959-16015,93991-30318-12891-20241-15232-13497-41116-22484,40185-22747-5621-21641-4695-7493-12693-15787,22320-27659-1066-5173-1802-4476-18222-5080,13682-11152-1310-4356-2214-3632-10398-4341,easy,yes
53624-532498-419315-1315018-234182-2312437-44088-351178,7144-100063-63609-324924-42140-699467-16290-391324,9686-27514-21840-102245-31615-79827-29093-152090,11229-85412-9064-48968-19424-9572-10849-46812,2988-30660-7556-59166-18726-80217-7479-34300,4607-26580-6473-20478-11955-13650-8481-34147,2242-10752-2406-20628-6572-10203-5354-6380,2375-7577-4526-6441-4891-5481-6113-4362,easy,yes
205347-1334183-73905-77978-692937-1190820-231994-103581,19694-353361-30874-13971-7220-575000-71435-199895,9340-33705-20140-2447-7596-50317-5955-46760,2063-11741-16888-2567-3438-56324-37095-16263,3978-28605-13731-1802-6190-70835-25379-17417,1892-26815-15601-729-2581-50511-15113-9411,1235-20749-10519-416-957-18291-14535-9684,704-7057-7398-309-1174-26697-6674-13429,difficult,no
477969-158670-1119677-45084-363030-29131-198058-102024,25020-18662-53479-20824-48868-5610-107923-11487,6897-24269-15436-14876-9738-1222-42283-19867,4094-12803-12354-8872-4046-894-10244-4287,3061-7461-11449-11617-5764-2793-49170-9347,2689-6682-6590-15306-1466-672-7992-16513,1398-2376-7784-16823-2458-794-8200-8666,493-1455-7557-5425-1341-531-6760-3329,easy,yes
504605-146552-240230-668046-228967-76590-1247939-91776,1406283-41016-74498-141181-37540-28657-1189845-35867,41794-15956-22014-33177-14054-2878-115786-10433,27647-90834-9356-15199-6094-1483-39151-46427,91109-20956-8359-25467-3776-1101-71379-91465,24164-17504-3677-14249-2462-1461-24886-13134,13586-12173-4540-6553-1275-622-20937-2974,12378-6948-4998-9656-646-436-8220-8371,difficult,yes
