delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
133279-1185041-2335715-1778974-77237-5274-118583-548574,64206-26168-145140-513596-30048-1584-40285-75413,17850-7239-75251-77567-6729-7453-47352-8684,1635-17909-47891-116876-3188-2625-20528-10969,2227-4267-26007-42207-6970-4379-19463-2345,6110-10238-11978-140911-7940-4423-31323-9200,4113-17498-29691-78309-2286-4183-24109-4101,5576-3263-31721-26242-2678-2567-18365-2319,easy,no
557578-68857-91833-142649-11330-130777-831711-389677,249512-24667-15125-49370-7068-30165-162943-16677,5767-3454-8673-2357-2985-6621-12303-4363,35292-4930-8844-2646-1496-16453-31188-3148,23308-8236-10881-3312-16199-5445-18343-714,33934-10715-20790-9522-2172-3094-10091-7098,71379-3053-11457-3902-2105-2313-11269-682,33068-2829-7215-3651-1203-1148-11144-1140,easy,no
28293-62441-445818-1565469-6403-89017-6239-34907,14935-84340-103193-31661-9658-41778-11869-29745,2329-20829-14736-5213-1624-6147-31449-20564,593-10672-11401-4287-1548-5649-4021-7905,4244-14254-5516-3095-2733-12153-18260-24485,4206-20879-4807-2327-4624-15955-21755-20819,4463-26029-5976-2202-1504-5968-14086-6133,2746-9336-1150-1672-3598-4380-6024-5454,easy,yes
5486-1368012-92094-1058247-342646-160337-54394-979650,72701-170095-43448-48015-160333-64575-30709-31437,8673-73578-682-11700-10924-16283-3228-10364,10432-14465-5580-7273-21107-15674-1722-65444,18375-14158-6132-10614-15270-12053-2544-52772,24871-26594-5746-5461-25823-27180-7210-21542,33631-29880-6583-5568-10277-10130-1663-7862,7277-12769-2805-1969-8969-12368-1691-10720,easy,no
80399-309707-607947-725969-284315-186920-1279315-73526,76659-284477-112034-23642-193195-32335-12712-5487,8914-39109-93635-5039-6294-1936-5022-2680,29499-20835-8668-3109-15110-5418-19635-1643,10712-22091-7903-4185-21506-3592-15431-1158,19058-29588-11109-4107-8405-7084-28553-1623,16905-14375-25959-4454-9484-4048-8222-479,12895-11037-6719-1591-2131-2718-13456-447,difficult,yes
56287-678758-1797854-70238-140160-162231-43843-9354,27274-99478-29491-10491-75984-167320-1911-1620,13933-21482-20738-276-48609-62254-1744-2668,5355-32276-15468-1701-8396-2511-2732-2722,10295-12790-21623-1311-10665-13670-1667-2088,14699-11998-20774-1027-28699-41624-4803-6161,7347-4088-8600-819-8077-18471-2327-1237,5035-13836-5966-520-6070-12835-1701-1347,easy,yes
646576-749003-423030-643940-34447-229509-76412-14938,51604-244876-9411-120059-5615-11826-14595-2582,8307-15713-6996-2389-4019-12049-3162-3700,24527-102821-1272-2045-2814-3630-2681-1038,8846-44180-3572-2713-3789-5898-5994-4532,14329-29933-1420-7885-4526-6609-4459-4838,15285-19805-1670-9014-3154-4022-6238-7459,14296-45713-896-1484-2466-1763-3765-3371,easy,yes
2086103-1411827-446431-694458-51817-140516-131488-207724,196847-442981-150163-89492-29155-33683-60104-27053,41364-58763-57236-583-6442-9536-10284-8414,18484-39295-23437-9699-4133-2178-10694-1980,7912-23328-28465-6669-6652-6004-7035-3351,49180-98928-54307-39339-8224-19459-17472-960,105538-32897-38910-35045-11984-4582-10436-1429,66409-35956-41804-42061-4818-13097-4071-575,difficult,no
10597-415135-473956-370078-649140-560170-12866-49225,2502-182836-41004-37783-647639-10270-27136-12920,9006-83676-14776-9060-66375-5761-3724-7606,8708-49399-12435-3975-15937-3607-7868-2305,17397-29716-9080-3203-40514-2988-14025-3312,17373-41457-14691-13048-42649-13251-20270-3631,32082-44287-8489-6114-39802-6813-9026-5870,22199-18188-11193-6706-27242-3409-10592-2128,easy,yes
46401-2391855-342567-183770-168612-11529-18544-177339,49658-316405-18092-54207-67291-26661-30347-99351,14522-311875-6081-17056-5056-23807-3172-13411,5775-135421-1757-31007-2733-8442-16046-13380,3464-15323-2226-17808-6288-8285-20288-7706,28279-84437-4233-76532-11359-54290-18276-15074,16332-67507-3056-36472-3318-20240-8336-14406,17753-54009-1146-15268-2978-12902-8619-5251,easy,no
