delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
150726-26064-30014-53573-2163258-110418-21774-359122,62530-16734-17221-13043-469342-46106-26944-134927,10171-10510-6042-11056-167791-20738-7586-8280,5506-19702-2967-17635-90942-41431-11252-9731,4690-14417-10628-4441-23544-7856-15480-34270,13738-34024-5211-7357-23281-38023-15589-44582,5017-20954-10649-10368-87994-27408-42532-31008,9739-27105-3928-12389-18325-25160-13819-28762,easy,no
17392-78227-13435-81559-454678-122422-636171-1496,7669-52033-23312-4531-86543-65025-23093-11527,3178-16557-2694-7346-4721-2880-7281-8020,961-9698-3768-781-16844-1447-16280-6804,1748-8846-1563-6411-7670-9386-11434-6262,634-9578-13602-3059-24538-9406-31473-13531,765-4221-9637-8563-21250-4031-24883-34480,938-4308-6709-1896-8366-2068-7176-5902,easy,yes
43334-62393-259179-114321-351351-119661-155585-384319,44458-59112-57131-38211-120972-57790-15803-75337,4092-18507-25737-6027-15148-17509-6660-15275,4712-11882-3806-7447-9823-3734-5308-2567,1630-9511-6727-5084-4297-1755-10127-2365,4915-14048-11579-4408-11608-5193-6299-1835,2483-8170-8541-2350-5136-1615-12003-2258,1031-5589-4040-2245-4670-3613-2712-1728,easy,yes
680479-154947-110602-84558-4004-25974-23774-816475,9519-19097-28814-4605-7566-40573-13619-43582,6018-9542-8107-532-7376-6680-1454-10401,4082-2718-7555-1078-7834-13184-2505-34093,3633-3972-5197-603-6977-10092-2842-17638,6179-3919-7176-996-22397-17639-5204-12016,11119-4213-21391-756-12150-7574-5994-7639,1830-3967-4778-358-5700-4310-3557-8407,easy,yes
652344-525074-705012-151070-102563-53212-9104-223257,180633-25514-71946-53015-22665-52100-10188-29773,29039-17390-65463-8663-10745-23194-6984-7847,16251-11907-13250-8232-7288-3281-4420-3115,6044-5153-9721-5919-12265-14520-7009-3440,21667-5612-19810-3790-27470-35168-17970-4005,16494-6776-41369-4281-11803-8606-11442-3596,9507-2033-18081-3605-12950-10921-9036-1974,easy,yes
14841-207320-74705-524825-8413-7371-138960-140210,15512-13799-20732-123970-3941-10345-54070-28524,481-12828-10668-15146-1451-3890-2357-3162,2833-6669-14978-4987-3603-3397-1853-22546,5637-9056-18837-15856-2905-7020-3388-7344,7129-4191-6885-13315-3514-8481-4710-13314,2476-1738-12458-4541-833-7475-2180-9550,3924-2178-8504-3028-1020-4346-737-7982,easy,no
122257-455035-885504-825942-34276-1935176-20132-148037,22818-82959-99451-54388-39862-38716-10017-22913,5600-1015-5282-57255-1532-24799-8182-5580,7399-4357-2242-79121-1520-14657-18231-8008,2223-6586-2774-8605-1002-23315-17493-5841,4441-16653-10849-16114-2635-69721-35396-11242,5133-9923-24142-14044-5997-35152-32322-7004,1252-5270-5435-8218-681-16023-19919-5746,easy,yes
2649789-1106391-148127-135595-1699566-14112-2108106-2917102,72971-21811-20698-47905-34772-36080-122338-863296,84871-3041-16172-2988-7098-10454-30001-179489,109691-1725-6646-7015-13977-10392-10095-159041,33345-1974-3620-3562-47687-14850-27698-34665,12076-605-3085-3486-13915-7234-20586-42892,7752-297-1370-1565-13368-8144-19883-69136,7156-397-1203-2333-13088-8006-6640-16528,easy,yes
44138-62923-238467-44058-713758-13388-73040-37143,13270-19645-37339-14806-165197-22897-50245-71218,13443-4497-25594-1299-49417-3262-5080-17143,7899-4477-24671-3013-21915-4839-5107-5359,23686-813-10850-3385-20002-5210-2423-3807,12419-1165-56386-7133-35551-6344-4054-10877,6441-2819-8307-4083-30865-3478-6180-3540,8606-1058-17104-4809-14633-3163-2561-2421,difficult,yes
506042-434410-438664-142224-573402-28884-1175441-1577168,143022-20699-97072-20174-82291-5583-117601-117650,16172-5343-4971-11996-4808-3423-18101-11307,18565-4128-12769-10120-4905-1278-14512-64202,8243-6231-8937-6434-4981-1684-14978-22045,33123-9616-15136-4962-5916-1134-50935-62253,11831-4413-4898-4087-3037-1218-14803-37619,14380-2852-2540-7479-2202-698-12003-15809,easy,yes
572128-282286-180573-195310-112970-532500-32508-197822,69428-67121-102640-52677-40289-19869-2512-182118,14533-16866-73956-6253-54922-1830-9836-20453,11030-2195-45259-3555-9769-1348-1575-30082,10655-3986-18964-6096-7387-8532-4608-35277,15780-9567-41199-4981-5296-6991-7974-44501,7269-5892-22138-9949-5013-2372-3534-13773,7931-6604-11318-4158-1702-1470-4536-20821,easy,no
101818-114273-93746-115897-1365557-213149-701594-1177242,16030-38445-6811-17207-205950-14141-68220-77312,5270-14252-7006-623-25162-6884-36213-2925,1592-2591-1058-977-13219-2266-14682-45304,1895-10373-1486-1636-13756-4845-11541-22299,10775-6711-1760-3158-10312-3714-14758-22031,2819-6548-1061-1065-7464-3968-11202-19299,7977-4888-665-418-3741-2244-5120-17076,difficult,no
78831-187876-201567-389237-49174-1933630-25416-393783,22057-19305-38965-124751-64917-100479-17060-144629,20402-3050-14291-3973-24232-80655-6356-20058,9665-4292-13962-5635-2697-50646-8934-9877,6424-5816-6410-10212-5555-4024-9776-26504,6918-8673-15689-14836-8158-35520-4675-27405,5286-4089-3547-6787-4319-11820-4904-8538,3038-4160-2304-6365-6732-19052-3022-15837,easy,yes
