delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
149233-6219-1280315-915737-172659-211726-282063-400947,30348-41899-167211-62645-20115-87265-117255-72001,3761-13601-61427-68815-10583-17987-3486-16237,1413-1019-85178-75130-3377-9455-4961-2611,1091-5175-16941-19046-7315-7840-2112-12368,7615-87760-18363-30786-17383-11332-22220-49768,6385-67583-22344-29773-12864-129617-9082-15500,1722-14145-18272-17700-5356-14616-10634-30912,1150005-354870-420299-7927-1401359-25118-4216-5054,118206-50242-318884-27715-131390-4359-4885-10879,16797-8588-57723-15614-67277-6593-3797-21597,31558-6026-34725-10314-88417-60129-8973-9711,12958-32525-19016-14915-23664-14192-7511-7992,21386-67456-60639-33200-41543-46171-46056-66648,6276-41238-26499-21633-35232-33891-14808-7411,11613-17619-14699-28539-9469-23905-19587-30316,1619752-138899-269555-1097000-774252-14765-123805-299317,221920-18092-76732-433997-39440-34061-90774-72157,30093-2496-24836-138576-41748-1177-22368-44358,8268-3065-36462-227943-9465-3591-37204-13344,21611-7198-72112-35619-6162-14354-31116-7067,45395-15814-36064-24771-5760-50747-12254-22994,9368-1983-76461-76061-7662-20292-24193-17047,27319-4206-15394-3759-5294-10753-11256-12814,difficult,no
1417854-17935-43371-80522-102268-31722-734338-112555,155850-21727-76472-121219-41779-9328-46449-60636,25609-9586-2729-1902-32066-9655-5088-9637,8001-4247-37244-50714-17606-3927-22199-37562,10994-665-26459-18157-50279-3190-24258-2487,85737-3260-52706-33087-33328-21349-27167-19889,6970-3339-25961-12739-7656-5830-10334-10415,14032-961-37281-13493-15029-12655-11427-13419,difficult,no
34081-385120-324983-88459-108425-5736-14038-16759,43817-71096-28856-49049-37819-15786-18092-54980,11587-13537-12526-3240-8695-15089-1558-4630,14069-3322-40874-3714-5730-9429-3354-8808,8389-6345-25915-4947-2482-3441-2305-7342,12630-9112-115837-15516-26305-41743-32432-28990,8566-5310-21148-2411-8327-9431-8940-15696,23991-5554-15101-1605-3008-26734-18864-27877,easy,no
508010-720470-38780-390643-1000585-611227-92666-103904,108851-80839-15744-123948-78194-47333-100237-16147,15085-3409-9646-8343-14905-9076-9661-23783,11044-9211-3967-15295-19074-11364-19897-12662,20894-13085-3964-14950-24690-9507-17093-3559,39925-57956-30207-32081-52630-17918-43497-26656,22818-35514-26408-39073-25908-3945-19541-9409,12641-10933-23448-8995-30743-3849-15501-39840,easy,yes
137021-176864-264411-451308-5514-1661292-2991934-33041,16340-36095-31659-68287-13570-77242-417208-34245,4311-10185-12584-6512-20397-15061-31061-12218,3927-26753-5755-26894-8241-18648-9831-11702,1935-57564-2536-22286-28970-22121-26801-22752,15515-26243-1698-19868-19905-20502-45838-20407,4565-19706-3232-17318-16120-28926-15900-30654,3551-14522-1020-14214-21913-29206-9774-33248,difficult,yes
1862707-1141603-41328-556521-3737-298137-68433-13029,115717-138656-10661-357932-7385-41930-65652-10551,25527-100520-25000-44322-1509-23180-16907-2136,52104-15518-8309-40363-10122-11891-32854-2825,37331-25487-13920-39670-3120-11145-22756-9850,42643-28373-38049-23173-83015-109814-51347-23490,23890-53356-76214-88974-62526-20292-19665-60109,11331-23167-18512-27827-9801-8580-18641-13401,easy,no
79234-906197-181017-509129-263529-96358-555620-434561,17617-115618-19318-14469-18200-96429-254567-19367,8291-55592-7977-2774-5033-18224-4204-1958,6003-33765-7783-2320-5417-10457-1700-1123,7695-15017-12816-1319-1010-31028-18827-4708,31607-8187-5238-3378-3503-39964-16936-3847,13302-16529-9216-3565-1453-13505-12527-10719,16471-15819-6930-1454-2127-11599-13459-3133,difficult,no
134234-914474-492280-31846-50107-87327-18214-6500,158718-61852-48780-19641-24813-86814-31068-12604,21673-17827-3412-11908-4730-18080-28780-8665,10451-3812-9353-19860-14064-19452-1209-6197,22187-6491-3276-7516-9842-8136-22407-5023,35428-9564-12799-44189-51258-44415-48245-68313,25690-13774-20150-9135-16424-17498-20638-12338,17454-7905-5085-18685-23585-18421-10816-17517,difficult,no
5344-352207-147761-646191-321225-492888-21539-43994,15978-57211-75227-230033-124503-239044-37026-44858,3689-4498-13574-36954-6367-82149-13547-6654,5317-4001-26167-31436-10384-40197-33111-37238,8682-4795-19973-61348-8209-17837-15531-9146,34296-12745-43272-40563-5842-28950-15623-13044,8597-3588-17586-40389-6809-18034-14368-10254,23626-3132-10011-19587-5696-13646-8347-4788,difficult,no
388276-319180-2642-597635-1249186-637997-141062-46709,36293-310436-8753-191233-46863-29231-66560-11122,2054-43523-4879-41048-14111-15380-7717-3403,16288-10060-14456-12372-1232-13707-4132-9333,2669-18787-4426-37580-3163-13500-4075-5632,6415-51202-30508-48355-9368-20011-7139-25066,5640-61209-48693-63514-4771-10324-3014-17265,6539-12067-9019-14732-5784-7399-6625-63935,easy,yes
