delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
451444-305285-856483-166025-250253-37351-153980-1085173,100076-27188-81291-123994-113956-236807-51918-170008,20478-5443-64813-18283-25053-238567-6781-27726,27105-1942-11374-11023-8813-165158-9134-19634,13640-4754-21568-4683-3273-18611-2564-24785,7946-1460-35143-2954-3403-29059-2851-8805,7933-978-25032-3024-2923-7251-738-6152,6117-509-4689-629-6076-19574-517-14398,difficult,yes
453972-104432-25686-942943-228049-37738-194541-214846,231496-26505-21239-236228-83136-102894-61709-85459,37213-6589-4108-22004-59979-17752-13895-3490,15321-2130-12703-75932-66017-17559-12169-12870,5932-2562-18070-50227-7195-23584-3732-11260,6825-2799-10926-34208-28852-15263-6934-1311,2447-2616-6382-12996-11905-13103-2905-3478,746-1021-4145-26635-12036-17839-1759-1957,easy,yes
2266445-32371-87899-121118-434944-135862-607609-972762,70335-13511-10556-29491-220160-82247-137963-54952,24332-881-2075-24944-50692-12419-24766-9296,29003-1900-1413-6973-24683-9444-16561-26753,17340-11429-2937-14041-30971-20136-7057-21967,8177-6803-1672-10181-14432-7479-3307-10872,9236-1997-574-2560-7767-3901-1204-5490,3734-1073-996-3585-6038-2019-754-7973,easy,yes
166550-1897302-1130778-2055578-99420-1744682-1255706-1078415,372336-44693-129163-205450-90945-439089-151888-104385,86491-40494-18866-72235-17055-59630-48725-44491,88223-22405-8439-36481-9898-138312-11149-64435,16779-8778-12925-74465-13965-210619-110988-90695,164003-6639-36895-62199-11897-164049-24276-48256,81220-5655-9225-25895-8276-53692-7050-37294,5521-3419-9192-24689-5463-22860-6749-3743,easy,yes
408933-269965-101140-422170-21019-87604-31046-375469,44433-93474-30516-34541-39773-101900-32452-76151,26704-34913-4510-5811-27100-69353-37562-19015,1680-2992-9624-17295-89492-21000-5577-5974,12066-5743-5723-14094-4712-34794-5012-5782,3709-2581-2409-2212-6629-22012-13460-4760,2572-2981-547-1234-2041-22341-8553-3106,401-1441-173-716-2927-14783-2075-2555,difficult,no
422241-1752718-2310726-218003-250169-1501086-375602-152309,701626-35924-74412-48662-119005-232775-178632-120455,50031-19305-76047-29855-178918-36173-67071-12130,82286-6481-5023-4144-67222-58445-35049-7548,21058-4617-9635-8698-151767-34581-31903-7499,15501-3850-22267-3340-23808-15266-12476-13352,1686-2581-16674-6689-3759-7941-3503-1962,2756-4511-14802-1850-5721-2626-9053-815,difficult,no
148432-95097-1410767-105089-780478-99683-304717-46394,25042-128539-281788-126495-38615-139310-24144-93664,6823-16285-126740-65433-86688-59555-6689-25592,10593-5504-33347-60825-46390-52868-9257-43219,1892-16275-60681-65578-9669-36945-11097-34074,4311-6408-7471-13142-12528-11405-4469-8409,685-699-7318-9549-6059-3007-1097-4393,937-904-6773-6385-5753-3064-582-4754,difficult,no
688231-1105888-1992580-476189-836253-222809-98210-1650062,241937-107900-78810-92960-204167-63678-40614-851901,95289-8693-28974-111669-159169-20989-27631-186360,25390-6437-46332-20625-54053-334881-11012-108142,85100-21157-48205-28866-21395-21641-25896-29357,34081-10446-15455-16847-61972-26264-5883-28568,16055-3679-5612-8904-11944-12907-2367-17106,9085-1483-4163-5824-3691-3091-1062-11653,easy,yes
1094135-2212685-808472-262671-662373-854850-41802-1950557,311920-170549-379492-167999-75680-65396-39579-250787,97001-71584-47664-16132-126197-2890-4936-165531,42415-24837-16856-12214-35737-23859-7059-61645,13863-22935-20172-6707-11555-9739-3399-24389,27998-26105-9273-1677-9320-6047-7977-26335,20086-8805-3068-508-4374-1790-578-5147,9285-24145-5028-1579-5184-507-378-8528,easy,yes
252859-357227-153378-574885-1126473-426034-541329-380579,96971-38653-177589-17692-48864-162505-104908-39483,5448-121897-29551-6014-30771-58836-15115-16180,23190-95942-20367-21451-40478-6977-27968-14606,4292-28199-7514-36821-2478-30801-22241-9789,6330-9115-10826-10507-3923-18307-10532-6226,4453-3557-2985-3207-4964-5886-3662-2407,5405-7747-1055-2695-2624-10250-1859-4611,easy,yes
178755-2703861-369585-212941-66124-446758-80602-1021204,90996-554895-171098-15908-91494-116893-14289-97720,17809-22058-15318-1085-83762-33401-13723-10956,20301-18167-33846-471-178157-43462-1278-14838,28243-45024-18368-3197-10139-28760-3143-27374,13430-19095-19396-1539-22794-8115-4763-17776,24394-14804-37265-119-3700-7159-5059-4281,11250-10767-2948-411-3112-4092-2477-11537,easy,yes
1522434-446050-513167-310105-430586-258941-919358-289487,195713-41127-119801-43787-104631-239531-257283-106135,21558-11511-35200-26946-193557-38605-5862-31325,38143-92941-43801-107021-40772-28883-13156-14079,21912-18837-13262-23772-45943-10954-14366-47302,44711-16641-14078-13364-9647-18171-12027-18180,5098-4096-4739-10257-3863-6939-6619-7956,5877-10153-4149-3122-2720-4262-6952-6823,easy,yes
630875-120240-1761317-950933-39752-14074-326380-1036791,35626-29121-275974-317800-26056-94895-20898-136430,17238-10698-27371-47363-8763-15741-12223-5888,2996-6944-34791-11200-5204-33767-4698-16408,2562-3667-25093-26492-10335-19652-2566-7173,1570-2248-20373-28177-10566-15516-1825-8442,763-707-26224-11679-6399-5050-527-2280,473-605-5899-7267-3107-2854-421-2215,easy,yes
