delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1382709-1903852-2752387-2397061-746058-1597883-1646759-178031,101229-154062-188145-407619-34718-266214-789490-19719,7861-27785-29601-32467-5105-14636-149499-4266,6294-26556-61956-96850-48951-23819-136658-9469,1391-4740-14966-9359-5112-53597-63987-3836,4398-8138-25124-59924-43621-41559-38799-4314,1245-4890-11270-13268-14618-54132-48750-1870,2751-2298-10173-8008-11097-49223-48251-3074,easy,yes
489510-144386-109725-479999-201277-9375-241153-84847,94693-23297-12900-82927-86931-19664-37994-22788,78384-4440-3392-31287-27834-1304-2856-6219,33583-3512-10311-5152-9301-2444-6788-2161,24859-2033-12175-8806-2270-1768-3026-815,17088-3755-11081-10004-6421-3364-4938-918,9152-2377-5785-6436-3332-2341-1846-1489,10048-2140-4829-3437-2167-3427-5887-819,easy,yes
566198-1141810-428068-886593-98509-1004840-104941-470246,67097-186193-61733-16504-16409-231543-19244-64691,40177-8701-16648-6221-4913-22261-11042-13926,19166-7846-54612-2858-950-5888-2641-8497,19452-3422-15591-10167-1768-7996-3879-9780,16083-17917-4631-5748-1060-9812-1829-1909,1648-2529-3306-1654-383-3554-1098-1453,1493-1523-1082-433-425-4581-1178-2077,easy,yes
74019-195581-341772-236701-1013540-132093-87847-1193432,115415-16201-112352-47057-419678-88940-55916-552964,19221-8829-29975-10527-45448-15673-2078-97437,11845-2213-12041-14327-66032-3809-5371-38261,5899-5464-3425-2950-14549-1342-2743-32830,4731-3613-17084-4498-18425-2254-2251-19594,2583-3141-6056-1044-3978-1319-1369-5338,1158-3217-4946-789-4050-637-1070-7195,difficult,yes
2772479-1543679-203965-76689-153772-130606-23561-117200,197658-319158-6362-5663-8297-10584-69070-68955,201152-115125-955-176-11486-6993-8984-12543,87904-33389-776-803-6505-1083-1582-1613,75569-9709-422-294-7178-1304-4237-3514,30912-16123-1003-820-4926-1248-4124-11504,21205-4365-381-400-14842-423-4102-22735,4690-2047-248-439-8090-455-972-13882,difficult,yes
143235-71667-45714-60280-11186-57824-82302-91090,19234-17740-26216-34248-3378-3818-82297-5509,16292-2364-1184-3845-3113-2685-7254-2059,10022-587-4899-2837-2601-4312-3512-1932,6622-1149-1410-1707-529-9450-8515-635,5731-468-2625-909-909-7094-4373-1132,1096-233-1773-421-374-3078-1757-150,809-137-2565-131-901-1626-1007-132,easy,yes
64950-665525-69277-802305-210961-49138-147028-812605,9347-92976-10917-311542-19725-33942-98869-117653,8117-3313-1836-26899-5244-7448-3844-38339,3142-9799-621-108742-5598-1171-4121-21494,1172-3912-2004-8205-6607-3932-3598-10936,2902-5749-1688-5292-2665-6645-5049-12833,2096-794-279-1665-1491-1828-3552-6885,1348-1794-209-1266-756-696-1362-2681,difficult,no
1056449-910694-404593-146880-1171264-97518-404950-1203912,79056-243260-214449-155274-36298-64808-49819-293575,36193-7729-40336-44958-10497-10015-14947-39043,29357-10991-18756-12350-3321-4727-12332-88592,18423-67127-25441-6823-2465-3925-13390-31538,10540-29963-8003-3475-2224-12563-15357-54197,6564-6713-3145-3091-2171-6487-2363-22799,1440-3180-1856-2420-698-10966-3663-20838,difficult,no
55375-103953-195934-39643-758061-25375-3595-99156,9439-33832-37497-53153-46331-7697-3569-18844,4490-6642-12906-2977-34885-3947-6843-28306,7342-4346-10232-7932-9484-2744-4004-13972,6942-7873-3174-2814-3130-1697-2050-17745,11753-3735-4391-1618-3414-6668-3465-4441,8159-1583-3895-3560-2002-2093-3662-2382,3166-2760-3731-1530-888-2278-5210-2563,easy,yes
617042-248985-756716-99932-132556-125639-3011-6029,51888-32230-831353-240847-27616-40106-1913-8891,9746-16759-29963-108170-2063-25279-606-11229,7206-3186-40246-37070-8655-4043-5349-1423,4267-1611-33058-25345-2041-2080-4652-3174,3135-2424-58890-23067-4142-4255-16003-16982,1906-791-28084-2528-2426-2734-11299-15121,941-678-10499-7164-1502-4348-8438-10987,easy,yes
