delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2817-11230-15761-7363-11870-6209-15589-1561,8202-15209-20852-3128-5201-16828-4616-4481,1373-23178-8350-9767-18961-17071-43148-12591,55726-47366-7477-23901-70832-148413-30267-3551,21870-8304-5795-1388-3386-6904-7195-4818,11378-4306-8736-6435-5336-10525-7692-13832,1352-2151-2249-1438-2433-2720-2734-2942,2197-2229-1237-1146-2410-3075-2030-2525,1820404-143696-123273-52625-16949-9091-428076-280839,862572-67539-25703-14160-19704-11585-36752-21333,12146-18396-2622-11935-2866-2016-1947-6609,45978-7215-941-16890-74636-46152-48152-5307,14155-8705-566-2714-5435-3408-11151-2795,19094-20149-4001-6325-6661-8430-7212-2429,23567-10293-2816-6479-6013-2651-4491-926,18841-14349-2078-5139-3808-5583-4077-1099,difficult,yes
85705-159330-68537-17496-24725-48740-98517-152061,85124-9752-8502-23075-10348-16501-33959-25482,40272-1379-1201-12010-11371-8892-7897-1029,34994-4003-14267-145353-117342-55126-1132-3745,19264-1464-8976-35081-23967-5760-5732-7104,19684-1311-7288-35588-17986-17778-2040-3120,10296-1013-3698-12834-9249-2057-1489-2749,18014-311-2223-5671-2237-5271-1172-2187,difficult,no
59476-99376-5895-18851-5817-55581-71939-87801,36206-22783-3477-7795-10010-35636-53947-21443,5145-4552-7189-19280-12361-13546-603-8586,723-21054-51220-90565-34151-28859-1010-6003,919-9447-6737-5012-13439-6774-1113-979,3043-2738-6467-5694-5442-7111-1698-2356,1082-4461-3785-2850-2119-3594-620-738,1076-2290-1110-3845-1352-2042-1046-424,difficult,no
57130-135954-3808-1228-10809-3656-111943-36890,5485-11760-6758-3816-6841-10626-22880-23046,433-2265-10995-2063-6798-975-19781-42440,549-5252-18823-34224-44344-1859-26826-102570,165-1010-5413-13437-3321-9002-6325-10678,589-1961-3135-11648-4575-9998-10411-9533,480-732-1485-6930-2895-3922-7502-8173,284-639-3271-2152-2076-6749-4406-5402,easy,yes
4177-177496-9672-8772-9161-1161-19827-45722,20504-29384-5932-18625-5003-3982-27167-18530,3312-9804-9660-21050-19303-806-8630-6730,6165-2253-37240-73653-77378-16755-22503-107377,3303-3393-8850-14993-8234-3702-9664-3500,4671-1358-6369-4023-8701-6730-2992-6398,5323-1655-1803-3633-2659-3286-4127-2459,2870-964-2850-3604-4593-1919-4240-4595,difficult,no
680364-28170-9499-2394-3919-6037-788253-1361149,66964-14269-22808-5361-8236-7410-179525-296646,32220-6434-21467-21619-14965-14360-4503-48797,38600-21016-52843-70072-74083-50981-8463-11844,27659-8551-35832-7155-3490-4578-6267-13383,46651-12437-24385-6003-10528-10959-4023-12303,28699-7245-22178-5558-4430-1985-1923-16468,10253-1792-8301-4472-2299-4569-2184-1906,difficult,yes
3834-11891-6601-3586-4025-321807-42874-14297,18248-4954-23030-18541-13649-8960-48203-3258,3842-14456-5676-6655-3501-2037-3651-658,56390-67804-38309-24229-48828-8186-8213-876,3452-4734-9463-6115-6000-874-1004-706,7272-8860-4073-4501-7743-1097-2115-853,2110-3944-3733-1313-1265-471-1236-2365,1989-4659-2658-1876-3178-893-1255-569,easy,yes
97986-8199-3701-8278-5674-4612-111832-60874,16428-3910-6436-13091-14768-19397-26195-35384,1873-4723-6528-2115-12448-16286-16297-4237,4511-22674-53609-15617-26054-42092-32598-2135,627-2002-2684-6280-8960-5469-5125-1093,1175-5376-8433-5589-11480-9615-6001-1426,457-3733-5203-3307-5642-5370-5875-851,567-2944-1094-3586-1836-2679-3130-712,easy,yes
111023-116279-2182291-1877492-12678-58726-8761-22954,22559-33049-87838-303859-23415-22795-8612-15555,23068-636-52957-90752-4964-7023-4074-8893,6309-2485-31841-61179-79718-6094-4331-2794,5583-5831-15879-32160-16665-8292-4978-3469,12105-7028-17541-45760-8722-3454-2785-2619,4959-1149-9025-38754-5840-1946-2341-1002,2628-2275-8872-10604-2347-1164-658-1171,difficult,no
22966-79905-2502-10196-5109-7610-93657-72470,22995-33576-19144-11803-10488-9650-83930-41019,5309-10843-3418-8462-2614-6331-1344-6357,592-25201-26412-61121-16946-51020-3372-1280,632-13632-10797-6509-3531-3266-3986-417,2292-19755-8821-13256-9485-20175-2096-1262,1857-5362-2842-2920-2227-4001-780-1078,1229-11016-6028-856-4753-3559-431-701,difficult,yes
