delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
179241-998686-642844-41630-523732-1020371-718414-2178676,14650-81958-30906-34876-51878-51870-103803-204233,4477-22939-6094-9098-19694-1588-39576-17627,837-58819-7664-9076-3530-2528-56281-60743,1982-40697-9675-12890-16606-16799-12154-21620,1680-15153-30871-3234-4781-6680-9511-17621,863-11642-11050-6421-3503-11231-3255-11720,1118-22538-19435-6454-1542-3018-9354-8843,169603-35686-108795-263228-482102-24300-246843-249177,2766-20376-45874-267180-86648-37759-56693-50581,4421-4447-5562-10634-20236-4736-3625-1197,746-8549-5174-13626-23702-1716-4720-5261,1664-968-717-4997-14816-1740-4610-1737,5530-6061-4342-7605-17014-1467-1501-2228,648-1285-2512-3781-4151-908-1570-948,851-737-718-1435-3119-1020-370-709,difficult,no
107841-10994-493932-14479-82897-2409-88237-216493,20161-12976-21264-2937-25857-1467-35727-72687,2800-10235-838-1745-5838-947-1654-12720,671-4343-1131-996-864-1807-846-5283,715-3509-1139-2638-1592-1101-1515-4321,1448-2170-3125-1642-2527-1076-1795-3681,248-683-597-946-832-554-1125-654,333-750-2759-470-614-709-975-182,easy,yes
286687-359767-115337-168487-62423-84619-102870-54405,87893-22383-34341-56935-47869-5972-17422-18169,17731-3494-7495-20697-11994-524-5489-6996,26768-5829-2394-15400-2323-810-2334-3849,21425-865-1643-7683-1030-318-2813-860,12293-2043-1691-5822-3677-486-1341-780,10183-630-809-1717-816-276-320-188,7771-307-1217-1537-226-94-574-157,easy,yes
26382-2400585-71248-1433673-9537-49513-656678-58116,22760-74446-32840-184371-8171-26237-171659-41101,957-102090-7187-86210-875-7104-52950-2434,12099-97612-4897-10757-11716-2412-40038-4135,8468-20409-1493-4266-3189-500-8428-1556,6103-47736-1283-10064-12912-2088-7792-1815,6495-7531-593-2859-1322-487-7328-606,2985-6891-549-2661-2718-682-2522-420,easy,yes
170583-10775-934067-521636-6290-291819-245024-1503068,97301-6814-144288-28433-10771-66128-39372-292671,6239-1558-22297-4237-453-18846-3083-10402,7700-1483-4622-353-698-11104-887-21558,2139-1464-10546-1665-502-6242-2525-7946,3001-2068-7146-1801-3413-3356-1365-8680,658-739-3403-1191-1035-1423-233-1222,604-690-1167-507-174-878-608-2692,difficult,yes
142611-506486-18957-59250-55353-6665-42457-612244,32614-111176-1421-18332-20870-1841-23845-24013,7091-66466-8975-641-6826-1697-6093-12662,7883-7009-4590-1194-2192-998-3381-6563,2341-8226-2106-783-717-882-1637-1763,2335-12322-1375-1587-1268-1153-1232-3635,444-1816-835-519-531-862-649-1352,396-2975-1029-636-409-360-719-1302,easy,yes
15962-349990-7935-903946-1488319-5460-670499-40682,47576-20285-10553-173960-235119-13511-123007-62464,2817-1393-4929-9918-116031-3604-25004-1953,1785-10279-3540-19707-19645-2451-22570-4146,7059-5183-3543-13601-29246-2870-34325-2347,6428-6166-4908-3100-20283-3204-25561-1411,3077-5130-2439-2130-4435-663-6097-1133,2296-2356-2825-823-2710-592-3678-515,difficult,yes
62303-603779-4462-220472-14549-9457-96622-762010,8911-155709-18375-275312-10814-4747-35668-189475,2560-12347-8166-11439-1785-1168-3015-18598,1489-27677-3202-15725-965-1092-3774-14124,814-26279-5071-7803-663-2542-3525-9107,558-10055-4627-6103-1626-5612-3324-10414,210-6646-1989-2813-327-1525-1321-6483,187-6205-4228-4209-551-1384-996-2112,easy,yes
42804-146664-55401-88835-5363-520587-291519-123348,47613-28138-57060-44649-10266-199739-76210-30219,42430-7333-3963-1629-3425-30814-10560-1506,9716-2908-882-3392-2972-51685-7180-1103,26407-1563-2735-1097-4421-31824-1969-2465,7275-1336-1375-4682-2583-28513-1470-4028,4352-724-463-657-1318-7058-772-1134,3349-1004-670-495-682-5005-1354-566,difficult,no
