delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
18139-148921-17404-88722-550239-286251-30447-24297,12975-28883-4501-6823-400148-46240-33858-25401,548-11772-9484-1006-3110-15065-3486-2527,6273-5642-6797-1899-23927-8054-860-12022,6178-5658-14882-2113-24093-6764-3949-18016,42032-3219-29080-2298-31961-4598-4933-29272,21235-16968-15789-826-20265-1539-2599-8725,14412-7043-17837-592-14524-908-3769-19982,difficult,yes
124135-555636-198930-496476-1235323-383788-40145-14256,23145-166038-236065-55181-222852-560861-43271-6722,3235-108635-58397-20492-20865-41042-14305-3654,524-66424-35276-16375-59616-25790-17324-14482,533-32394-26192-6895-16735-70877-19355-4836,870-26474-17973-5963-38021-55805-9001-7245,778-24300-7313-4768-16718-52770-7840-12964,605-10159-12990-8799-40665-31135-5033-5639,easy,yes
349832-30889-420654-79514-2445920-1325691-111816-85892,130909-2803-116781-23099-477305-547512-35915-49255,5322-1712-25592-4373-40231-49769-7880-5200,7260-2091-76622-3628-35795-63117-2315-22728,5413-1352-33115-3502-30415-36003-3105-3355,6026-5656-47724-4302-17396-22164-1394-10843,4234-4055-24716-2251-15614-30035-288-9493,1197-1892-34621-1463-8906-13881-429-7383,easy,yes
3524-164636-9973-586045-776712-179576-59728-6282,34483-282372-4530-644091-140031-32903-14811-2971,4022-41288-1460-83365-42737-15830-3785-406,2324-50704-813-26451-32935-14442-2031-1320,5969-12255-5408-35053-23775-5908-2167-3069,9598-6186-7157-29029-28457-3778-1398-2204,4099-2283-4097-14454-7516-909-264-4741,4589-4398-3875-6368-5100-1444-328-1372,difficult,no
122001-40488-123393-196919-2221471-18160-698280-3663,42175-32368-21161-211845-643525-22152-119261-7428,10071-1345-3544-4976-62148-13315-13747-7717,2476-1616-3098-16706-75215-3295-6128-5440,2467-2733-13435-16557-82113-6916-6709-11484,7360-2902-23014-9769-39488-7532-8847-9106,9176-1048-7343-7185-48521-7420-2806-13050,5044-1480-3805-3877-7137-1848-2767-4618,difficult,yes
189958-1424905-149822-22817-178351-479370-65044-163145,11895-520093-159848-50258-48931-311724-31542-14817,1917-27218-7571-4200-11087-8110-18467-12804,3853-26461-8834-4722-13124-9514-12412-3096,8457-25737-1832-5678-2860-10124-20185-4800,5061-19862-5861-6411-3470-11542-19847-5236,1952-34587-5357-1908-2762-13237-12641-1169,1210-11715-2084-1237-2537-7869-5425-1371,difficult,no
14886-146035-280856-100501-754978-245723-1610367-28869,7026-44353-27898-5048-160885-58053-102446-74558,9002-6047-21771-1449-23124-12201-27889-11785,24835-4900-2948-457-8795-6882-7344-16433,5806-3238-1525-2537-4799-5575-14978-10229,8709-3334-4200-2617-18801-3108-13598-7996,4759-1186-6316-896-9273-4893-5457-11271,3639-1443-4185-554-9943-3493-4482-4415,difficult,no
109955-280185-60539-222645-1071206-83307-256861-26125,18111-112976-7833-75168-164370-13667-118834-39559,1587-726-2451-11722-24864-6218-38178-9863,3367-3434-1122-10437-13139-399-18172-12411,1793-7752-1949-8150-21057-1445-17896-5444,1106-3954-1479-4585-12375-684-10933-12707,1497-1275-825-1532-4975-577-10197-10288,618-2688-291-1700-7805-903-11283-5999,easy,yes
546444-133682-608145-175086-200512-401898-129794-2351818,334613-74959-136197-15377-53681-22714-16296-792824,67968-3558-8998-2278-15862-9762-1925-131358,14533-3301-35818-3113-7156-7711-4078-53225,31732-971-30174-5040-3462-4235-2541-24938,20969-1809-33631-1380-3511-6118-4168-24436,7731-1261-22959-976-3495-4511-1770-13602,21263-968-32849-938-2479-2433-1291-7689,easy,yes
67795-176329-46122-70885-651782-228232-23750-300812,34298-8672-90233-49084-121092-19052-46181-61141,9192-3005-24240-19126-17335-15846-15509-14936,7351-7240-7657-14901-12912-10962-12470-4689,2899-372-12821-13298-16153-6596-16371-2960,7152-2032-2791-5699-9794-2286-5835-5565,9386-2547-2104-1497-6280-2652-6725-3764,2675-1032-1110-919-5801-1394-4115-2177,easy,yes
