delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
156466-460664-94573-259358-778981-541976-27116-30937,86503-113770-23287-168358-231817-160120-36793-51876,16065-88833-3710-12132-51153-88265-11216-14417,4898-19010-2011-9902-14790-17640-5559-21002,9161-44539-7182-17962-43384-46145-1839-4472,3103-25924-5788-23063-50458-27777-1407-14936,3349-24391-7829-9423-37041-70503-1207-8221,2736-65292-1968-4485-42369-60872-1649-4218,86238-71708-27190-626752-581909-155387-80949-732081,12495-12162-17751-121225-69036-2924-4607-39924,2394-9131-4550-34263-25893-782-1405-41520,1373-5861-6386-16737-50700-1307-1578-25678,2998-7516-2316-6482-8654-4115-709-57444,3443-40032-2793-23265-6695-1235-1787-52029,2754-15023-633-15426-9449-2286-803-40553,1633-7124-1518-11188-4464-1107-958-22186,difficult,no
140377-197978-101399-508324-168829-35828-258492-230644,96092-19626-231710-280751-176437-2165-22282-35528,4176-7649-38272-17128-70769-3666-17598-2444,42326-3997-43313-22164-8828-1368-3800-2089,22708-1340-9852-9454-9949-2964-4312-4332,20137-2582-36701-18861-7432-2139-1917-2731,10222-1634-15623-16336-3912-642-3464-2353,15499-1435-11728-9289-859-1903-3190-1510,difficult,no
119196-120414-28716-91751-555868-58312-10276-901147,19032-18913-13910-6280-79233-35977-6589-273630,8552-5833-2499-3785-10842-8401-3553-38179,2689-2410-1249-1807-2859-4449-1587-45026,2199-5028-5266-1254-7195-3386-1831-12629,1737-4775-3715-1399-2600-6410-2251-11106,309-3459-1308-408-2489-1976-3128-9528,399-1440-2169-409-1400-2864-2649-11210,easy,yes
50864-17562-177922-83405-374627-2268-119887-126722,10430-18803-128778-44531-154490-3132-7690-23923,490-1475-8078-28027-12466-4226-1684-4662,1670-3454-3795-4441-3442-3191-798-5027,2899-5106-6892-5426-4578-1989-697-2272,2957-6751-8072-2696-5580-2182-982-1755,1756-8525-2679-6052-4782-3092-846-1658,1316-8424-5588-5700-2051-1672-283-1027,difficult,yes
69313-1404029-73280-147469-1365759-841502-140456-55862,43565-366341-13995-4652-435091-249590-19296-9996,16313-65094-2845-1682-135407-72275-8767-5522,18721-32110-759-3077-138061-26519-11576-1527,2094-117970-1286-2326-72488-70500-7569-2468,10392-54857-2070-3851-87460-28536-6601-2068,3812-18421-549-2800-26105-28797-3544-836,2052-26383-1051-860-9138-24092-3533-1474,difficult,yes
65336-65336-315705-801077-322488-1840234-144243-277240,71194-71194-36596-91190-51730-131924-73394-70963,89201-89201-2412-4618-5564-14874-1511-4453,33129-33129-2171-2576-5077-14976-1982-3304,9996-9996-1698-7258-8628-35196-9433-12269,23577-23577-1722-5472-3680-25357-2753-4547,7781-7781-605-7800-3260-13120-4220-6745,9276-9276-567-3413-4489-10772-4797-1592,easy,yes
94649-170380-319260-89067-179116-37708-750616-554017,64512-59302-99732-58666-532616-11893-39523-253719,29283-3546-5068-12473-34391-1316-21873-14228,9017-1583-7777-5370-18045-5079-10050-11808,6878-1802-1602-6884-36024-3548-4362-9634,7715-1900-2726-4424-22787-1678-5491-10500,1763-663-4266-2683-6128-398-3573-3764,5173-388-1651-2898-6054-262-2002-3353,easy,yes
160614-177536-199056-26657-2448055-27062-1763005-103343,14024-22134-78215-93505-343506-25341-528114-7401,2934-15749-9044-31960-167157-24038-27316-1817,6021-12441-5504-9233-69314-14930-9936-3050,6698-3856-10844-7694-51750-1641-27736-3633,4893-2657-4707-2144-24828-2902-39088-3507,3197-5666-2426-2498-11567-4908-13149-5018,2530-6347-2176-3932-7387-1553-19830-2678,difficult,no
53148-996974-54271-142580-48146-132064-211467-144744,34413-139508-8677-124828-13460-15585-63610-32879,14723-22869-362-39275-2266-1800-24332-4587,8557-8181-3629-65483-2008-3868-16183-5869,5386-7671-3422-21699-984-2066-9144-6455,3717-10073-2362-11157-2030-2488-10716-10349,1396-2770-4339-2289-743-785-3443-4179,2540-1993-2076-4620-934-692-4470-5365,difficult,yes
289495-480154-1295661-155962-38269-86659-36090-867386,28516-40905-105511-97192-15244-169554-6277-118041,35982-4455-17337-1499-233-16970-808-20353,17883-7910-32130-10024-603-4991-2044-18381,24799-4385-10530-9826-2218-6579-1786-5345,12482-5052-15245-9163-1322-7666-1787-6631,2093-2538-7158-4221-1335-4076-3719-2872,3406-1779-3361-4833-1282-1700-3292-939,difficult,yes
43827-1480857-13076-72265-72060-49705-1061568-40608,64404-309491-2814-23243-13380-38365-128439-23785,50215-44461-2363-3771-519-9972-77159-25534,23711-26415-3314-1588-866-1871-20373-11323,45149-15653-1167-1256-2215-1325-7972-19266,25078-7195-3963-1009-1156-4483-6196-21052,19271-4412-3066-874-517-1711-2418-9390,11333-3632-1935-583-490-1862-2286-6662,easy,yes
15479-1579929-389615-1988012-765391-232489-71794-544847,24057-103879-78357-100991-36846-67985-49877-204438,3162-55229-13213-4929-18508-3456-6371-12871,20097-21678-2913-59886-20693-12271-1876-27768,18338-22930-10051-27219-6176-5536-3811-46500,33641-15841-15692-12011-10398-4715-3872-38372,29829-10126-5862-20319-7810-4434-2282-8488,14337-4518-4904-12323-14005-2418-3618-11840,difficult,yes
46303-72597-2446732-1252618-179973-21874-41900-148548,11331-38567-307963-104219-62705-18116-17944-66309,12015-9330-48140-22805-5229-12833-3952-35191,1105-5336-60506-26712-9405-9902-422-45882,2588-4585-38416-32221-10012-25449-1639-11492,1139-13061-41110-12020-5083-16357-1344-10405,845-6741-38445-8136-4282-21282-521-1969,516-1505-10035-14022-2052-16931-394-2818,difficult,no
29590-81820-106755-10930-95130-74567-81548-69757,20090-24708-24068-6826-37313-11251-20117-58905,10139-5855-18923-1153-17404-1939-7157-7219,11302-3504-7972-2830-3925-733-2527-4275,6087-5894-11142-1826-4494-775-8246-10438,11952-1537-10997-3203-2614-946-3928-2496,5517-665-9050-1161-610-547-2694-861,5779-758-4368-1699-346-231-1561-489,difficult,yes
20335-1090996-57135-159882-425843-452968-101315-60337,20907-404111-11940-59154-141617-233237-97694-9616,6347-10511-1745-8475-22734-12466-32651-24857,6650-75371-2891-6561-7726-75554-15526-8281,9701-78093-1923-6865-7165-50834-5626-10080,23387-27293-1893-10909-7911-27454-3682-9211,9460-18781-764-5452-3817-10426-3370-5294,11959-19358-1524-3614-3834-9589-3888-7034,difficult,no
140013-1742314-9176-491942-1042170-94101-83600-144015,52190-149529-5407-14713-84966-24923-14952-41930,12063-147568-3106-12119-21819-15625-22213-13795,90550-35774-5451-10454-12749-3535-19480-3138,47642-51690-2688-1671-5556-2195-19494-2879,32266-15602-6322-1898-12090-4493-10285-3113,30977-39952-3651-1442-6292-4731-7188-1914,41786-12459-5297-1547-3460-2218-7559-2632,difficult,yes
1658022-83316-86210-8968-1823533-367986-144441-2200297,554963-41682-20997-27570-931177-179820-4773-406229,17246-9404-3066-18988-226103-26094-2556-29887,15909-5348-2952-7721-47878-8643-724-1947,31199-1760-1047-8520-36364-1568-2607-9088,37443-1335-1016-19271-52722-8681-3501-18575,35394-2188-598-12447-17543-1248-653-6634,20038-2767-370-8916-11201-1579-679-6160,easy,no
250685-983369-553013-543417-30463-51521-70190-34145,267337-538942-132172-1039500-21376-6738-72287-11102,7388-31648-4901-86899-3450-7098-58762-4182,6395-41686-19476-43677-1336-11610-15212-2653,27514-49029-6123-34100-1483-1659-4778-1276,15077-17166-7812-35564-2164-9853-13428-4545,46012-55998-6995-37439-1817-13970-11711-6050,23690-15127-5750-34212-1180-3418-2792-1639,difficult,yes
218121-186671-121866-412827-621078-14516-78182-2562,58590-39601-13835-209011-37669-8816-21673-29067,21262-6590-8085-21780-19155-2633-1218-2427,22196-12497-4191-2972-3186-4808-6377-14584,9490-22690-2278-2758-8716-2242-1900-5892,17808-14352-1869-10114-5526-3733-2698-12528,5685-8997-715-3687-1553-2758-430-8401,28763-3153-1154-2874-2056-1049-432-3646,easy,yes
19715-71363-1984941-356776-333683-12099-122596-21182,24305-22736-236828-95884-154846-4768-167201-15490,7295-8011-105975-27464-72597-937-15430-10824,11091-1883-34640-45082-19898-2022-7576-5823,1854-3381-11985-17133-26457-2934-3817-2324,2797-3700-17642-6649-18553-3972-6285-1196,790-829-24775-18191-45940-4485-5987-3530,2020-1133-21883-11648-25742-2081-6159-1677,difficult,no
293454-68137-44690-481377-1460005-113966-465890-84955,38027-11392-16295-169814-60335-32977-51142-35060,23536-2932-2062-7075-20122-4644-4635-9994,27738-13374-6223-2539-9468-5983-8499-11626,37206-9087-3434-11409-11834-834-3847-12507,21693-23830-5130-10526-8644-2250-3643-11863,6413-13188-2507-7695-4478-329-1935-6562,13698-10412-3420-2481-4185-413-746-10565,difficult,yes
20883-124720-70574-1827865-182114-3244-746169-127647,30956-8354-70894-215627-89403-11357-197126-145229,7746-1233-5178-22735-17217-3830-8754-15735,4906-2149-3376-23411-13461-2922-3230-1633,3074-1551-6604-17712-5338-2431-6021-4596,14232-1342-7909-16075-1818-3837-8289-5931,14982-1261-10095-4880-2094-1323-3343-3849,7724-1560-3929-4766-1836-1837-2069-3133,difficult,no
208239-1556855-234406-796162-178056-161115-420690-35818,67831-181506-206993-880759-57387-27873-176871-37684,52999-38640-13758-47600-10936-12908-5536-1319,25982-70890-33325-41369-981-7696-6141-1485,9616-13087-28860-20042-3875-21061-17147-843,43135-38508-17557-27385-2130-14953-4906-1099,39989-7139-13588-20982-1201-4845-2904-280,8601-18357-5482-7368-977-4102-2738-342,easy,yes
30980-571665-94887-278917-188393-704438-1432484-71800,34740-194560-26444-67699-29961-369205-364315-18076,15367-50609-19649-11519-19554-27352-24091-4832,1418-22903-4885-6122-7856-32768-15523-6164,6700-15291-18774-15678-10563-37842-27763-2881,1743-58309-8976-6698-6983-12380-10536-2747,3544-28360-12392-2894-4175-6590-4971-2867,2697-21027-25120-2774-2646-4160-3365-922,difficult,yes
43082-149533-258530-698453-17510-67350-45621-68782,32837-56547-27469-117484-13225-9906-18156-43813,15321-35336-10231-22992-2904-2757-4838-36767,4748-10746-13368-18702-888-1007-1972-9787,3018-4293-10375-11879-921-1634-1337-10628,1755-16135-7881-8983-1446-948-1306-8432,1759-3979-1659-5127-1955-848-574-7052,1213-2357-3450-2999-1198-643-731-2298,difficult,no
242648-3473036-263971-1261169-44050-94586-27698-44701,110712-306950-103935-142317-31501-19569-9025-16454,64129-132479-8733-30831-3421-5088-1774-8703,11160-35425-21903-65515-1567-3656-1441-2721,6709-19243-13039-37229-1491-1457-1465-1260,16740-33523-8482-26631-1898-1743-2307-643,6751-17038-8028-14943-852-894-2995-1019,2975-5122-3010-9643-466-485-1848-473,difficult,yes
314876-836120-10993-192751-351088-107614-193098-37115,55417-290726-33410-445474-140129-216776-16630-15458,5467-96551-10799-13330-17223-3243-2475-5832,11295-11826-16329-32703-3549-10331-2440-8973,4755-34490-6629-10365-4775-10493-1350-2321,4830-12275-20206-5952-2935-5209-794-2087,4433-9893-13889-3287-6898-5662-423-5138,2540-11758-16561-3942-5835-5069-165-1665,difficult,yes
