delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
863967-2266688-19343-688585-60760-660362-301974-1681091,38075-220890-7410-411587-16892-60921-22946-536770,12145-16412-3434-59796-144-7115-13879-88587,2278-7305-9110-28433-4409-4038-3340-87049,4397-9098-9394-10638-3570-9277-7112-90969,13253-20515-28252-32972-43946-31748-10305-100748,12809-23656-16864-24878-14352-28316-5148-120604,10538-18979-18908-19302-3438-14701-4418-138643,1567432-141987-253463-583338-471431-560189-217350-282521,88754-4767-51391-102973-55858-103526-759719-25711,15907-1669-22414-37329-17681-6934-75671-6429,9564-1298-22989-11361-1052-6384-114209-20330,8405-525-3000-4304-3930-5092-155553-3040,13086-4649-4297-14628-17519-9943-33219-17928,10069-3785-11196-17039-11982-18135-66134-24142,5820-2614-6854-4000-7347-21166-41906-8643,18138-61500-296908-5223-43407-280534-422252-57405,3853-5380-18877-11674-4678-18619-178586-26303,1740-655-2818-1849-22716-2531-21241-683,2550-483-8970-3057-12655-9973-16703-681,3548-903-7572-4308-4429-2059-14028-2679,4349-932-6007-12373-24838-7850-22636-2298,3705-2016-5297-3008-10696-5095-21858-950,2357-484-5518-5964-6623-4286-29584-741,difficult,no
28321-179014-147336-16857-335964-157570-56011-58508,6000-20130-9956-11667-196041-24877-10931-109619,745-634-2020-7209-23168-861-5357-5240,950-3650-1229-10478-25222-5569-1558-3772,524-5080-807-32807-18635-6486-2828-6320,963-14429-1856-32489-32055-8652-6282-6454,994-6441-1214-12302-32889-7450-7797-3801,1024-4607-949-14815-10870-4796-1629-5299,difficult,no
903480-280284-291263-25647-112387-121997-312581-21221,88343-9418-35629-16695-23782-16375-16188-3300,83140-2411-10731-8849-6482-6221-10049-311,5955-3191-6641-12830-7494-4853-6777-2560,8862-3228-17582-6053-2137-4811-12620-6618,37340-7084-16025-18499-7001-7819-15050-4660,11214-4076-11189-10951-4044-8765-35967-4275,5490-2675-7704-5879-2128-11008-26524-2009,easy,no
2099627-1107207-1181118-65910-849045-179193-1753-56298,375541-32195-167605-128272-86326-94246-4390-12510,20082-16153-10975-12082-17122-8080-1153-2940,7404-1513-36433-4298-36742-4742-3699-3400,14138-1782-10687-29527-29146-5319-1339-4307,45571-13301-33811-8201-14365-12610-10942-10574,36434-13981-20460-4817-41941-11959-5756-20137,10523-5826-8184-3023-13950-5146-5622-5304,easy,yes
821236-247931-2241757-69072-804407-499995-1912264-879176,362426-75708-463347-67327-541374-70300-542869-345937,57234-3688-73618-2642-55014-5266-73908-76988,20149-21732-127285-5000-58063-8182-9834-19040,35943-8764-49730-306-28326-7793-70057-25817,21526-12891-42321-6322-78709-3880-59048-94561,20380-15472-136133-4888-81181-5640-86830-45592,27136-9593-90108-1866-58220-4310-38018-46236,difficult,yes
6771-849704-296264-334400-37077-39308-2485673-121716,14646-257794-108249-29475-5859-33794-657699-19440,14464-179579-20684-10581-6659-11690-45553-200,3914-15603-12685-1794-1287-13272-24644-3307,7199-26297-3159-4434-3609-12295-28469-2495,29364-93922-11514-4762-16232-18666-47690-8607,11363-55863-20751-4686-6009-16220-37682-11439,6678-29013-7237-5005-6277-15390-29035-5091,easy,no
386143-91757-3004946-166051-1188768-13049-194435-406119,58514-15075-106089-49573-92891-3074-5501-60142,18302-10376-64048-17523-5978-776-3220-2258,18411-5765-14149-2239-13268-25859-2870-12602,16788-829-37659-6927-4608-7565-6124-9480,16613-771-52138-11321-43159-25229-52579-64688,11961-2395-21165-3462-35111-24522-29717-40601,5542-2025-24636-3602-23036-22521-13492-23164,difficult,yes
836996-1720215-120188-104991-19307-193353-55577-772569,558736-92687-102200-25761-13797-34017-2779-31899,78816-12928-14592-2503-1482-3042-4555-26918,99580-20527-7654-7045-6013-8056-5880-31281,44238-26157-6099-2776-6721-2505-4981-9340,32172-55070-17628-15995-16303-2400-14370-90711,59558-151078-26304-6765-13597-2037-7880-95896,27747-37014-5014-5427-6348-1206-10082-18721,difficult,no
