delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
751475-53831-33988-647175-983526-149096-137022-2410552,19963-63966-71494-164496-29195-45583-316208-413332,40492-23576-21236-44040-1681-23813-105347-47238,69816-17257-51645-19250-8878-12692-33453-62848,7988-6631-17000-23636-8580-5485-37780-38804,24967-6492-11117-13501-12403-6922-27407-58141,9424-3211-8012-5216-2955-10485-24826-93664,3404-7320-3884-3794-12785-5538-25957-152531,343037-1776487-393896-866939-525859-813500-295427-905008,42823-198489-105265-45776-85965-40824-187912-150517,4306-26179-9130-3830-35493-16181-62473-45816,7430-34315-7735-9948-48578-9148-30688-96505,10670-78501-19677-3823-23087-21498-11769-51096,13507-21509-6476-9622-19011-29737-36900-50341,3759-8435-17987-12638-19646-22138-47665-27631,3684-14515-6018-7817-18919-9199-18280-14267,difficult,yes
3036-145766-757190-233136-34758-16521-558893-4682,6112-12914-128421-96497-9664-10644-273662-4433,7485-2393-25716-24809-7216-6508-49622-5274,6621-3086-8797-10567-7686-5076-12076-1932,3982-4022-2116-17273-7110-3470-14491-7895,2971-3312-34914-18838-19713-10219-22303-10987,1595-1788-10818-46730-34244-17712-28345-7267,1715-3821-8222-48835-38118-18428-6842-2562,easy,yes
156982-10675-94520-177376-385551-77063-38851-611682,39648-4617-27400-16953-85140-40954-26883-317708,5258-8349-2041-3381-27357-5650-13788-102685,12495-968-13172-1674-48278-7659-8228-17305,9064-2004-8129-1189-23207-25950-12320-48930,8865-7401-4148-1736-12699-2906-10017-62684,3241-3232-2310-1760-22274-8145-5890-13786,3638-2339-2365-990-16926-5570-4551-6352,easy,yes
733492-447055-379478-205769-14792-89870-1447259-120462,119122-299655-299743-41767-16272-8641-247418-78418,178186-25920-21934-4732-21098-12972-5434-37250,42818-75057-21879-12594-14888-45504-58073-10408,22605-51135-6851-2234-12452-27053-28511-7621,97839-153112-13186-6786-54202-23991-34610-10475,36922-21756-9612-19511-77709-27799-79156-16375,6256-13428-5078-2061-6433-11440-17583-7629,easy,yes
88772-356753-257401-243142-2261195-7745-118137-40104,25355-15463-70059-60209-105292-2100-18226-15390,37789-1706-8632-24877-64519-1044-8401-3769,37171-3657-8453-10770-3947-1873-1758-2162,10604-2710-3833-6084-7371-1345-3385-901,9688-1742-6822-15108-23624-4108-7847-412,4093-751-12309-18561-7481-1954-1190-725,2611-779-8226-14087-4128-941-1529-617,easy,yes
43708-2088677-37302-39615-111059-8841-2973-50465,25002-103091-13630-33586-20586-9266-33289-35904,8266-68985-3085-909-20911-2134-2062-1448,5227-58132-2298-5267-19901-5122-14269-1509,2609-42929-493-3877-16916-3079-9038-2992,2521-43480-4612-1235-12277-2845-6722-3279,1338-25973-3287-1599-11455-1022-3358-2295,1903-10221-2983-1693-4415-1127-2593-1949,difficult,yes
161708-84359-84958-52565-41989-1798256-19283-96540,37617-20044-36951-22236-19175-217961-26828-38226,24298-12445-48101-12575-8084-46024-13833-9109,22001-66720-32747-13582-3709-45492-12647-3487,11765-18440-30298-18777-1266-32158-6252-2775,24939-19052-17642-3970-5383-17269-12314-1874,12047-10642-6576-2531-1838-17359-5982-546,14450-4157-849-1326-1016-3322-3502-528,difficult,yes
50885-51477-50673-30096-996378-186595-124244-929712,60901-4611-34310-9765-448102-25981-19401-81740,7554-1684-3176-4746-153756-3501-1665-8880,3758-400-2654-5254-20557-22595-3657-17462,2076-317-5072-5664-135503-4999-3498-19621,6072-434-5235-1812-31357-6935-8104-20316,1850-350-580-605-28256-14937-5920-19682,1489-200-886-360-26331-5542-3170-6643,difficult,no
347086-264359-105003-55484-39005-131977-14045-2727466,85497-24943-2856-22532-24541-4398-10172-64819,20798-5782-7137-19136-5264-2671-2915-70489,12744-3229-4374-18418-1091-6468-1170-42809,1449-4834-617-17506-3166-5306-1004-17963,12511-2000-1044-17048-4217-8493-2488-19530,1630-2124-807-9635-3966-2800-2298-15287,1344-1356-554-23668-1241-2988-1641-6172,difficult,yes
357805-67691-1585358-67246-2082468-1730731-95472-871505,152772-10689-198030-151215-294159-655963-3840-35798,17271-4322-52736-48857-40701-5424-5222-1758,8937-11331-40764-38404-112790-43919-4006-1921,28148-8541-29275-16811-15681-14338-1685-3419,25404-18962-6043-16053-7867-12186-3681-2325,13808-18187-4367-11971-6566-5458-1427-878,27009-5028-2256-8766-5764-7280-1501-1890,difficult,no
10051-8763-614806-184850-28201-110214-42770-454880,49164-2752-207031-9037-42172-56849-18376-65183,14253-3633-12334-11037-10448-30549-1347-21204,3786-1850-23699-2231-3377-12620-2617-5261,5037-4197-16324-1498-2062-6115-957-4911,3603-2768-10607-3165-4980-27736-1204-4659,7015-2413-27660-2227-2341-11395-2192-2418,2404-2258-10128-1203-647-6523-221-1930,easy,yes
39583-145987-116383-218211-11625-409238-19026-29183,51338-13502-10901-58598-39078-27774-8648-29868,10227-17761-4702-9170-20553-12167-3189-7301,30271-5692-4237-6174-6484-2964-3424-3370,12856-2127-1048-2905-1423-777-2375-4632,24721-2489-1010-6081-9230-4282-6575-2998,4049-1894-476-3928-7419-3209-8861-4848,6241-1593-433-2337-6305-2073-2864-2799,difficult,no
39479-640317-677557-97985-81048-69646-109874-7211,36170-195111-119393-12871-32063-38252-21265-14614,25651-40125-8541-2865-8033-648-11878-2125,4053-22097-10685-2789-3622-2358-4533-2716,2327-11990-3501-2602-1972-5497-5115-2723,4215-14076-11639-5950-2250-6833-2789-3071,3408-14047-17548-2941-2814-3765-3121-2919,1308-8198-5997-1359-1836-4820-1635-3331,easy,no
25319-2619406-293008-62286-66817-195802-62361-651861,89970-27360-25741-29390-23071-49137-27541-415405,5691-5998-15234-12091-2685-7486-3973-105530,22283-23038-13013-4826-4010-1355-7940-64371,19715-10204-7505-11189-1405-806-1653-18455,9261-8267-21504-9456-1494-4515-1485-28389,4983-13678-4151-3567-713-3752-3516-11664,6770-21301-6339-9010-498-2037-785-4780,difficult,yes
14949-573800-227842-33411-60436-98075-24180-403562,88292-155173-24797-32980-13443-17940-20333-81474,6633-37240-4708-3337-522-42207-2552-76938,16049-31752-15376-9383-1221-9322-4780-45397,51479-12334-4122-5637-4357-3939-2064-14422,44058-9662-2863-4234-11564-5868-3795-29465,11733-8182-2453-6124-9835-7073-4616-11403,10156-2223-2168-2425-4154-1561-972-3335,difficult,yes
95634-1831533-1360102-18673-619367-11073-58356-486124,102866-294561-279714-10356-34243-45922-19280-91987,6726-112541-37973-3472-13293-2494-3189-4859,9098-63514-35764-1655-13130-5369-1582-15051,9540-11792-20986-1233-1865-5345-1348-2826,3441-16340-30958-5990-2528-4210-2085-3536,2165-14654-36161-3114-2579-1879-3507-4276,1059-12722-14964-3677-1501-1577-868-3169,easy,yes
29789-691092-70096-116796-433353-17378-89793-211682,15828-402113-10220-11966-38907-12786-59694-126156,832-45180-494-1088-15529-11116-8640-12590,2355-17068-897-3150-1915-5041-8840-3251,1469-44662-3253-2097-2547-3863-1737-2802,2109-29247-1416-714-2469-2386-5941-4915,2829-15060-2308-1359-1535-13139-3868-8798,875-10076-753-619-1387-2642-1629-2015,difficult,no
522789-288379-120941-494069-50694-2397148-149647-38782,47171-17937-13811-103695-27065-87258-14578-34519,9700-5384-10521-20828-14836-20320-9509-6078,3555-5796-18453-41748-3395-14727-1984-3722,1604-6639-3911-19255-5595-16901-2788-5779,4443-9514-3345-39523-7234-24838-8248-18980,2646-2520-2957-27315-2470-19968-5095-9300,1541-2381-1719-14283-2124-14259-2560-3949,easy,yes
877249-102587-215977-79598-414529-640842-401312-842357,28408-7059-15418-11285-25932-813960-10976-102849,9829-6053-7994-870-13000-12885-15682-44905,7056-3812-8336-1376-4788-7603-9316-32340,5033-3122-2788-4428-13583-31413-7636-22540,9521-9966-7978-8517-9090-41508-8372-14385,1512-1822-1167-5127-3711-21814-8252-11617,1539-1939-1928-5136-12390-13274-1300-9694,easy,yes
1583472-507659-576027-359197-395962-716146-63251-194722,330913-56783-53403-9905-39459-237467-8608-95274,50207-12024-28056-2219-12397-30987-16307-10700,26388-16193-6937-2941-21049-35755-5806-5810,12021-8234-3751-2629-9736-12235-6802-3246,26375-9342-12257-2107-11314-56574-11406-7821,14555-5734-3605-2761-7330-13405-6401-6762,17939-6594-3353-702-4443-38878-2431-3787,difficult,yes
89306-57385-201222-93408-1549755-56741-1430761-25463,22710-21096-10477-78161-148201-8522-64602-8649,1809-5011-8314-3486-11059-1916-15315-8888,1637-9186-1429-2317-14911-3570-23552-7218,3038-2794-1219-2899-14238-2003-12565-7180,4915-964-3275-3159-9244-7008-9869-2661,3007-2958-937-2776-11363-2786-9408-2189,2735-1086-800-2105-5066-1190-7577-3010,difficult,no
