delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
155451-808848-69414-140784-1001405-753294-674533-126501,52106-494120-217616-25454-473105-565844-391269-13684,39023-80492-32478-54651-37294-213985-80011-10708,36151-154093-65674-8184-87053-98709-117211-3665,12313-16765-20793-15820-63492-95985-47605-5097,9397-60394-12024-10253-54172-45186-35603-2855,16057-53559-5130-2852-18605-13639-50687-2382,2205-31133-5876-4085-33928-20116-18291-908,1139372-1693663-1020480-1769813-249576-714209-586778-618136,275218-685959-168414-63491-135297-36974-26525-156368,72351-71913-84061-36505-9003-19887-5904-40025,196429-40771-53188-19797-19003-29811-1470-58966,13580-71633-15618-11722-13184-9273-4804-38064,37459-26048-26040-11057-22417-5050-1231-49129,33159-18432-18350-7046-16042-2055-632-21054,18377-36060-10490-4211-5169-1324-327-9166,difficult,no
906799-703222-438857-1600748-783483-284914-720205-1648433,1368958-181168-125703-608385-308019-51110-46171-292683,113374-28382-25180-224463-48127-23730-53710-11998,118364-136399-4370-204844-132967-6886-38233-110996,216526-130409-16065-36026-46391-7998-30997-98857,67884-26811-10185-27014-19798-1774-9466-40731,32161-33884-10102-47345-14586-709-7563-16221,50933-15250-7339-14507-9273-1331-6635-14132,easy,no
743347-934656-374528-1944363-1046240-2284489-1385578-31812,14468-878599-260876-1870428-438862-173811-61186-63036,6420-391007-14384-1854242-27481-171987-97338-5353,41617-217306-13701-945498-42582-60534-17439-11790,5462-156728-22213-364848-46417-31944-59817-7381,2282-192449-14903-179286-16097-14571-13796-2724,2075-217806-14958-360021-17776-15995-2835-2046,700-45623-9301-359231-14304-4427-4707-728,difficult,no
666697-665731-2227762-443490-1380719-2753983-1022339-786018,116637-495952-944429-59760-311293-921043-184312-214682,29748-91754-316793-27936-149591-232352-44274-65004,25156-99142-273881-32366-442103-194159-62116-34028,34544-105782-183987-17901-34909-241879-53236-33698,42621-126876-95746-6015-30165-130638-16153-17559,16787-60664-93315-3873-46563-135520-8404-15052,11456-12988-39434-3031-34321-59044-11223-14281,easy,no
1756453-175733-303591-1474143-1481722-875716-119030-96002,501720-62564-3829-335236-98823-752039-59597-19245,93858-22790-5142-24422-16169-461780-4878-39174,120890-29990-2722-30763-26947-131912-8323-3326,45041-8523-2512-48988-48335-61264-3345-9971,29511-8379-1184-9945-24780-68923-4342-3233,36229-5757-890-8929-9052-24678-1527-4728,22267-5976-3104-6006-9856-21126-1544-3212,easy,yes
895028-654783-381733-82848-1180909-752712-186728-1186823,76883-76634-31202-38985-34372-44402-15630-65314,31478-19307-3968-42534-4593-3173-4160-18243,40424-22438-19044-7902-16439-16087-2841-10435,11849-13888-6171-4979-6324-8961-1282-14194,16211-19004-4304-6684-3086-3526-1274-12545,29238-5923-1702-1417-3075-1188-546-5111,5700-3332-3461-879-1048-771-164-1333,difficult,no
576083-1296805-1296847-529447-1729706-678974-906750-2896735,191926-186518-189876-23205-91971-97388-75617-581288,11843-127673-44786-12327-54063-62965-13650-150529,8967-25893-78750-3593-11644-8654-24201-157030,32672-21135-23357-8269-15909-8925-7860-59111,22466-22775-13252-1955-23429-10397-10736-71081,17045-12600-26704-1535-5112-1925-6046-14728,21154-21470-13553-1345-2210-6218-764-19729,difficult,yes
782164-312460-1053721-1224296-1797942-3093987-72591-844652,342502-22057-467601-169360-173768-417259-50721-385555,62347-4416-99948-13304-38174-86571-5459-7566,12351-40145-24394-27215-13403-31956-5369-45470,16004-3856-33491-67287-9688-26338-2643-21481,12740-9090-47021-15866-6853-59674-1052-23136,8201-5525-28263-8351-3524-4548-1719-11171,5253-4405-9884-5341-7711-4008-944-3358,easy,yes
1011592-2454834-50749-1887328-134242-235666-999993-142578,55021-69525-43446-69841-67532-21935-36232-95958,6612-12893-35996-38382-8867-15633-72675-12954,24096-35889-15937-141143-3094-3710-56355-1146,6332-26426-5768-32298-3819-1602-13816-2829,5930-11642-3567-10690-4353-1400-20441-1806,3861-2226-3883-21997-1564-1659-13325-935,4055-2497-6160-5666-1343-1216-5960-576,easy,yes
433167-412130-1482935-1029114-120453-877776-647470-1229370,228701-54657-329880-95399-7360-101652-44027-584377,7563-6530-169658-27939-8876-35870-34752-109811,7096-5486-81042-32662-3794-27249-14941-27640,19789-3642-27808-25105-958-17334-10850-40731,1734-3689-17045-11910-1636-4525-5615-27180,1740-809-26373-3442-521-4125-1686-6170,1523-329-24016-2550-222-2451-687-2270,easy,yes
546279-1732023-485746-664052-605869-688932-862173-237112,244465-205450-374680-95197-209592-882479-46132-27289,15753-29310-187901-10395-60033-35243-9269-6995,9162-49709-30816-3065-12357-29401-13197-1547,12100-33239-52669-3731-9011-98434-2916-2334,13011-13063-25950-4995-17453-27709-2546-1983,4081-6963-34222-3747-25171-11775-562-698,2922-10089-30299-2243-8284-4279-491-924,difficult,no
2319993-1196072-935020-726020-2734319-707098-543025-2180959,919752-338768-334359-133989-73360-50807-260387-469406,73603-171473-12339-64152-162331-6139-32404-173594,276904-23282-114234-22871-72558-11117-6698-149534,88694-5511-14640-13136-37115-6985-13916-41069,31030-22162-14641-14690-36858-2593-5268-40311,35262-27538-15845-20641-9273-2078-3913-16232,57296-8364-6648-5239-9971-1592-5366-32161,easy,yes
639616-263869-1035010-672867-545414-67319-1345124-48074,201567-41879-73359-52935-21604-32132-342877-27951,135921-42978-41234-50884-38968-8354-64567-8667,52712-29472-76784-6535-47787-4238-7325-6746,139623-6015-40604-6190-14634-1259-15971-1387,15409-10577-15050-5293-8359-2402-9650-4299,31421-9185-15442-3771-6034-650-12899-2230,12194-4687-12368-1191-7479-469-8658-1057,easy,no
923255-601403-853112-922710-137840-1992691-62532-33637,1183648-52867-245547-175747-31986-804580-19435-55639,355120-21029-77483-121620-24909-65003-4889-4499,56990-12053-67077-42785-5233-38366-1585-5047,108656-10177-14954-8150-10116-28767-2166-2675,61129-6970-28629-21801-1359-20028-732-2752,31167-2754-7157-9173-2182-19770-936-3051,28222-1723-5894-13983-1630-13338-272-1959,difficult,no
1789494-610834-1181339-777507-2369842-298655-814063-144113,54282-607906-146252-30765-132321-72632-207706-47482,87609-230961-13094-9234-86108-16445-129076-6612,25186-125841-114560-9187-20605-10299-75861-1679,6696-22464-52798-5300-16847-5729-11404-2339,5135-34398-20531-6657-11166-2686-34662-1974,3794-26315-43335-3536-13410-2691-9393-395,3543-11328-12426-2797-5995-3535-4813-387,easy,yes
316598-1796221-560219-56393-336448-288893-1223481-307412,7803-116968-26605-35990-103923-54008-361081-31107,14332-14794-19551-1674-11782-8354-93563-20042,11876-4826-7276-318-7878-3980-91936-3714,3109-12652-3256-3910-5962-13987-19300-3376,4945-9134-3037-1906-6767-3501-20667-3751,3565-2368-3641-1094-1822-2340-12429-2331,2036-926-1403-774-1235-1466-4303-506,difficult,no
150052-95113-205937-498661-214094-508100-29806-374139,11699-879304-137595-31065-10128-132474-53813-81999,2283-38318-8553-40889-1468-48719-6834-12461,998-27173-5156-13110-3508-21077-4447-1506,1447-49377-6105-4852-1706-13725-3169-3728,1451-14480-9648-3306-1709-6412-5779-4428,1384-8125-2206-2550-323-6514-2802-1853,705-3239-2061-2181-291-6789-1714-426,difficult,yes
672985-280605-1126966-716853-1481364-279860-796256-1034710,35843-103518-73247-330469-28575-174272-333837-76205,7990-16964-16803-16361-1760-42664-39207-50931,13112-9606-13696-35520-35239-6269-31444-38377,10677-14453-21226-17016-11612-14787-15155-8584,5443-22978-7810-13915-2825-19904-13574-14685,4727-5154-3197-4454-2350-4210-5438-13329,1570-1134-3170-3573-1062-1868-4270-5712,easy,yes
1172540-1398024-2867485-250017-1162945-202819-192213-633403,180618-48359-226153-129908-420062-72037-73619-18502,86837-15677-39015-15723-48283-3954-19594-7629,23539-6196-87842-25002-56950-10653-1597-3890,52564-5265-9279-8197-8442-2449-12875-4604,34045-3567-12106-15252-14631-3796-3859-6070,23837-5541-30597-18360-5877-1278-2943-3568,20991-1549-9790-9724-2511-1315-1397-1362,difficult,yes
83122-102558-175508-1034523-1015376-22421-950810-370685,30770-15648-97056-34072-146406-36306-49087-197272,5755-15956-13501-9415-24078-13042-45319-5170,2316-21231-3757-2712-15751-11725-36131-15389,1431-2735-7513-3398-13520-3184-8590-14952,2329-1894-2485-2846-15524-3386-10837-6402,884-1484-1608-1399-38458-1442-9020-21150,542-433-842-988-3619-931-2428-10628,easy,yes
99219-286078-658742-295948-325853-98055-76320-858186,46929-78852-78845-303678-35663-28107-16774-116820,19819-16587-91833-38589-7618-3468-4431-49458,13365-2439-10044-5352-5169-3490-5761-16052,9622-9349-14234-6778-807-4605-2622-6816,6140-4649-12756-3216-4786-1104-934-5685,4534-2165-3261-1796-2499-363-719-3716,2705-3291-4747-1177-1037-185-915-5287,difficult,no
1173636-772146-735300-49228-181703-163150-193789-2603566,101424-15680-156353-16283-34338-32058-47588-669231,71824-18051-81717-571-19739-4928-9322-147898,16212-9314-49694-1135-7073-5553-7422-69216,35415-3204-17260-2108-9339-794-3230-106097,5127-2137-5430-2147-7516-1935-4570-55498,5291-1812-7042-261-2287-723-4261-45314,7061-2052-3103-142-4457-596-1552-8299,easy,yes
1008644-129605-1256620-2162786-214158-782860-2050577-1001360,273552-18264-1099885-112441-30147-27147-237112-1203324,10305-6882-885648-20673-18853-17315-215106-92060,5521-11118-600051-23453-7616-3630-73714-30619,17730-3495-303134-5891-7559-1847-35737-77859,5425-5496-168951-9135-2292-4711-38813-76224,1455-5684-81542-3677-1296-1796-9810-13236,2048-1929-235718-5012-2049-1265-4348-20688,easy,yes
46867-612252-427108-463077-1272628-193895-325449-21196,55804-353248-230040-356340-297709-18929-527153-21959,24496-9563-50057-165834-49384-5673-12324-7355,6681-4999-25495-31951-21226-4076-54739-296,4763-12163-7989-6834-5980-1129-12618-1721,3288-11813-9840-27884-22596-1380-17685-585,2352-17074-8424-12624-11466-1427-11870-195,1739-4185-5979-11731-10319-886-2927-155,easy,yes
2079495-180379-730271-120483-589238-1080970-55719-1012377,451631-252585-40874-53167-161972-73540-35555-149481,78559-14645-21581-19563-34639-23029-19338-60345,102579-10547-14632-6420-20670-3013-4582-28420,77431-7587-7557-2775-7078-3003-3383-19267,32887-7237-5968-6157-5174-5492-4121-15947,13111-6697-3832-3568-1054-2089-1925-9866,6324-2290-6167-2390-2381-1022-666-7333,easy,yes
1837981-541243-539649-203542-59491-1484362-432934-636495,75328-53203-100363-125246-57763-43039-109000-128795,39983-8223-41321-38426-9831-10641-72617-32252,36825-14796-38383-29867-3837-15426-8951-8607,20914-5086-10429-3703-4202-4024-9620-10729,10741-3228-14983-6238-2289-8671-9776-5869,7734-1263-12062-4080-1415-2250-4657-8562,12064-2939-12350-8365-1024-1352-2279-5450,easy,no
296406-477558-757947-69465-660910-1084791-251312-899296,88416-357855-30877-6636-232298-146229-194971-19582,62897-40587-12831-7559-46600-8428-20040-15652,27890-12267-10041-5782-20341-5550-60006-26179,8721-18206-5684-8692-27161-6482-15475-10612,11133-28068-3744-9741-21964-12084-16384-3526,8164-6484-5257-7457-5267-9674-6079-5068,3683-2083-1250-6764-5252-3863-3956-4260,easy,yes
124108-659645-860940-1104478-436002-17298-47690-964498,270848-48088-265123-244101-24904-12984-68117-478274,39772-7963-121627-9394-239-1381-23833-33323,6078-7101-39042-11929-28010-3769-3937-22486,22853-5085-15141-12420-9077-3408-7487-16025,6822-5475-11826-3746-9509-4856-6711-17694,4904-6379-23622-2313-6344-2774-4168-30429,8760-1317-11152-2155-4786-1719-2029-4938,easy,yes
201877-113419-133848-1078499-57859-109570-147396-1228605,79352-18798-77441-51063-13234-63025-69983-135937,18125-1185-5371-31055-2314-22902-11349-6913,19530-1117-3021-7820-441-17593-8349-10822,11704-1387-10035-24454-454-9395-2644-4787,9811-774-8437-24904-491-11310-4242-14776,4033-1428-2703-6354-556-8420-3476-17010,1646-1208-650-1322-224-7366-2675-14819,easy,yes
