delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
260398-411040-16023-131534-21166-77024-735939-48259,96865-24499-6485-15749-14411-44615-114708-11872,22702-3623-6642-22000-14983-12581-65145-8051,21820-4846-13935-9218-41557-5178-27931-2976,15285-2140-9877-4464-19178-5975-10461-2410,22691-6994-12701-2643-8240-4345-19843-980,29376-5610-5457-3711-3978-1145-6639-355,7455-2355-7161-1531-2519-1426-20565-639,easy,yes
89098-35456-101729-342851-58060-395888-88074-180259,23752-37973-42752-79338-42086-77768-21526-62103,6800-8816-12700-79844-16746-24694-25051-11193,1014-6109-7772-41119-12710-25722-7349-2221,2494-11490-6394-56897-10774-6793-11584-1202,796-11180-8979-17020-12288-9113-7755-1054,409-9586-8239-12197-6687-3993-7241-438,220-6215-3793-7581-3134-8682-8149-256,difficult,yes
871932-642774-2462962-137821-53798-144164-1484043-768688,50146-109482-285725-58874-19911-41076-92866-80026,4990-14084-74518-10899-4010-108379-17634-59180,54115-18922-186415-31102-98942-86237-14577-18347,15766-10338-71836-3397-4103-12725-13487-4532,17845-8182-16976-904-12747-8887-5480-13776,11965-7777-12039-1182-5910-6817-1355-4525,3278-9472-46566-750-2792-2093-1956-3134,easy,yes
225039-499395-227164-26722-391874-25693-310234-123806,292657-28539-64286-54880-68582-32272-295391-3703,31551-5428-57630-12239-99663-37356-63877-1010,33139-171216-76460-59956-59769-40610-37345-1401,6665-5221-32322-15608-15426-4724-13424-975,7088-8782-32641-11424-12492-5372-16237-677,7305-7078-9472-7253-12453-4172-5133-622,4754-5370-11122-4454-3754-4361-3584-255,difficult,no
193913-112321-430227-86762-1325056-1512435-30195-132261,56062-47712-15142-4467-69891-284890-43767-31371,25526-5610-10759-549-10213-40302-4654-15769,61138-22415-19909-1061-8849-51860-2546-31129,9360-6590-11319-1249-2435-71349-4336-2519,28794-5251-4698-1241-2129-18967-1041-4047,18041-17680-3327-212-4966-8211-1161-5515,10923-4682-2466-419-5238-8129-1146-2244,easy,yes
40741-307993-250879-70075-20529-57686-26954-202959,7693-38214-60814-38599-29291-18068-14141-68798,2819-16168-26245-44535-60576-26986-56844-3659,5116-10507-72204-97758-86677-111048-54340-8477,5622-11964-19853-15353-6011-12226-16469-15889,7931-4835-14818-14688-4162-7870-9836-6265,6710-1875-6927-6799-4634-4083-10039-11028,2314-2954-5534-3092-4138-4690-3237-3136,difficult,no
423702-1035561-434125-126188-437183-1417631-53902-50586,122860-773883-242633-105859-212192-263696-23341-42253,31371-55426-41156-69079-89879-69159-40765-6147,25576-38169-87380-128698-58306-77515-64566-6837,64529-61576-49514-53681-84886-157633-28459-2316,36368-45088-22366-36119-19369-98266-23863-6087,8803-8874-22557-7080-4867-16961-11517-2047,3322-12574-7860-6704-9171-9450-5869-1019,easy,yes
710239-1432791-59918-22320-104141-21128-34287-123724,110961-85009-26746-21146-20858-18983-11558-86915,8879-12987-45752-56532-4116-39247-12778-26079,3434-67963-122661-95507-28402-40595-106184-14702,4813-23824-22569-12244-9562-10243-9158-40682,4120-17503-13427-8172-12197-9687-7424-8572,574-16413-11915-6853-11890-3333-8462-4877,542-7883-15031-6474-9754-3568-4686-3540,difficult,yes
43303-7431-349867-21575-26570-147323-351964-72121,16951-20900-88872-13238-26328-21910-121499-37518,23155-6795-16295-124379-27644-22658-9473-4074,2636-8711-10681-20305-99165-38660-32738-2363,16052-8281-14093-2798-9144-11761-8223-2883,6120-7507-6781-7825-6698-7719-4318-3478,4035-3852-4239-8880-3105-4340-2155-1002,3668-3588-3692-7479-3322-2890-1635-837,easy,yes
31553-188694-107568-12573-11695-610602-50764-61340,32316-26947-74540-16749-16477-109045-8768-30047,271-813-3770-17987-2477-34231-7306-11512,4259-7750-17089-74080-55310-120768-2293-385,25397-4585-6980-14317-7107-11305-3141-2847,7034-3036-6383-6943-7892-10628-8421-3257,3209-936-2331-5082-6689-2942-3530-1449,4242-2294-4959-2463-4443-3995-5457-801,difficult,yes
