delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
626081-84696-61537-2076178-770356-1426266-70736-120401,246364-104043-102579-476896-274355-78955-22502-54040,26262-5442-36807-47636-15239-31235-4810-10217,55482-27009-36016-33116-28302-6768-4494-8032,37070-7104-16400-38472-13417-21885-2595-9994,33143-7759-34535-63251-37571-12406-2715-17593,14198-9804-26117-54428-40329-35302-3051-9972,11278-10917-11679-24258-29845-5654-3734-4846,easy,yes
494259-616835-1644149-704981-59556-33176-115698-442076,103150-321076-134921-49255-6832-17856-65400-381296,4344-41286-30956-18412-2517-12398-25600-6447,10402-31502-21607-20543-670-1866-4071-12361,4063-11777-13391-12779-2190-6414-11694-4523,6392-25164-71437-20160-4267-12096-5551-16694,16070-21339-27767-22608-3466-8919-8513-7054,3752-12034-12492-10540-963-5710-15092-13934,easy,no
99408-58391-867555-2337288-48638-95170-153998-76975,87468-24690-125539-105875-20086-41491-7568-37367,3168-830-32424-11915-3932-7004-1425-28250,35837-1368-25847-15161-962-3839-2066-4240,13973-1752-10811-13639-1721-3479-1491-22675,25727-7449-18786-17876-2275-11906-4033-39742,10311-3312-9428-6386-2056-15540-6786-44018,8347-1166-5118-3565-1842-9319-1414-28656,difficult,no
114080-1296435-1296435-169026-461618-55266-7703-8742,43120-17119-17119-52482-26912-26868-11229-5697,14750-18118-18118-18922-18344-1951-5412-3210,4497-9309-9309-8194-21713-7998-8539-2093,2614-6608-6608-13239-18255-6266-26113-16985,6802-20779-20779-61688-49041-10815-37121-31808,1499-12231-12231-16288-17103-15232-14247-26284,1103-3199-3199-11682-16697-9795-10268-10687,difficult,no
609090-93403-1436993-112522-1672674-13548-1838306-236365,218190-19283-249428-63592-290404-29540-287213-147171,29452-4382-35174-6060-36451-6433-55542-157522,18534-2202-14941-3798-14040-16422-24362-38055,26993-804-9396-5940-6788-30858-19587-51172,28055-6476-25077-17165-65383-60106-77539-35926,43513-4509-11780-11615-53205-16418-24389-56385,17601-1486-8080-4861-31738-32510-57893-21254,easy,yes
106688-365989-1096930-757961-672927-655418-152081-86738,16584-26619-38833-110215-175157-263862-62421-57682,841-11190-18320-72669-46153-8435-53108-2248,2095-4555-3652-26739-61368-10195-7477-4351,2335-13928-8593-29745-53168-52621-13880-3600,19550-17076-9840-51483-37270-51595-81146-7623,6396-18069-11041-19123-26759-25193-61185-6646,1985-5071-4889-33990-15653-22923-43916-4662,easy,yes
196764-48459-196205-530563-8061-4161-434422-20529,37083-34958-59434-76799-8309-22436-12333-40713,1647-8208-4063-44342-6372-17537-11968-7579,1562-2375-13225-1781-8249-8789-20655-5166,1013-1469-12889-11416-23743-28241-14236-36422,8613-5499-26038-17324-28057-47176-23109-53659,2671-7146-8173-21320-35051-17457-29149-20820,2602-5853-8530-3964-18612-18960-13820-22092,easy,yes
54091-502597-51257-112208-403343-260281-294124-218983,51797-55894-46934-54466-472766-167448-24498-49736,2310-4114-7910-8884-30281-8935-28762-14132,710-9100-5908-13846-36943-8612-6527-8970,1298-5461-3068-3092-14935-11519-11798-4850,4316-11678-6392-12279-49281-88113-17682-5852,4256-19481-3150-7875-29275-38102-9812-3187,903-12068-3463-20468-21329-8337-7677-4659,easy,no
288974-583771-149165-83601-876178-171463-255185-792254,58281-10852-8333-62548-89480-186177-60392-380245,6836-10054-2561-6613-33051-3331-3973-6998,15200-18595-1374-4512-12034-7766-7710-12380,3068-1089-2988-15005-5268-2019-3148-11887,11069-13805-2296-14119-21116-13780-21632-111236,8333-4039-3331-6822-7317-11287-8099-47254,3730-2570-1628-5172-10034-4469-7339-29169,difficult,yes
172486-729577-545737-126174-698596-276327-1224720-897522,106750-35355-115931-37247-56711-134751-181179-18672,18279-3087-61123-4453-17289-7406-100436-31954,34337-27284-7279-5711-5473-7536-6680-8041,49301-6443-5669-1139-18105-11239-44165-6709,60228-15154-65797-7791-28734-10641-130679-17068,79588-13822-16861-2710-4656-15019-50648-13444,34721-8638-12913-1413-11176-7121-21488-8221,easy,yes
